,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,105.65,107.01,104.57,105.13,2349600,0.0,0.0
2020-02-25,105.52,105.86,102.65,103.07,1721800,0.0,0.0
2020-02-26,103.71,105.21,103.56,104.44,1964700,0.0,0.0
2020-02-27,103.22,104.17,99.12,99.15,2325200,0.0,0.0
2020-02-28,96.88,97.98,94.21,97.0,4077700,0.0,0.0
2020-03-02,96.64,100.26,96.57,100.2,4028800,0.0,0.0
2020-03-03,100.38,102.36,97.44,98.81,3264800,0.0,0.0
2020-03-04,100.23,102.66,99.48,102.6,4734200,0.0,0.0
2020-03-05,100.59,100.64,97.71,98.85,3075900,0.0,0.0
2020-03-06,95.57,98.54,94.4,98.02,3651100,0.0,0.0
2020-03-09,91.22,94.78,90.56,92.65,4864400,0.0,0.0
2020-03-10,95.29,96.4,91.79,95.63,4267200,0.0,0.0
2020-03-11,93.16,93.66,90.84,91.79,2827800,0.0,0.0
2020-03-12,86.8,93.1,85.79,86.27,5559800,0.0,0.0
2020-03-13,89.04,92.01,84.79,91.5,5974000,0.0,0.0
2020-03-16,82.15,86.71,80.02,81.5,4249600,0.0,0.0
2020-03-17,83.91,87.1,82.73,85.25,4341500,0.0,0.0
2020-03-18,80.94,81.44,70.31,74.96,4721500,0.0,0.0
2020-03-19,74.56,76.09,70.39,73.31,4356900,0.0,0.0
2020-03-20,74.03,77.93,71.84,74.09,3788700,0.0,0.0
2020-03-23,72.73,73.65,68.95,71.14,4772700,0.0,0.0
2020-03-24,74.44,81.53,73.78,80.64,4379200,0.0,0.0
2020-03-25,79.49,84.3,78.23,80.57,3000000,0.0,0.0
2020-03-26,81.67,83.22,78.41,79.65,3560500,0.0,0.0
2020-03-27,76.75,81.86,76.64,79.27,3159200,0.0,0.0
2020-03-30,79.5,83.4,78.84,83.07,2785600,0.0,0.0
2020-03-31,82.15,83.1,79.1,80.2,3670600,0.0,0.0
2020-04-01,77.63,78.92,75.54,76.08,3228600,0.0,0.0
2020-04-02,75.37,78.13,75.23,76.76,2451100,0.0,0.0
2020-04-03,75.96,76.98,73.24,74.12,2720200,0.0,0.0
2020-04-06,77.58,81.69,76.65,81.01,2911100,0.0,0.0
2020-04-07,84.82,84.93,81.41,81.5,2399900,0.45,0.0
2020-04-08,82.63,87.72,81.46,87.29,2707200,0.0,0.0
2020-04-09,88.13,90.45,87.84,90.09,3061900,0.0,0.0
2020-04-13,89.62,89.62,87.63,88.61,2293800,0.0,0.0
2020-04-14,90.45,93.25,90.22,92.73,2438500,0.0,0.0
2020-04-15,90.45,91.39,89.18,89.8,2264900,0.0,0.0
2020-04-16,89.9,90.81,89.04,90.66,1736300,0.0,0.0
2020-04-17,92.77,93.51,90.27,91.89,1892700,0.0,0.0
2020-04-20,90.98,90.98,88.6,89.3,1594700,0.0,0.0
2020-04-21,86.97,88.16,86.22,86.44,2259000,0.0,0.0
2020-04-22,87.75,88.47,86.12,87.73,2153400,0.0,0.0
2020-04-23,87.65,89.14,86.11,86.34,2010500,0.0,0.0
2020-04-24,86.94,87.62,85.6,86.99,1460900,0.0,0.0
2020-04-27,87.5,88.78,86.42,88.31,1859900,0.0,0.0
2020-04-28,89.8,90.15,86.84,86.97,1557200,0.0,0.0
2020-04-29,88.6,89.63,87.93,88.23,1831200,0.0,0.0
2020-04-30,87.38,91.86,87.1,90.76,3734500,0.0,0.0
2020-05-01,89.43,90.82,88.13,90.55,2637900,0.0,0.0
2020-05-04,91.43,93.73,90.24,92.08,3989600,0.0,0.0
2020-05-05,92.5,94.92,92.21,93.49,2596600,0.0,0.0
2020-05-06,94.33,94.55,91.98,92.21,1932100,0.0,0.0
2020-05-07,93.13,95.18,93.13,94.79,1776900,0.0,0.0
2020-05-08,95.69,96.99,94.65,96.96,1559700,0.0,0.0
2020-05-11,96.19,97.87,95.93,97.06,2242500,0.0,0.0
2020-05-12,97.55,98.05,96.78,97.26,3331400,0.0,0.0
2020-05-13,96.75,98.71,96.34,98.01,5368100,0.0,0.0
2020-05-14,96.75,99.2,96.51,98.94,8540600,0.0,0.0
2020-05-15,98.46,100.59,97.42,97.42,11085700,0.0,0.0
2020-05-18,99.97,101.07,99.24,99.78,2885700,0.0,0.0
2020-05-19,99.47,100.1,98.36,98.41,2227300,0.0,0.0
2020-05-20,98.77,99.19,96.52,96.96,2640600,0.0,0.0
2020-05-21,96.45,98.22,96.22,97.48,2410900,0.0,0.0
2020-05-22,97.46,97.76,96.51,97.45,1926700,0.0,0.0
2020-05-26,99.44,99.89,98.45,98.61,3342500,0.0,0.0
2020-05-27,98.99,100.21,97.63,98.81,2401600,0.0,0.0
2020-05-28,99.7,100.13,98.91,99.4,2200100,0.0,0.0
2020-05-29,98.91,99.15,97.78,98.77,7207200,0.0,0.0
2020-06-01,98.82,99.8,98.32,99.5,1481800,0.0,0.0
2020-06-02,99.65,100.76,99.33,100.73,2102200,0.0,0.0
2020-06-03,101.48,102.58,101.01,101.86,2751600,0.0,0.0
2020-06-04,101.35,101.78,100.66,101.38,2102100,0.0,0.0
2020-06-05,102.67,104.19,101.42,103.97,3699500,0.0,0.0
2020-06-08,103.53,104.43,103.0,103.89,2450800,0.0,0.0
2020-06-09,103.28,103.43,102.29,102.99,1662800,0.0,0.0
2020-06-10,102.71,103.35,101.81,102.69,2228000,0.0,0.0
2020-06-11,101.11,101.11,97.04,97.2,3343700,0.0,0.0
2020-06-12,99.06,99.6,95.36,97.3,2764900,0.0,0.0
2020-06-15,95.12,98.89,94.66,98.85,2307100,0.0,0.0
2020-06-16,100.93,101.38,98.86,100.12,2077600,0.0,0.0
2020-06-17,100.23,102.34,100.16,101.21,1700400,0.0,0.0
