,EPS Estimate,Reported EPS,Surprise(%)
2025-11-05 19:00:00-05:00,nan,nan,nan
2025-08-04 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-25 19:00:00-05:00,0.4,nan,nan
2024-11-06 19:00:00-05:00,0.43,0.4,-6.44
2024-08-06 20:00:00-04:00,0.45,0.41,-9.67
2024-05-01 20:00:00-04:00,0.43,0.42,-2.92
2024-02-27 19:00:00-05:00,0.38,0.38,-0.83
2023-11-01 20:00:00-04:00,0.4,0.41,3.45
2023-08-02 20:00:00-04:00,0.39,0.39,-1.13
2023-05-03 20:00:00-04:00,0.34,0.38,12.29
2023-02-27 19:00:00-05:00,0.63,0.57,-9.03
