,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-29 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,1.29,1.29,0.16
2024-10-30 20:00:00-04:00,1.35,1.38,2.26
2024-07-30 20:00:00-04:00,1.34,1.31,-2.57
2024-04-24 20:00:00-04:00,1.15,1.15,0.08
2024-01-31 19:00:00-05:00,1.17,1.18,0.5
2023-10-25 20:00:00-04:00,1.29,1.28,-0.99
2023-07-31 20:00:00-04:00,1.3,1.31,0.7
2023-04-26 20:00:00-04:00,1.18,1.18,-0.38
