,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,16.84,17.75,16.76,17.61,10289100,0.0,0.0
2020-02-24,17.19,17.87,16.64,17.81,6743900,0.0,0.0
2020-02-25,17.9,18.02,16.56,16.61,8160100,0.0,0.0
2020-02-26,16.7,16.96,15.96,16.01,7583500,0.0,0.0
2020-02-27,15.62,16.15,15.16,15.19,8435500,0.0,0.0
2020-02-28,14.77,15.64,14.7,15.63,10253300,0.0,0.0
2020-03-02,15.74,16.21,15.51,16.21,6259700,0.0,0.0
2020-03-03,16.04,16.38,15.39,15.61,6850700,0.0,0.0
2020-03-04,15.84,15.84,15.3,15.73,4980000,0.05,0.0
2020-03-05,15.15,15.41,14.83,14.9,5986500,0.0,0.0
2020-03-06,14.6,14.6,13.0,13.16,12326700,0.0,0.0
2020-03-09,11.94,12.69,10.96,10.97,11130800,0.0,0.0
2020-03-10,11.94,12.03,10.58,11.63,10123100,0.0,0.0
2020-03-11,11.25,11.3,10.34,10.56,6191900,0.0,0.0
2020-03-12,9.79,9.88,8.85,8.92,9966000,0.0,0.0
2020-03-13,9.64,10.15,8.29,10.13,8048400,0.0,0.0
2020-03-16,8.68,9.34,8.56,9.16,5974300,0.0,0.0
2020-03-17,9.29,9.73,8.63,8.9,9859900,0.0,0.0
2020-03-18,8.23,8.28,5.98,6.45,11140100,0.0,0.0
2020-03-19,6.46,7.95,6.37,7.56,9692700,0.0,0.0
2020-03-20,7.89,9.05,7.39,8.82,10596100,0.0,0.0
2020-03-23,8.54,9.32,8.45,8.48,5976500,0.0,0.0
2020-03-24,9.2,10.24,8.98,9.85,6575400,0.0,0.0
2020-03-25,10.07,10.4,9.07,10.0,7359200,0.0,0.0
2020-03-26,10.09,10.75,9.63,9.86,7391300,0.0,0.0
2020-03-27,9.3,9.56,8.76,9.11,6190400,0.0,0.0
2020-03-30,9.03,9.39,8.6,9.2,4505800,0.0,0.0
2020-03-31,9.92,10.17,9.56,9.96,7845900,0.0,0.0
2020-04-01,9.32,9.64,9.2,9.3,5447500,0.0,0.0
2020-04-02,9.46,10.28,8.89,9.04,6169500,0.0,0.0
2020-04-03,9.1,9.46,8.89,9.15,5030400,0.0,0.0
2020-04-06,9.79,10.7,9.69,10.43,7121700,0.0,0.0
2020-04-07,11.09,11.46,10.61,10.74,8002300,0.0,0.0
2020-04-08,10.57,11.05,10.53,10.86,4607700,0.0,0.0
2020-04-09,11.28,12.34,11.19,11.94,7787300,0.0,0.0
2020-04-13,11.8,12.01,11.08,11.23,3659300,0.0,0.0
2020-04-14,11.23,11.64,10.91,11.21,4580700,0.0,0.0
