,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,51.33,51.56,50.46,50.63,6490700,0.0,0.0
2020-02-24,48.81,48.81,47.33,47.84,10276800,0.0,0.0
2020-02-25,48.01,48.08,45.19,45.48,8826300,0.0,0.0
2020-02-26,45.47,46.63,44.6,44.76,6040700,0.0,0.0
2020-02-27,43.39,43.46,40.96,41.04,13247500,0.0,0.0
2020-02-28,39.33,40.7,38.55,40.6,14192500,0.0,0.0
2020-03-02,41.0,41.28,39.12,40.87,11884700,0.0,0.0
2020-03-03,40.7,41.31,38.37,38.68,8506400,0.0,0.0
2020-03-04,39.47,39.6,38.37,39.28,6923700,0.0,0.0
2020-03-05,36.56,36.64,33.93,35.28,15767100,0.0,0.0
2020-03-06,34.37,34.98,32.58,33.52,13937000,0.0,0.0
2020-03-09,27.3,31.89,26.35,28.96,14834800,0.0,0.0
2020-03-10,30.89,31.43,28.29,29.56,12222900,0.0,0.0
2020-03-11,28.35,29.23,25.2,26.85,13535400,0.0,0.0
2020-03-12,24.12,24.12,19.26,19.6,23939000,0.0,0.0
2020-03-13,22.12,22.51,19.44,21.33,17766900,0.0,0.0
2020-03-16,17.57,20.33,17.11,17.37,14482400,0.0,0.0
2020-03-17,17.83,18.62,15.8,17.38,13424800,0.0,0.0
2020-03-18,15.92,16.35,13.34,14.34,17497000,0.0,0.0
2020-03-19,14.56,15.21,13.06,14.31,17581700,0.0,0.0
2020-03-20,15.08,17.0,14.06,16.22,19580400,0.0,0.0
2020-03-23,16.02,16.11,14.12,14.23,12971100,0.0,0.0
2020-03-24,15.4,16.07,14.41,14.98,14391400,0.0,0.0
2020-03-25,15.62,19.12,14.18,18.07,18300300,0.0,0.0
2020-03-26,19.05,21.28,18.9,19.81,18506600,0.0,0.0
2020-03-27,18.88,20.49,17.64,19.82,11426300,0.0,0.0
2020-03-30,19.55,21.15,18.41,20.83,10263000,0.0,0.0
2020-03-31,21.86,21.95,19.43,20.22,11631300,0.0,0.0
2020-04-01,18.77,19.43,17.68,17.87,9305100,0.0,0.0
2020-04-02,19.0,21.23,17.93,18.17,11990400,0.0,0.0
2020-04-03,19.18,19.27,15.64,17.17,14114500,0.0,0.0
2020-04-06,18.11,20.14,18.04,19.77,10180000,0.0,0.0
2020-04-07,21.74,22.26,18.92,19.27,14246900,0.0,0.0
2020-04-08,19.9,21.64,19.84,20.81,18008600,0.0,0.0
2020-04-09,22.32,23.35,20.57,21.94,15625800,0.0,0.0
2020-04-13,22.94,22.94,21.16,21.69,11670100,0.0,0.0
2020-04-14,21.68,22.65,21.68,22.52,11312400,0.0,0.0
2020-04-15,21.24,21.24,20.14,20.53,8269100,0.0,0.0
2020-04-16,20.56,20.64,18.75,18.79,11792600,0.0,0.0
2020-04-17,19.36,21.83,19.19,21.79,13646100,0.0,0.0
2020-04-20,20.07,22.18,19.48,21.27,9923400,0.0,0.0
2020-04-21,20.7,21.47,19.72,20.31,11871900,0.0,0.0
2020-04-22,21.32,21.66,20.62,21.14,9891700,0.0,0.0
2020-04-23,21.79,23.02,21.55,22.21,9947800,0.0,0.0
2020-04-24,22.48,22.84,21.75,22.05,10755800,0.0,0.0
2020-04-27,22.25,22.76,21.44,22.64,7702500,0.0,0.0
2020-04-28,23.3,24.5,22.65,24.34,8460700,0.0,0.0
2020-04-29,25.51,28.53,25.27,28.29,15179700,0.0,0.0
2020-04-30,28.34,29.03,26.72,27.47,18487300,0.0,0.0
2020-05-01,25.94,26.36,24.73,25.03,7456900,0.0,0.0
