,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,67.29,67.65,66.9,67.41,9295970,0.0,0.0
2020-02-24,65.99,67.62,65.96,66.58,13734145,0.0,0.0
2020-02-25,66.75,67.08,65.37,65.72,13171683,0.0,0.0
2020-02-26,66.04,66.83,65.31,65.45,11940283,0.0,0.0
2020-02-27,66.08,66.93,63.86,63.92,15734253,0.0,0.0
2020-02-28,62.78,63.44,60.73,62.68,29246117,0.0,0.0
2020-03-02,63.15,66.76,63.1,66.62,18840525,0.0,0.0
2020-03-03,66.64,67.46,63.78,64.78,17394599,0.0,0.0
2020-03-04,66.72,68.01,65.4,67.93,20224199,0.0,0.0
2020-03-05,66.75,67.76,66.26,66.79,15017840,0.0,0.0
2020-03-06,65.47,67.64,65.03,67.3,14208574,0.0,0.0
2020-03-09,63.86,66.08,63.03,64.64,18942810,0.0,0.0
2020-03-10,65.89,67.28,63.45,67.15,17527486,0.0,0.0
2020-03-11,65.36,65.63,63.88,64.88,14274179,0.0,0.0
2020-03-12,60.91,63.91,59.98,60.95,22664782,0.0,0.0
2020-03-13,62.92,63.75,59.65,63.35,25857094,0.58,0.0
2020-03-16,58.42,62.81,55.4,57.71,20808354,0.0,0.0
2020-03-17,59.14,62.79,58.92,61.48,24745795,0.0,0.0
2020-03-18,58.98,61.63,56.82,59.13,18558508,0.0,0.0
2020-03-19,58.9,60.14,56.88,58.38,19268738,0.0,0.0
2020-03-20,57.41,59.84,56.54,58.9,23075912,0.0,0.0
2020-03-23,58.0,59.11,53.86,54.81,18375003,0.0,0.0
2020-03-24,56.95,57.57,55.46,57.0,19901939,0.0,0.0
2020-03-25,56.47,58.09,55.1,56.31,18311494,0.0,0.0
2020-03-26,56.25,61.23,56.21,60.69,18052848,0.0,0.0
2020-03-27,59.27,60.61,58.81,59.21,12467218,0.0,0.0
2020-03-30,60.77,64.05,60.16,63.52,15803316,0.0,0.0
2020-03-31,62.94,64.05,62.34,63.51,15079672,0.0,0.0
2020-04-01,61.63,62.3,60.25,60.92,11665288,0.0,0.0
2020-04-02,62.72,63.66,61.11,63.45,12843345,0.0,0.0
2020-04-03,62.97,63.92,62.17,62.94,10039211,0.0,0.0
2020-04-06,64.66,66.74,64.3,66.29,14314108,0.0,0.0
2020-04-07,67.42,67.66,64.72,64.85,10657950,0.0,0.0
2020-04-08,65.36,68.51,64.67,67.37,11481888,0.0,0.0
2020-04-09,67.0,68.75,66.18,68.09,13876568,0.0,0.0
2020-04-13,67.54,68.08,65.9,66.48,7706678,0.0,0.0
2020-04-14,67.96,68.68,66.64,68.38,12155333,0.0,0.0
2020-04-15,67.05,68.48,66.5,67.74,10809072,0.0,0.0
2020-04-16,68.22,68.79,67.9,68.51,9145058,0.0,0.0
2020-04-17,69.3,69.47,68.05,68.89,15433162,0.0,0.0
2020-04-20,68.36,69.45,66.66,68.6,11675768,0.0,0.0
2020-04-21,67.37,67.93,64.56,64.85,17876574,0.0,0.0
2020-04-22,65.38,66.57,65.07,66.02,11933890,0.0,0.0
2020-04-23,66.19,67.59,66.18,66.76,8152497,0.0,0.0
2020-04-24,67.36,67.77,66.88,67.22,7686451,0.0,0.0
2020-04-27,67.05,69.89,66.72,69.32,12786753,0.0,0.0
2020-04-28,67.01,67.88,66.18,67.01,20273560,0.0,0.0
2020-04-29,67.84,67.84,65.24,66.67,13687194,0.0,0.0
2020-04-30,65.89,66.37,65.33,65.49,11638878,0.0,0.0
2020-05-01,65.09,65.09,63.5,64.11,9518565,0.0,0.0
2020-05-04,64.4,64.41,62.92,63.44,8850255,0.0,0.0
2020-05-05,63.77,65.05,63.37,64.39,7401395,0.0,0.0
2020-05-06,64.67,64.91,63.63,63.66,12414922,0.0,0.0
2020-05-07,63.56,63.66,62.26,62.4,12602410,0.0,0.0
2020-05-08,63.15,63.53,62.71,63.06,8791672,0.0,0.0
2020-05-11,62.76,64.44,62.67,64.31,10622528,0.0,0.0
2020-05-12,64.51,64.96,63.66,63.72,9544660,0.0,0.0
2020-05-13,63.28,65.05,63.21,64.29,10935146,0.0,0.0
2020-05-14,63.79,66.14,63.77,66.08,11407585,0.0,0.0
2020-05-15,66.13,66.49,65.07,65.85,9367234,0.0,0.0
2020-05-18,66.86,66.86,65.4,65.8,12552630,0.0,0.0
2020-05-19,65.6,65.81,63.85,64.01,10591822,0.0,0.0
2020-05-20,64.41,64.58,63.3,63.47,11027685,0.0,0.0
2020-05-21,63.36,63.58,62.96,63.19,9000329,0.0,0.0
2020-05-22,62.87,63.28,62.79,63.04,6357482,0.0,0.0
2020-05-26,64.6,64.88,63.49,63.77,19146017,0.0,0.0
2020-05-27,63.56,64.09,62.73,64.01,12828987,0.0,0.0
2020-05-28,64.88,66.28,64.81,65.24,13180906,0.0,0.0
2020-05-29,65.59,66.81,64.64,66.63,13517104,0.0,0.0
2020-06-01,66.18,66.42,65.32,65.67,6269241,0.0,0.0
2020-06-02,65.66,66.75,65.07,66.73,11352984,0.0,0.0
2020-06-03,66.86,67.98,66.75,67.74,13675457,0.0,0.0
2020-06-04,67.08,67.82,66.73,67.32,9292930,0.0,0.0
2020-06-05,67.78,68.62,67.27,67.9,10413347,0.0,0.0
2020-06-08,66.99,68.68,66.99,68.43,9956838,0.0,0.0
2020-06-09,68.67,68.93,67.79,67.9,8846168,0.0,0.0
2020-06-10,68.05,68.33,66.85,67.5,9080920,0.0,0.0
2020-06-11,66.7,67.41,63.85,63.85,14303838,0.0,0.0
2020-06-12,64.81,64.84,62.79,63.48,17000656,0.58,0.0
2020-06-15,62.33,62.71,61.21,61.59,17684162,0.0,0.0
2020-06-16,62.72,64.41,62.26,64.04,21437050,0.0,0.0
2020-06-17,64.36,64.44,62.92,63.47,13983045,0.0,0.0
2020-06-18,62.92,63.47,62.7,63.42,7750903,0.0,0.0
2020-06-19,64.17,64.88,63.07,64.81,17691393,0.0,0.0
2020-06-22,64.37,64.59,63.59,63.86,7474231,0.0,0.0
2020-06-23,64.48,65.41,63.97,64.16,11428650,0.0,0.0
2020-06-24,63.84,63.97,62.78,63.12,8084901,0.0,0.0
2020-06-25,62.94,64.03,62.66,63.71,7583328,0.0,0.0
2020-06-26,63.52,63.84,62.4,62.56,12328882,0.0,0.0
2020-06-29,63.15,63.66,62.83,63.33,7230990,0.0,0.0
2020-06-30,63.86,64.61,63.4,64.34,9940804,0.0,0.0
2020-07-01,64.42,65.68,64.16,65.0,9948769,0.0,0.0
2020-07-02,65.37,65.99,65.08,65.55,6827825,0.0,0.0
2020-07-06,65.93,66.58,65.65,66.21,8058282,0.0,0.0
2020-07-07,65.73,66.29,65.39,65.5,6956414,0.0,0.0
2020-07-08,65.42,65.7,64.46,64.83,8211394,0.0,0.0
2020-07-09,64.85,65.19,63.27,63.81,7966058,0.0,0.0
2020-07-10,63.86,64.36,63.57,63.84,5161400,0.0,0.0
2020-07-13,64.06,65.38,63.84,64.36,8114245,0.0,0.0
2020-07-14,64.51,65.4,64.36,65.1,8397100,0.0,0.0
2020-07-15,65.93,66.54,65.6,66.1,7709717,0.0,0.0
2020-07-16,66.38,66.4,65.52,66.06,5850774,0.0,0.0
2020-07-17,66.33,66.77,65.99,66.45,8191378,0.0,0.0
2020-07-20,66.45,66.73,65.79,66.07,5434194,0.0,0.0
2020-07-21,66.33,66.66,65.55,65.64,8967526,0.0,0.0
2020-07-22,66.0,66.36,64.91,65.55,12362103,0.0,0.0
2020-07-23,65.85,65.9,64.49,64.95,11558916,0.0,0.0
2020-07-24,64.77,64.89,63.53,64.15,9068763,0.0,0.0
2020-07-27,63.57,65.85,63.49,65.67,10958307,0.0,0.0
2020-07-28,65.89,66.74,65.7,66.3,8494564,0.0,0.0
2020-07-29,65.94,66.34,65.51,66.02,6398040,0.0,0.0
2020-07-30,65.5,65.96,64.59,65.72,7152600,0.0,0.0
2020-07-31,67.3,67.96,65.85,66.76,12291154,0.0,0.0
2020-08-03,68.35,69.72,68.11,68.67,10601463,0.0,0.0
2020-08-04,68.68,68.68,67.45,67.95,7218729,0.0,0.0
2020-08-05,68.28,68.62,67.52,67.93,6492465,0.0,0.0
2020-08-06,67.78,68.55,67.04,67.43,7256562,0.0,0.0
2020-08-07,67.22,67.41,66.59,67.41,6977584,0.0,0.0
2020-08-10,67.4,67.57,66.81,67.32,5782445,0.0,0.0
