,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 19:00:00-05:00,nan,nan,nan
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-13 19:00:00-05:00,-2.68,-2.91,-8.38
2024-11-06 19:00:00-05:00,-1.91,0.03,101.57
2024-07-31 20:00:00-04:00,-3.38,-3.33,1.58
2024-05-01 20:00:00-04:00,-3.58,-3.07,14.36
2024-02-21 19:00:00-05:00,-0.97,0.55,156.6
2023-11-01 20:00:00-04:00,-1.93,-9.53,-394.47
2023-08-02 20:00:00-04:00,-4.04,-3.62,10.4
2023-05-03 20:00:00-04:00,-1.77,0.19,110.73
