,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,3.95,4.18,5.8
2024-10-28 20:00:00-04:00,3.77,3.86,2.37
2024-07-22 20:00:00-04:00,3.55,3.64,2.59
2024-04-22 20:00:00-04:00,3.45,3.52,2.1
2024-01-29 19:00:00-05:00,3.29,3.68,11.85
2023-10-30 20:00:00-04:00,3.32,3.45,3.91
2023-07-24 20:00:00-04:00,3.11,3.26,4.73
2023-04-24 20:00:00-04:00,2.99,3.14,5.11
