,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,3.11,3.23,3.83
2024-10-29 20:00:00-04:00,3.1,3.3,6.52
2024-07-29 20:00:00-04:00,2.93,2.95,0.54
2024-04-24 20:00:00-04:00,2.82,2.94,4.32
2024-01-29 19:00:00-05:00,2.78,2.93,5.34
2023-10-23 20:00:00-04:00,2.65,2.99,12.7
2023-07-24 20:00:00-04:00,2.55,2.69,5.49
2023-04-24 20:00:00-04:00,2.23,2.45,9.81
