,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,160.9,167.41,156.55,163.9,68311100,0.0,0.0
2020-02-25,167.07,167.68,160.79,161.19,68073300,0.0,0.0
2020-02-26,162.76,166.17,161.32,163.2,56206100,0.0,0.0
2020-02-27,156.63,160.19,151.51,151.71,93174900,0.0,0.0
2020-02-28,146.17,157.01,145.78,155.38,97012700,0.0,0.0
2020-03-02,158.54,165.84,155.67,165.72,71030800,0.0,0.0
2020-03-03,166.69,167.84,155.62,157.78,71677000,0.0,0.0
2020-03-04,161.59,163.71,158.84,163.57,49814400,0.0,0.0
2020-03-05,159.25,163.88,158.91,159.46,47817300,0.0,0.0
2020-03-06,155.95,156.43,149.61,154.96,72821100,0.0,0.0
2020-03-09,144.82,151.29,143.86,144.45,70419300,0.0,0.0
2020-03-10,151.69,154.44,146.33,154.33,65354400,0.0,0.0
2020-03-11,150.7,151.24,144.96,147.34,56371600,0.0,0.0
2020-03-12,139.35,147.19,132.91,133.37,93226400,0.0,0.0
2020-03-13,141.46,155.28,134.97,152.33,92727400,0.0,0.0
2020-03-16,134.27,143.24,129.47,129.88,87905900,0.0,0.0
2020-03-17,134.27,141.46,129.47,140.57,81059800,0.0,0.0
2020-03-18,132.35,140.02,129.49,134.65,81593200,0.0,0.0
2020-03-19,136.93,144.0,133.31,136.87,85922700,0.0,0.0
2020-03-20,140.02,141.08,130.3,131.73,84866200,0.0,0.0
2020-03-23,131.4,134.82,127.09,130.41,78975200,0.0,0.0
2020-03-24,137.87,143.48,135.49,142.27,82516700,0.0,0.0
2020-03-25,142.81,148.01,138.53,140.91,75638200,0.0,0.0
2020-03-26,142.33,150.25,142.3,149.72,64568100,0.0,0.0
2020-03-27,145.54,148.55,143.09,143.57,57042300,0.0,0.0
2020-03-30,146.2,154.03,143.87,153.67,63420300,0.0,0.0
2020-03-31,152.88,158.04,150.15,151.25,77927200,0.0,0.0
2020-04-01,146.74,151.29,144.65,145.88,57969900,0.0,0.0
2020-04-02,145.64,149.12,144.2,148.9,49630700,0.0,0.0
2020-04-03,148.75,150.94,145.96,147.53,41243300,0.0,0.0
2020-04-06,153.76,159.68,151.13,158.51,67111700,0.0,0.0
2020-04-07,162.65,163.04,156.58,156.8,62769000,0.0,0.0
2020-04-08,158.89,159.85,156.81,158.37,48318200,0.0,0.0
2020-04-09,159.55,160.52,156.64,158.38,51385100,0.0,0.0
2020-04-13,157.62,158.79,155.66,158.74,41905300,0.0,0.0
2020-04-14,162.08,166.64,161.12,166.59,52874300,0.0,0.0
2020-04-15,164.19,166.47,162.31,164.84,40940800,0.0,0.0
2020-04-16,167.17,170.02,165.82,169.79,50479600,0.0,0.0
2020-04-17,172.15,172.63,168.67,171.29,52765600,0.0,0.0
2020-04-20,169.4,171.43,167.83,167.89,36669600,0.0,0.0
2020-04-21,166.4,166.56,159.31,160.95,56203700,0.0,0.0
2020-04-22,164.37,166.88,163.83,166.42,34620200,0.0,0.0
2020-04-23,166.98,167.89,163.91,164.4,32790800,0.0,0.0
2020-04-24,165.02,167.42,163.72,167.41,34277600,0.0,0.0
2020-04-27,169.36,169.66,166.21,166.93,33194400,0.0,0.0
2020-04-28,168.4,168.48,162.46,162.86,34392700,0.0,0.0
2020-04-29,166.13,170.41,164.84,170.17,51286600,0.0,0.0
2020-04-30,172.63,173.02,169.02,171.87,53875900,0.0,0.0
2020-05-01,168.6,171.33,166.89,167.42,39370500,0.0,0.0
2020-05-04,167.35,171.67,166.69,171.52,30372900,0.0,0.0
2020-05-05,173.23,176.13,172.54,173.36,36839200,0.0,0.0
2020-05-06,174.63,176.66,174.2,175.07,32139300,0.0,0.0
2020-05-07,176.63,177.0,175.11,176.09,28316000,0.0,0.0
2020-05-08,177.41,177.43,175.86,177.12,30877800,0.0,0.0
2020-05-11,175.65,179.84,175.37,179.1,30892700,0.0,0.0
2020-05-12,179.15,179.38,174.84,175.04,32038200,0.0,0.0
2020-05-13,175.08,176.52,169.31,172.39,44711500,0.0,0.0
2020-05-14,170.27,173.29,168.49,173.14,41873900,0.0,0.0
2020-05-15,171.73,179.4,169.76,175.66,46610400,0.0,0.0
2020-05-18,178.15,178.58,176.43,177.34,35264500,0.0,0.0
2020-05-19,177.46,178.96,175.98,176.11,26799100,0.0,0.0
2020-05-20,177.74,178.74,176.9,178.56,31261300,0.51,0.0
2020-05-21,178.31,179.53,176.28,176.41,29119500,0.0,0.0
2020-05-22,176.18,177.4,175.56,176.49,20826900,0.0,0.0
2020-05-26,179.21,179.36,174.17,174.62,36073600,0.0,0.0
2020-05-27,173.31,175.03,169.84,174.85,39517100,0.0,0.0
2020-05-28,173.83,177.1,173.48,174.46,33810200,0.0,0.0
2020-05-29,175.74,177.22,173.51,176.24,42130400,0.0,0.0
2020-06-01,175.56,176.0,174.52,175.84,22622400,0.0,0.0
2020-06-02,177.2,177.92,174.41,177.84,30794600,0.0,0.0
2020-06-03,177.75,178.83,176.56,178.27,27311000,0.0,0.0
2020-06-04,177.25,178.73,175.33,175.92,28761800,0.0,0.0
2020-06-05,175.63,180.55,175.05,180.04,39893600,0.0,0.0
2020-06-08,178.83,181.34,177.38,181.15,33211600,0.0,0.0
2020-06-09,180.81,183.4,180.1,182.54,29783900,0.0,0.0
2020-06-10,183.82,190.93,183.7,189.31,43872300,0.0,0.0
2020-06-11,185.74,188.27,178.95,179.14,52854700,0.0,0.0
2020-06-12,183.25,184.39,178.1,180.56,43373600,0.0,0.0
2020-06-15,177.52,183.52,176.97,181.71,32770200,0.0,0.0
2020-06-16,185.51,188.1,184.14,186.16,42556700,0.0,0.0
2020-06-17,187.57,188.81,186.28,186.81,25687800,0.0,0.0
2020-06-18,186.58,188.97,186.58,188.81,23061600,0.0,0.0
2020-06-19,190.99,191.67,186.93,187.68,44441100,0.0,0.0
2020-06-22,188.3,193.08,187.76,192.9,32818900,0.0,0.0
2020-06-23,194.36,196.15,193.72,194.19,30917400,0.0,0.0
2020-06-24,193.89,195.47,189.04,190.27,36740600,0.0,0.0
2020-06-25,190.23,192.94,187.99,192.68,27803900,0.0,0.0
2020-06-26,192.09,192.24,187.42,188.82,54675800,0.0,0.0
2020-06-29,188.29,190.94,186.15,190.85,26701600,0.0,0.0
2020-06-30,190.31,196.58,190.18,195.72,34310300,0.0,0.0
2020-07-01,195.37,198.46,194.05,196.87,32061200,0.0,0.0
2020-07-02,197.81,200.06,197.16,198.37,29315800,0.0,0.0
2020-07-06,200.84,203.05,200.13,202.64,31897600,0.0,0.0
2020-07-07,202.4,206.46,200.03,200.28,33600700,0.0,0.0
2020-07-08,202.03,205.1,200.71,204.69,33600000,0.0,0.0
2020-07-09,208.05,208.1,203.38,206.12,33121700,0.0,0.0
