,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,48.11,48.15,46.84,46.97,4549900,0.0,0.0
2020-02-24,44.49,44.65,42.18,42.58,6497100,0.0,0.0
2020-02-25,42.95,43.06,39.18,39.31,5898800,0.0,0.0
2020-02-26,39.56,39.56,36.15,36.2,8127700,0.0,0.0
2020-02-27,35.06,37.09,33.16,34.74,10504600,0.0,0.0
2020-02-28,33.27,37.25,33.2,37.25,9192400,0.0,0.0
2020-03-02,37.09,37.09,33.97,35.59,7318900,0.0,0.0
2020-03-03,35.38,35.9,33.08,33.61,5704600,0.0,0.0
2020-03-04,34.25,34.25,31.46,33.0,7154900,0.0,0.0
2020-03-05,31.3,31.37,28.0,28.59,8778700,0.0,0.0
2020-03-06,27.39,30.25,26.54,27.1,12408800,0.0,0.0
2020-03-09,23.93,24.09,19.7,19.8,12091800,0.0,0.0
2020-03-10,22.23,22.25,17.12,20.5,21711700,0.0,0.0
2020-03-11,19.36,19.45,14.77,15.02,21631700,0.0,0.0
2020-03-12,11.48,13.43,9.6,9.64,29445000,0.0,0.0
2020-03-13,13.32,13.6,9.86,11.1,43494100,0.0,0.0
2020-03-16,10.46,13.4,10.1,10.93,35890800,0.0,0.0
2020-03-17,11.51,11.61,9.82,10.02,25250500,0.0,0.0
2020-03-18,9.72,9.98,7.03,7.76,24363500,0.0,0.0
2020-03-19,8.02,8.85,7.25,8.22,16537300,0.0,0.0
2020-03-20,9.09,10.97,8.22,8.72,27443900,0.0,0.0
2020-03-23,8.94,10.59,8.43,9.67,27174100,0.0,0.0
2020-03-24,12.0,15.76,11.3,13.75,46798300,0.0,0.0
2020-03-25,17.14,18.0,14.32,16.95,47730700,0.0,0.0
2020-03-26,16.79,20.28,15.0,15.71,51130200,0.0,0.0
2020-03-27,14.31,14.31,12.01,12.02,44214100,0.0,0.0
2020-03-30,11.1,11.84,9.81,10.68,32858300,0.0,0.0
2020-03-31,10.53,12.39,10.4,10.96,35119800,0.0,0.0
2020-04-01,10.5,10.59,9.44,9.55,31934400,0.0,0.0
2020-04-02,9.15,9.89,8.07,8.39,33277200,0.0,0.0
2020-04-03,9.06,9.25,8.11,8.46,24203800,0.0,0.0
2020-04-06,9.19,10.18,8.8,10.01,40974200,0.0,0.0
2020-04-07,12.27,13.0,10.35,11.01,56733100,0.0,0.0
2020-04-08,11.46,11.94,10.9,11.72,28293100,0.0,0.0
2020-04-09,12.72,14.18,12.25,13.1,53320000,0.0,0.0
2020-04-13,12.05,12.05,11.0,11.35,34352100,0.0,0.0
2020-04-14,12.48,12.97,11.63,12.35,38677100,0.0,0.0
2020-04-15,11.6,12.25,11.39,12.07,20560300,0.0,0.0
2020-04-16,11.93,12.14,11.13,11.35,20442300,0.0,0.0
2020-04-17,12.19,12.5,11.8,12.38,25069500,0.0,0.0
2020-04-20,11.96,12.3,11.46,11.48,26653400,0.0,0.0
2020-04-21,11.1,11.56,10.81,11.0,22928600,0.0,0.0
2020-04-22,11.3,11.47,10.64,10.86,18037600,0.0,0.0
2020-04-23,10.94,11.68,10.92,11.47,23018700,0.0,0.0
2020-04-24,11.36,11.47,10.65,10.85,22271600,0.0,0.0
2020-04-27,11.03,11.86,10.9,11.43,28614000,0.0,0.0
2020-04-28,12.32,13.38,11.93,13.09,37342600,0.0,0.0
2020-04-29,14.43,16.45,14.07,16.4,62157700,0.0,0.0
2020-04-30,16.21,17.47,15.18,16.39,57984400,0.0,0.0
2020-05-01,15.25,15.73,13.69,13.84,43335600,0.0,0.0
2020-05-04,12.56,14.47,12.22,14.43,39664500,0.0,0.0
2020-05-05,12.75,13.22,11.02,11.18,155971800,0.0,0.0
2020-05-06,11.78,11.93,10.88,11.11,128458000,0.0,0.0
2020-05-07,11.39,12.5,11.39,12.0,82249000,0.0,0.0
2020-05-08,12.82,13.13,12.0,12.43,76876100,0.0,0.0
2020-05-11,12.15,12.28,11.52,11.72,42615400,0.0,0.0
2020-05-12,11.89,11.96,11.06,11.09,36548900,0.0,0.0
2020-05-13,11.0,11.02,9.89,10.31,55477600,0.0,0.0
2020-05-14,9.93,11.32,9.23,10.76,68694300,0.0,0.0
2020-05-15,10.52,11.36,10.31,10.92,45461300,0.0,0.0
2020-05-18,11.88,13.47,11.76,12.88,104486300,0.0,0.0
2020-05-19,12.92,13.14,11.88,12.43,65613300,0.0,0.0
2020-05-20,12.76,13.01,12.07,12.77,63558500,0.0,0.0
2020-05-21,12.96,14.35,12.81,14.02,77421100,0.0,0.0
2020-05-22,14.72,15.0,13.72,13.89,65214400,0.0,0.0
2020-05-26,15.35,16.17,15.25,16.03,76937900,0.0,0.0
2020-05-27,17.76,17.84,15.82,17.59,102210000,0.0,0.0
2020-05-28,17.37,17.44,15.93,16.06,78503000,0.0,0.0
2020-05-29,15.27,16.05,15.05,15.65,77407100,0.0,0.0
2020-06-01,15.88,17.35,15.71,17.29,62400000,0.0,0.0
2020-06-02,17.97,18.29,16.96,17.38,62632200,0.0,0.0
2020-06-03,16.79,18.43,16.7,17.97,78460800,0.0,0.0
2020-06-04,18.15,20.0,17.38,19.59,88301400,0.0,0.0
2020-06-05,24.2,24.29,21.6,22.43,109690000,0.0,0.0
2020-06-08,25.28,26.9,24.0,26.86,105202600,0.0,0.0
2020-06-09,25.04,25.5,23.14,24.12,85767900,0.0,0.0
2020-06-10,22.7,22.7,19.39,20.64,126632800,0.0,0.0
2020-06-11,16.76,19.0,16.45,17.25,119113500,0.0,0.0
2020-06-12,19.57,20.57,18.67,20.5,114996400,0.0,0.0
2020-06-15,18.36,20.5,18.17,19.98,81509700,0.0,0.0
2020-06-16,22.45,22.46,20.11,20.95,89311000,0.0,0.0
2020-06-17,18.96,20.04,18.86,19.2,68441600,0.0,0.0
2020-06-18,18.5,20.07,18.43,19.3,56711700,0.0,0.0
2020-06-19,19.88,20.0,17.71,18.21,78742400,0.0,0.0
2020-06-22,17.53,17.73,16.62,17.09,62807300,0.0,0.0
2020-06-23,17.29,18.18,17.04,18.03,51733600,0.0,0.0
2020-06-24,17.21,17.25,15.32,15.8,77704400,0.0,0.0
2020-06-25,14.55,16.14,14.5,16.07,56764000,0.0,0.0
2020-06-26,16.2,16.39,14.85,15.27,50406500,0.0,0.0
2020-06-29,15.18,16.65,14.6,16.55,51431800,0.0,0.0
2020-06-30,16.2,16.57,15.56,16.43,42330100,0.0,0.0
2020-07-01,16.93,18.18,16.29,16.42,56033300,0.0,0.0
2020-07-02,17.06,17.36,15.85,15.97,42555200,0.0,0.0
2020-07-06,16.05,16.48,15.4,16.12,36917000,0.0,0.0
2020-07-07,15.88,16.02,15.22,15.27,24714500,0.0,0.0
2020-07-08,15.14,16.15,14.9,15.98,32430000,0.0,0.0
2020-07-09,16.19,16.45,15.02,15.19,29313400,0.0,0.0
2020-07-10,15.06,16.45,14.86,16.39,43942500,0.0,0.0
2020-07-13,16.38,16.62,15.5,15.6,34578500,0.0,0.0
2020-07-14,15.22,15.53,14.85,15.32,29311400,0.0,0.0
2020-07-15,16.32,18.68,16.23,18.5,86360500,0.0,0.0
2020-07-16,16.57,17.1,15.6,15.6,76351200,0.0,0.0
2020-07-17,15.34,15.68,15.01,15.27,74412700,0.0,0.0
2020-07-20,15.51,15.94,14.81,14.89,50349000,0.0,0.0
2020-07-21,15.1,15.31,14.68,14.97,50576500,0.0,0.0
2020-07-22,14.85,15.1,14.57,14.65,28875400,0.0,0.0
2020-07-23,14.56,14.85,13.96,14.4,43441500,0.0,0.0
2020-07-24,14.22,14.68,14.06,14.38,25494200,0.0,0.0
2020-07-27,14.27,14.3,13.26,13.38,33689900,0.0,0.0
2020-07-28,13.34,14.52,13.31,14.22,43793700,0.0,0.0
2020-07-29,14.22,14.48,13.81,14.34,27760900,0.0,0.0
2020-07-30,13.97,14.31,13.77,14.17,24503400,0.0,0.0
2020-07-31,13.98,14.1,13.46,13.64,28346300,0.0,0.0
2020-08-03,13.31,13.38,12.56,13.06,40525300,0.0,0.0
2020-08-04,13.03,13.9,13.01,13.56,28813100,0.0,0.0
2020-08-05,13.97,14.19,13.43,13.72,33478900,0.0,0.0
2020-08-06,13.34,14.42,13.27,14.23,39913200,0.0,0.0
2020-08-07,14.09,14.18,13.47,13.98,31073500,0.0,0.0
2020-08-10,13.98,15.38,13.97,15.13,44266500,0.0,0.0
2020-08-11,16.46,16.57,15.55,15.64,54538400,0.0,0.0
2020-08-12,16.11,16.19,14.72,15.22,36454400,0.0,0.0
2020-08-13,14.94,15.9,14.93,15.34,24496700,0.0,0.0
2020-08-14,15.1,15.89,14.9,15.75,24861700,0.0,0.0
2020-08-17,15.85,15.85,15.03,15.39,20503000,0.0,0.0
2020-08-18,15.39,15.53,15.05,15.19,14170900,0.0,0.0
2020-08-19,15.21,16.37,15.06,15.68,30456700,0.0,0.0
2020-08-20,15.4,15.69,15.09,15.57,17282200,0.0,0.0
2020-08-21,15.5,15.86,15.44,15.56,15940000,0.0,0.0
2020-08-24,15.93,17.2,15.4,16.73,48402000,0.0,0.0
2020-08-25,16.84,17.1,16.19,16.75,26657600,0.0,0.0
2020-08-26,16.56,16.63,15.44,15.72,35788000,0.0,0.0
2020-08-27,16.21,17.29,16.13,16.64,45413800,0.0,0.0
2020-08-28,17.15,17.78,16.86,17.69,43052900,0.0,0.0
2020-08-31,17.67,17.84,17.06,17.11,28361300,0.0,0.0
2020-09-01,16.75,17.27,16.44,16.94,20325500,0.0,0.0
2020-09-02,16.93,17.09,16.37,16.98,19333600,0.0,0.0
2020-09-03,17.65,19.2,17.29,17.62,57080500,0.0,0.0
2020-09-04,18.27,18.61,17.48,18.42,45101900,0.0,0.0
2020-09-08,18.02,18.85,17.98,18.53,30798300,0.0,0.0
2020-09-09,18.29,18.47,17.47,17.93,23650100,0.0,0.0
2020-09-10,18.04,19.15,17.92,17.93,32735800,0.0,0.0
2020-09-11,18.12,18.12,17.18,17.51,21562200,0.0,0.0
2020-09-14,17.81,17.96,17.42,17.79,18679800,0.0,0.0
2020-09-15,17.77,17.84,16.78,16.96,30618100,0.0,0.0
2020-09-16,17.11,17.86,16.71,17.5,26509600,0.0,0.0
2020-09-17,16.97,17.55,16.7,17.26,21691000,0.0,0.0
2020-09-18,17.01,17.29,15.94,16.25,34292600,0.0,0.0
2020-09-21,15.46,15.72,14.72,14.98,32507000,0.0,0.0
2020-09-22,15.05,15.59,14.92,15.32,21506800,0.0,0.0
2020-09-23,15.5,16.17,15.13,15.17,21249100,0.0,0.0
2020-09-24,14.94,15.0,14.14,14.63,23348900,0.0,0.0
2020-09-25,15.81,16.63,15.56,16.62,48616000,0.0,0.0
2020-09-28,16.92,16.95,16.01,16.68,28960900,0.0,0.0
2020-09-29,16.6,16.85,16.28,16.55,14090800,0.0,0.0
2020-09-30,17.09,18.22,16.94,17.11,38387400,0.0,0.0
2020-10-01,17.39,17.4,16.73,17.34,22208800,0.0,0.0
2020-10-02,16.28,17.43,16.14,17.27,22461000,0.0,0.0
2020-10-05,17.05,17.36,16.69,16.98,15330900,0.0,0.0
2020-10-06,17.21,18.23,17.09,17.22,31714300,0.0,0.0
2020-10-07,17.75,18.15,17.45,18.01,16898500,0.0,0.0
2020-10-08,18.31,18.44,17.7,18.2,17459900,0.0,0.0
2020-10-09,18.29,18.9,17.97,18.72,24449200,0.0,0.0
2020-10-12,18.52,18.62,18.06,18.07,15878600,0.0,0.0
2020-10-13,17.29,17.37,16.42,16.59,28061700,0.0,0.0
2020-10-14,16.68,17.15,16.36,16.47,19207800,0.0,0.0
2020-10-15,16.18,16.23,15.64,16.1,19229800,0.0,0.0
2020-10-16,16.28,16.44,15.89,16.2,13688700,0.0,0.0
2020-10-19,16.31,16.76,16.18,16.45,12919300,0.0,0.0
2020-10-20,16.65,17.15,16.46,17.07,15685600,0.0,0.0
2020-10-21,17.0,17.13,16.72,16.98,11362300,0.0,0.0
2020-10-22,17.1,17.75,17.02,17.7,16692200,0.0,0.0
2020-10-23,17.71,18.4,17.45,18.35,21988100,0.0,0.0
2020-10-26,17.73,17.73,16.35,16.79,27651100,0.0,0.0
2020-10-27,16.85,17.06,16.51,16.53,12990900,0.0,0.0
2020-10-28,15.84,16.03,15.0,15.02,26446200,0.0,0.0
2020-10-29,15.05,15.85,14.77,15.77,19523900,0.0,0.0
2020-10-30,15.48,17.06,15.3,16.62,41916000,0.0,0.0
2020-11-02,16.05,16.21,15.28,16.17,25069900,0.0,0.0
2020-11-03,16.2,16.72,16.12,16.54,15148300,0.0,0.0
2020-11-04,16.5,16.72,16.12,16.15,13519800,0.0,0.0
2020-11-05,16.39,17.3,16.39,17.25,17527400,0.0,0.0
2020-11-06,17.06,17.29,16.64,16.96,14037000,0.0,0.0
2020-11-09,21.02,23.04,20.36,21.51,75069900,0.0,0.0
2020-11-10,20.79,21.12,19.37,20.12,37843700,0.0,0.0
2020-11-11,20.53,20.84,19.35,19.52,26873800,0.0,0.0
2020-11-12,18.79,19.87,18.61,18.85,26427400,0.0,0.0
2020-11-13,19.28,20.27,19.15,20.05,22894200,0.0,0.0
2020-11-16,21.93,22.02,21.03,21.3,40909500,0.0,0.0
2020-11-17,21.1,22.62,20.77,22.05,32189600,0.0,0.0
2020-11-18,20.67,21.37,20.4,20.45,71591700,0.0,0.0
2020-11-19,20.57,21.29,20.48,21.02,36017800,0.0,0.0
2020-11-20,21.11,21.27,19.94,19.98,30469700,0.0,0.0
2020-11-23,20.62,21.03,20.06,20.88,30434400,0.0,0.0
2020-11-24,22.04,22.63,21.79,22.54,38926200,0.0,0.0
2020-11-25,22.82,23.35,22.0,23.2,30769200,0.0,0.0
2020-11-27,23.46,24.31,23.45,23.68,17081000,0.0,0.0
2020-11-30,24.05,24.2,22.31,22.87,25635800,0.0,0.0
2020-12-01,23.54,23.67,22.81,22.94,20283500,0.0,0.0
2020-12-02,22.39,23.5,21.81,23.39,20709000,0.0,0.0
2020-12-03,23.6,25.79,23.54,25.42,44080500,0.0,0.0
2020-12-04,26.11,26.45,25.17,26.29,33185000,0.0,0.0
2020-12-07,26.31,26.64,25.7,26.5,23744800,0.0,0.0
2020-12-08,26.29,28.17,26.25,28.14,27515500,0.0,0.0
2020-12-09,28.96,28.97,26.2,27.26,43942900,0.0,0.0
2020-12-10,26.64,27.54,26.54,27.44,24569400,0.0,0.0
2020-12-11,27.53,27.87,26.26,26.51,21177900,0.0,0.0
2020-12-14,27.21,27.54,25.21,25.4,24467000,0.0,0.0
2020-12-15,24.93,25.51,23.79,25.21,33097200,0.0,0.0
2020-12-16,25.22,25.73,24.68,25.45,21274500,0.0,0.0
2020-12-17,25.7,25.7,25.03,25.4,12857000,0.0,0.0
2020-12-18,25.48,26.09,24.86,25.18,20648600,0.0,0.0
2020-12-21,23.62,24.89,23.45,24.78,22591400,0.0,0.0
2020-12-22,24.85,24.87,23.04,23.07,24903000,0.0,0.0
2020-12-23,23.27,24.7,23.15,24.5,18389600,0.0,0.0
2020-12-24,24.5,24.79,24.12,24.57,7884200,0.0,0.0
2020-12-28,25.14,25.94,24.79,25.53,16371400,0.0,0.0
2020-12-29,26.0,26.11,25.04,25.38,12962800,0.0,0.0
2020-12-30,25.37,26.09,25.2,25.63,11142100,0.0,0.0
