,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,61.08,61.92,60.88,60.88,9091600,0.0,0.0
2020-02-25,60.88,61.32,59.96,60.08,10285600,0.0,0.0
2020-02-26,59.77,60.74,59.56,59.89,9551600,0.0,0.0
2020-02-27,59.88,60.53,57.11,57.16,14604000,0.35,0.0
2020-02-28,55.44,56.73,54.31,56.47,27468400,0.0,0.0
2020-03-02,56.67,60.08,56.37,59.95,19305600,0.0,0.0
2020-03-03,60.12,61.28,58.73,59.24,15636000,0.0,0.0
2020-03-04,60.14,63.13,60.14,63.05,14713200,0.0,0.0
2020-03-05,61.9,62.53,60.87,61.7,12412000,0.0,0.0
2020-03-06,60.0,60.97,58.47,60.73,14556400,0.0,0.0
2020-03-09,56.85,59.5,56.85,58.37,15564400,0.0,0.0
2020-03-10,59.35,59.72,54.14,57.13,23743600,0.0,0.0
2020-03-11,55.67,55.68,53.3,53.9,19631200,0.0,0.0
2020-03-12,48.29,51.76,46.03,46.67,31668400,0.0,0.0
2020-03-13,49.16,49.6,43.87,49.5,31586400,0.0,0.0
2020-03-16,44.23,49.3,43.95,44.99,20240400,0.0,0.0
2020-03-17,45.9,50.82,45.58,49.54,21538000,0.0,0.0
2020-03-18,46.71,50.94,44.63,47.06,22198000,0.0,0.0
2020-03-19,46.92,49.51,44.8,46.27,17441200,0.0,0.0
2020-03-20,45.97,46.89,41.75,42.84,22482400,0.0,0.0
2020-03-23,41.7,42.13,39.05,40.58,23661600,0.0,0.0
2020-03-24,41.97,46.58,41.66,46.14,17900800,0.0,0.0
2020-03-25,45.95,49.21,43.58,46.98,17794400,0.0,0.0
2020-03-26,47.12,52.32,47.05,51.63,14655200,0.0,0.0
2020-03-27,50.37,53.69,49.91,51.82,16184400,0.0,0.0
2020-03-30,53.02,55.46,52.36,54.96,16373600,0.0,0.0
2020-03-31,54.09,55.38,53.43,53.76,18899200,0.0,0.0
2020-04-01,51.6,51.83,47.6,48.75,13691200,0.0,0.0
2020-04-02,48.03,51.28,47.84,50.59,9234400,0.0,0.0
2020-04-03,50.04,51.07,48.6,49.52,8755600,0.0,0.0
2020-04-06,51.56,52.96,50.94,52.39,13267600,0.0,0.0
2020-04-07,53.7,53.84,50.97,51.05,10507200,0.0,0.0
2020-04-08,51.3,52.77,50.05,52.17,18290800,0.0,0.0
2020-04-09,52.69,56.05,52.59,54.8,19587600,0.0,0.0
2020-04-13,54.19,54.48,52.36,52.77,10757200,0.0,0.0
2020-04-14,54.03,54.73,53.25,54.15,11673200,0.0,0.0
2020-04-15,53.63,53.93,52.62,53.0,9990800,0.0,0.0
2020-04-16,53.61,53.8,52.65,53.06,10331200,0.0,0.0
2020-04-17,54.18,55.21,53.34,55.02,10952800,0.0,0.0
2020-04-20,54.84,55.25,52.97,53.09,8714400,0.0,0.0
2020-04-21,52.52,53.21,51.62,52.6,10622000,0.0,0.0
2020-04-22,53.16,55.56,53.16,55.22,11759600,0.0,0.0
2020-04-23,55.05,55.35,53.65,53.87,9360400,0.0,0.0
2020-04-24,54.01,54.05,52.71,53.55,8029200,0.0,0.0
2020-04-27,54.09,55.03,53.94,54.42,8457600,0.0,0.0
2020-04-28,55.02,55.16,53.19,53.46,8464800,0.0,0.0
2020-04-29,54.06,54.14,52.12,52.53,9901600,0.0,0.0
2020-04-30,52.25,52.26,51.14,51.63,17934800,0.0,0.0
2020-05-01,51.36,51.39,50.27,50.73,9168000,0.0,0.0
2020-05-04,50.71,51.65,50.25,51.4,9077200,0.0,0.0
2020-05-05,51.69,52.4,51.25,51.41,8042000,0.0,0.0
2020-05-06,51.59,51.64,49.74,49.74,7377600,0.0,0.0
2020-05-07,50.31,51.07,49.77,50.15,8692000,0.0,0.0
2020-05-08,50.8,51.53,50.43,51.32,11308800,0.0,0.0
2020-05-11,50.67,51.0,50.07,50.8,7854400,0.0,0.0
2020-05-12,50.98,51.26,50.33,50.92,9565200,0.0,0.0
2020-05-13,50.68,51.5,50.49,51.41,14076800,0.0,0.0
2020-05-14,50.89,52.13,50.78,51.88,11595600,0.0,0.0
2020-05-15,51.39,51.58,49.87,50.9,20232400,0.0,0.0
2020-05-18,52.27,52.93,51.94,52.6,9123200,0.0,0.0
2020-05-19,52.26,52.44,51.49,51.5,6532800,0.0,0.0
2020-05-20,51.9,52.78,51.56,52.01,5847200,0.0,0.0
2020-05-21,51.99,52.16,50.95,51.14,8308400,0.0,0.0
2020-05-22,51.12,52.28,50.75,52.24,5990000,0.0,0.0
2020-05-26,52.8,53.26,52.23,52.35,7658800,0.0,0.0
2020-05-27,53.12,53.9,52.49,53.87,12343600,0.0,0.0
2020-05-28,54.6,56.31,54.43,56.16,12416000,0.0,0.0
2020-05-29,55.88,57.31,55.74,57.1,15309600,0.0,0.0
2020-06-01,57.08,58.03,56.44,57.43,6655600,0.35,0.0
2020-06-02,57.41,58.48,57.0,57.64,10640000,0.0,0.0
2020-06-03,58.0,58.92,57.67,58.31,7303200,0.0,0.0
2020-06-04,57.88,58.53,55.73,56.59,12012400,0.0,0.0
2020-06-05,56.65,58.08,56.16,57.15,12370800,0.0,0.0
2020-06-08,56.85,58.57,56.29,58.52,8149200,0.0,0.0
2020-06-09,58.21,58.22,57.07,58.11,7990400,0.0,0.0
2020-06-10,58.14,58.61,57.41,57.69,6674400,0.0,0.0
