,EPS Estimate,Reported EPS,Surprise(%)
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,1.11,nan,nan
2024-10-22 20:00:00-04:00,0.86,0.81,-5.81
2024-07-23 20:00:00-04:00,0.62,0.72,16.41
2024-04-24 20:00:00-04:00,0.36,0.55,54.3
2024-02-21 19:00:00-05:00,0.46,0.5,8.9
2023-10-25 20:00:00-04:00,0.43,0.36,-17.12
2023-07-19 20:00:00-04:00,0.44,0.33,-24.81
2023-04-26 20:00:00-04:00,0.33,0.4,20.62
2023-02-22 19:00:00-05:00,0.46,0.44,-3.82
