,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,25.2,25.38,25.01,25.08,3735200,0.0,0.0
2020-02-24,24.96,25.03,24.44,24.55,3224700,0.0,0.0
2020-02-25,24.56,24.59,23.82,23.82,4048300,0.0,0.0
2020-02-26,23.22,24.52,22.25,23.29,10578000,0.0,0.0
2020-02-27,23.25,24.12,22.92,22.92,6725600,0.0,0.0
2020-02-28,22.71,23.13,22.0,22.68,12727800,0.0,0.0
2020-03-02,22.68,23.97,22.57,23.97,7194600,0.0,0.0
2020-03-03,23.99,24.43,23.62,23.82,4823100,0.0,0.0
2020-03-04,24.13,25.08,24.1,25.07,3591600,0.0,0.0
2020-03-05,24.66,25.27,24.5,24.87,4713400,0.0,0.0
2020-03-06,24.22,24.87,23.94,24.73,6804000,0.0,0.0
2020-03-09,23.52,23.92,22.54,23.24,7440100,0.0,0.0
2020-03-10,23.43,24.02,22.75,23.94,7176100,0.0,0.0
2020-03-11,23.41,23.55,22.46,22.75,4040000,0.0,0.0
2020-03-12,21.38,21.84,20.09,20.16,5799200,0.0,0.0
2020-03-13,21.12,21.14,19.66,21.14,3373600,0.0,0.0
2020-03-16,17.42,19.93,16.42,17.58,5235900,0.0,0.0
2020-03-17,18.07,20.88,17.15,20.62,6849400,0.0,0.0
2020-03-18,19.57,20.09,18.6,19.81,5782400,0.0,0.0
2020-03-19,19.79,20.17,17.83,19.61,4183300,0.0,0.0
2020-03-20,19.72,20.32,17.45,17.63,3988100,0.0,0.0
2020-03-23,17.48,18.12,17.0,17.51,5597600,0.0,0.0
2020-03-24,18.01,18.58,17.11,18.42,4950800,0.0,0.0
2020-03-25,18.31,19.73,17.01,19.16,4885500,0.0,0.0
2020-03-26,19.09,20.83,19.09,20.61,3938700,0.0,0.0
2020-03-27,19.97,21.47,19.86,20.78,4955100,0.0,0.0
2020-03-30,21.1,22.03,20.75,21.89,3376600,0.0,0.0
2020-03-31,21.53,21.73,20.84,20.96,3855400,0.0,0.0
2020-04-01,20.14,20.6,18.87,19.36,3460600,0.0,0.0
2020-04-02,19.09,20.1,19.08,19.72,4229400,0.0,0.0
2020-04-03,19.47,19.62,18.75,18.88,4165000,0.0,0.0
2020-04-06,19.61,20.89,19.5,20.61,2894600,0.0,0.0
2020-04-07,21.08,21.22,20.08,20.24,3168700,0.0,0.0
2020-04-08,20.35,21.52,20.09,21.38,1920200,0.0,0.0
2020-04-09,21.62,22.71,21.62,22.31,2784600,0.0,0.0
2020-04-13,21.97,22.19,21.43,21.58,1527700,0.0,0.0
2020-04-14,22.05,22.39,21.83,22.34,2106800,0.0,0.0
2020-04-15,21.88,21.88,21.27,21.36,2286700,0.0,0.0
2020-04-16,21.54,21.99,21.18,21.77,4369600,0.0,0.0
2020-04-17,22.29,22.55,21.73,22.14,2435400,0.0,0.0
2020-04-20,21.94,22.13,21.23,21.39,2644300,0.0,0.0
2020-04-21,20.95,21.56,20.95,21.3,2636300,0.0,0.0
2020-04-22,21.69,21.97,21.33,21.83,2917600,0.0,0.0
2020-04-23,21.75,21.95,21.37,21.7,3341700,0.0,0.0
2020-04-24,21.39,21.92,21.25,21.85,3993100,0.0,0.0
2020-04-27,21.98,22.18,21.78,22.03,2151300,0.0,0.0
2020-04-28,22.5,22.7,22.32,22.54,3014700,0.0,0.0
2020-04-29,23.05,23.05,21.87,21.94,3219700,0.21,0.0
2020-04-30,21.73,21.75,21.13,21.24,2955700,0.0,0.0
2020-05-01,21.04,21.05,20.45,20.7,2207300,0.0,0.0
2020-05-04,20.66,20.86,20.39,20.64,2369500,0.0,0.0
2020-05-05,20.71,21.02,20.67,20.75,3466600,0.0,0.0
2020-05-06,20.84,20.85,19.34,19.39,4410100,0.0,0.0
2020-05-07,19.75,19.98,19.33,19.37,4612800,0.0,0.0
2020-05-08,19.57,19.79,19.43,19.69,3748900,0.0,0.0
2020-05-11,19.56,20.08,19.23,19.87,5410300,0.0,0.0
2020-05-12,19.9,19.94,19.2,19.26,3727600,0.0,0.0
2020-05-13,19.19,19.19,18.6,18.96,4270700,0.0,0.0
2020-05-14,18.84,19.1,18.25,19.03,3434700,0.0,0.0
2020-05-15,18.92,19.12,18.15,18.92,9315600,0.0,0.0
2020-05-18,19.41,19.95,19.39,19.6,3931800,0.0,0.0
2020-05-19,19.52,19.77,19.38,19.5,2670300,0.0,0.0
2020-05-20,19.55,19.86,19.42,19.53,1895200,0.0,0.0
2020-05-21,19.44,19.85,19.4,19.45,2284900,0.0,0.0
2020-05-22,19.4,19.57,19.32,19.53,1899200,0.0,0.0
2020-05-26,19.83,20.16,19.71,19.79,1890700,0.0,0.0
2020-05-27,20.09,20.19,19.47,19.73,4091800,0.0,0.0
2020-05-28,20.04,20.36,19.93,20.32,3594600,0.0,0.0
2020-05-29,20.18,20.38,19.99,20.16,5885800,0.0,0.0
2020-06-01,20.13,20.67,20.04,20.48,2402400,0.0,0.0
2020-06-02,20.7,20.96,20.53,20.91,3544600,0.0,0.0
2020-06-03,21.07,21.67,20.99,21.42,3984000,0.0,0.0
2020-06-04,21.2,21.29,20.58,20.83,3247100,0.0,0.0
2020-06-05,21.18,21.73,21.16,21.22,2665600,0.0,0.0
2020-06-08,21.25,21.72,20.96,21.67,1945200,0.0,0.0
2020-06-09,21.43,21.43,20.86,21.01,2028600,0.0,0.0
2020-06-10,21.01,21.17,20.63,20.65,2504300,0.0,0.0
2020-06-11,20.19,20.29,19.44,19.56,2414900,0.0,0.0
2020-06-12,20.0,20.06,19.22,19.68,2521700,0.0,0.0
2020-06-15,19.32,19.97,19.02,19.86,3139300,0.0,0.0
2020-06-16,20.41,20.66,19.9,20.0,2606400,0.0,0.0
2020-06-17,20.05,20.1,19.7,19.92,2036900,0.0,0.0
2020-06-18,19.77,20.11,19.75,20.08,1997300,0.0,0.0
2020-06-19,20.44,20.44,19.41,19.43,5833700,0.0,0.0
2020-06-22,19.36,19.71,19.17,19.65,2114200,0.0,0.0
2020-06-23,19.92,19.92,19.25,19.33,2729900,0.0,0.0
2020-06-24,19.14,19.25,18.69,18.95,2590000,0.0,0.0
2020-06-25,18.9,18.92,18.2,18.89,3687100,0.0,0.0
2020-06-26,18.9,19.03,18.61,18.91,7111300,0.0,0.0
2020-06-29,19.09,19.25,18.91,19.2,1892500,0.0,0.0
2020-06-30,19.2,19.42,19.05,19.24,3340300,0.0,0.0
2020-07-01,19.23,19.97,19.22,19.85,3927700,0.0,0.0
2020-07-02,19.97,20.12,19.71,19.76,2353900,0.0,0.0
2020-07-06,19.87,20.12,19.42,19.7,2576400,0.0,0.0
2020-07-07,19.47,19.8,19.38,19.74,3190900,0.0,0.0
2020-07-08,19.71,19.84,19.53,19.78,3755600,0.0,0.0
2020-07-09,19.62,19.7,19.14,19.42,2886100,0.0,0.0
2020-07-10,19.36,19.98,19.36,19.94,3070800,0.0,0.0
2020-07-13,19.95,20.41,19.89,20.32,5628500,0.0,0.0
2020-07-14,20.37,20.52,19.97,20.09,5504800,0.0,0.0
2020-07-15,20.28,20.51,20.04,20.07,3111200,0.0,0.0
2020-07-16,20.08,20.44,20.02,20.18,1749500,0.0,0.0
2020-07-17,20.3,20.65,20.21,20.59,1867300,0.0,0.0
2020-07-20,20.49,20.5,20.07,20.09,2535900,0.0,0.0
2020-07-21,20.05,20.47,20.04,20.14,3085200,0.0,0.0
2020-07-22,20.11,21.0,19.91,20.85,3395300,0.0,0.0
2020-07-23,20.85,21.0,20.69,20.93,3559200,0.0,0.0
2020-07-24,21.05,21.41,20.65,20.76,2722200,0.0,0.0
2020-07-27,20.73,20.73,20.43,20.54,1422700,0.0,0.0
2020-07-28,20.44,21.0,20.43,20.87,1802500,0.0,0.0
2020-07-29,20.95,20.99,20.74,20.95,1764500,0.0,0.0
2020-07-30,20.76,20.9,20.55,20.9,1880900,0.21,0.0
2020-07-31,20.85,20.96,20.51,20.86,2575700,0.0,0.0
2020-08-03,20.79,20.81,20.28,20.46,2249500,0.0,0.0
2020-08-04,20.36,20.78,20.36,20.61,3290600,0.0,0.0
2020-08-05,20.99,21.44,20.46,20.79,3774900,0.0,0.0
2020-08-06,20.64,20.84,20.4,20.77,2846400,0.0,0.0
2020-08-07,20.63,21.4,20.63,21.12,3434000,0.0,0.0
2020-08-10,21.19,21.28,20.93,21.17,2771900,0.0,0.0
2020-08-11,21.29,21.29,20.62,20.73,2918400,0.0,0.0
2020-08-12,20.89,21.14,20.75,21.12,2890300,0.0,0.0
2020-08-13,20.96,21.08,20.67,20.78,2311100,0.0,0.0
2020-08-14,20.76,20.77,20.53,20.58,1504100,0.0,0.0
2020-08-17,20.59,20.73,20.44,20.44,1886800,0.0,0.0
2020-08-18,20.44,20.49,20.0,20.12,2159900,0.0,0.0
2020-08-19,20.15,20.15,19.91,20.0,1960100,0.0,0.0
2020-08-20,19.86,19.95,19.53,19.6,3243300,0.0,0.0
