,Close,High,Low,Open,Volume,Dividends,Stock Splits
2020-02-21,nan,nan,nan,nan,0,1.32,0.0
2020-02-24,332.34,338.32,330.8,331.05,997500,0.0,0.0
2020-02-25,314.38,334.24,313.28,333.9,1458800,0.0,0.0
2020-02-26,309.16,321.02,309.15,316.72,934400,0.0,0.0
2020-02-27,306.62,312.37,300.54,304.69,2054500,0.0,0.0
2020-02-28,304.09,305.0,290.35,295.92,2919600,0.0,0.0
2020-03-02,310.7,311.57,297.64,305.59,1547000,0.0,0.0
2020-03-03,304.59,321.72,304.25,310.7,1207900,0.0,0.0
2020-03-04,320.86,321.8,305.65,310.32,1193700,0.0,0.0
2020-03-05,303.11,316.29,301.34,313.93,1214100,0.0,0.0
2020-03-06,304.2,306.92,292.07,295.29,1361200,0.0,0.0
2020-03-09,289.7,296.6,258.93,283.84,1355400,0.0,0.0
2020-03-10,309.69,309.92,297.42,300.25,1826700,0.0,0.0
2020-03-11,293.93,305.5,288.4,300.96,1484400,0.0,0.0
2020-03-12,268.64,285.71,267.49,274.64,2525900,0.0,0.0
2020-03-13,290.83,291.89,267.8,280.81,2307500,0.0,0.0
2020-03-16,261.32,277.83,253.92,253.92,1520200,0.0,0.0
2020-03-17,295.3,295.82,265.94,266.66,2113200,0.0,0.0
2020-03-18,298.69,301.33,276.14,278.36,1779400,0.0,0.0
2020-03-19,274.56,298.68,267.72,296.98,1711600,0.0,0.0
2020-03-20,262.64,278.5,254.09,278.29,1768500,0.0,0.0
2020-03-23,249.55,261.93,243.49,259.71,1497400,0.0,0.0
2020-03-24,260.11,262.63,252.11,259.16,1655100,0.0,0.0
2020-03-25,266.66,279.25,258.0,260.58,1615600,0.0,0.0
2020-03-26,297.02,297.69,268.76,268.76,1425500,0.0,0.0
2020-03-27,288.66,294.78,278.9,288.42,1504800,0.0,0.0
2020-03-30,290.11,298.62,285.62,293.52,1261700,0.0,0.0
2020-03-31,279.78,287.59,277.77,285.9,1980200,0.0,0.0
2020-04-01,283.89,286.66,268.75,271.74,1226500,0.0,0.0
2020-04-02,290.64,291.04,278.99,279.18,1061900,0.0,0.0
2020-04-03,290.01,291.8,286.96,290.28,834900,0.0,0.0
2020-04-06,307.32,310.04,295.46,295.92,1047600,0.0,0.0
2020-04-07,301.02,317.47,300.5,316.92,1098500,0.0,0.0
2020-04-08,304.86,311.3,302.46,305.45,919000,0.0,0.0
2020-04-09,311.31,313.6,305.77,309.43,1115800,0.0,0.0
2020-04-13,313.35,315.84,308.99,311.37,639000,0.0,0.0
2020-04-14,322.54,325.51,316.26,318.77,639100,0.0,0.0
2020-04-15,318.38,320.06,311.19,319.98,712300,0.0,0.0
2020-04-16,320.18,322.13,316.56,317.73,879700,0.0,0.0
2020-04-17,329.49,330.24,320.89,327.0,1236800,0.0,0.0
2020-04-20,318.03,327.71,317.66,327.04,695700,0.0,0.0
2020-04-21,308.57,320.51,307.28,315.29,813200,0.0,0.0
2020-04-22,316.27,317.7,309.76,313.65,676200,0.0,0.0
2020-04-23,310.56,318.11,310.34,316.23,1104400,0.0,0.0
2020-04-24,313.77,315.19,307.01,312.56,560400,0.0,0.0
2020-04-27,318.86,320.68,314.88,316.23,764500,0.0,0.0
2020-04-28,318.6,324.97,316.85,322.99,696100,0.0,0.0
2020-04-29,306.86,321.03,296.96,307.52,2044500,0.0,0.0
2020-04-30,305.78,306.93,298.67,302.91,1137400,0.0,0.0
2020-05-01,303.37,305.4,299.87,302.35,849700,0.0,0.0
2020-05-04,298.28,302.39,295.7,301.8,576400,0.0,0.0
2020-05-05,304.0,306.96,298.01,299.14,595700,0.0,0.0
2020-05-06,298.72,306.56,298.25,305.76,570600,0.0,0.0
2020-05-07,299.75,302.39,298.45,302.36,593100,0.0,0.0
2020-05-08,302.99,304.27,298.44,299.85,664800,0.0,0.0
2020-05-11,302.83,304.76,300.32,301.56,922300,0.0,0.0
2020-05-12,301.01,307.5,300.9,304.13,1098300,0.0,0.0
2020-05-13,296.34,301.29,293.89,300.02,690600,0.0,0.0
2020-05-14,288.45,294.35,284.2,294.31,1121800,0.0,0.0
2020-05-15,297.42,299.71,286.9,287.88,1672600,0.0,0.0
2020-05-18,306.25,308.72,298.29,305.33,934400,0.0,0.0
2020-05-19,302.42,309.96,302.09,305.93,564000,0.0,0.0
2020-05-20,296.29,306.97,295.65,306.97,899000,0.0,0.0
2020-05-21,303.42,304.73,295.69,296.46,733400,0.0,0.0
2020-05-22,301.38,304.19,299.1,304.19,723900,0.0,0.0
2020-05-26,299.79,308.26,299.13,308.13,1217700,0.0,0.0
2020-05-27,317.17,317.65,301.65,303.32,934600,0.0,0.0
2020-05-28,316.94,322.53,316.55,320.34,728200,0.0,0.0
2020-05-29,311.29,316.44,310.55,315.6,1118800,1.45,0.0
2020-06-01,307.08,317.72,306.69,311.69,1232400,0.0,0.0
2020-06-02,303.73,310.01,301.86,308.66,1451400,0.0,0.0
2020-06-03,312.0,312.67,304.21,306.25,1628800,0.0,0.0
2020-06-04,311.79,316.62,310.32,312.54,689900,0.0,0.0
2020-06-05,317.7,321.87,315.46,318.77,1259700,0.0,0.0
2020-06-08,323.91,324.36,317.12,317.22,661500,0.0,0.0
2020-06-09,318.1,322.14,316.67,322.14,1039200,0.0,0.0
2020-06-10,316.91,319.54,314.32,316.9,606200,0.0,0.0
2020-06-11,298.09,312.71,297.94,306.46,965900,0.0,0.0
2020-06-12,295.02,305.25,290.75,305.25,817800,0.0,0.0
2020-06-15,291.25,293.48,286.54,288.58,1194300,0.0,0.0
2020-06-16,301.58,305.97,295.09,301.33,1069500,0.0,0.0
2020-06-17,299.3,303.92,297.7,300.71,613200,0.0,0.0
2020-06-18,295.16,298.56,293.55,296.85,741700,0.0,0.0
2020-06-19,290.36,299.56,290.1,299.03,1242500,0.0,0.0
2020-06-22,293.05,293.09,287.5,289.68,838100,0.0,0.0
2020-06-23,285.19,294.39,284.91,294.25,979900,0.0,0.0
2020-06-24,280.37,283.52,277.9,282.88,1217000,0.0,0.0
2020-06-25,280.23,280.96,273.03,278.94,1285600,0.0,0.0
2020-06-26,280.33,284.25,277.61,279.23,1286500,0.0,0.0
2020-06-29,286.98,286.98,281.69,283.08,734000,0.0,0.0
2020-06-30,285.51,287.16,282.69,286.65,772900,0.0,0.0
2020-07-01,286.16,288.95,284.64,286.84,737900,0.0,0.0
2020-07-02,287.86,290.9,286.61,288.94,629700,0.0,0.0
2020-07-06,290.12,291.14,286.74,290.72,739200,0.0,0.0
