,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,2.95,3.04,2.95
2024-10-21 20:00:00-04:00,3.11,3.25,4.54
2024-07-24 20:00:00-04:00,2.86,3.06,6.93
2024-04-23 20:00:00-04:00,2.6,2.49,-4.05
2024-01-25 19:00:00-05:00,2.87,2.83,-1.31
2023-10-24 20:00:00-04:00,2.69,2.65,-1.34
2023-07-26 20:00:00-04:00,3.11,2.95,-5.26
2023-04-25 20:00:00-04:00,3.12,3.32,6.27
