,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,42.72,43.29,42.51,42.77,2793400,0.0,0.0
2020-02-25,42.9,42.96,40.62,40.67,3336500,0.0,0.0
2020-02-26,41.07,41.12,39.48,39.49,2878600,0.0,0.0
2020-02-27,38.96,39.52,37.7,37.81,3649800,0.0,0.0
2020-02-28,36.51,37.68,36.11,37.39,4665900,0.0,0.0
2020-03-02,37.68,38.63,36.55,38.62,4039800,0.0,0.0
2020-03-03,38.67,39.86,37.25,37.87,3277600,0.0,0.0
2020-03-04,38.63,39.11,37.96,39.06,2302600,0.0,0.0
2020-03-05,37.66,37.89,36.36,36.87,2899900,0.0,0.0
2020-03-06,35.89,37.01,35.14,35.82,2975000,0.0,0.0
2020-03-09,33.29,34.0,31.38,31.4,3939600,0.0,0.0
2020-03-10,33.03,33.76,31.22,33.58,3648300,0.0,0.0
2020-03-11,32.51,32.94,31.27,32.04,3356500,0.0,0.0
2020-03-12,29.44,31.27,28.58,28.73,4495200,0.0,0.0
2020-03-13,30.75,32.41,29.47,32.41,4387700,0.0,0.0
2020-03-16,28.71,30.47,27.4,27.71,3168400,0.0,0.0
2020-03-17,28.33,29.42,26.9,28.02,3875600,0.0,0.0
2020-03-18,26.4,26.88,24.89,26.54,4376500,0.0,0.0
2020-03-19,26.62,30.63,26.33,27.87,3166600,0.0,0.0
2020-03-20,28.79,29.13,27.17,27.7,4139900,0.0,0.0
2020-03-23,27.45,28.4,25.67,25.7,3721800,0.0,0.0
2020-03-24,27.49,29.53,27.29,28.92,3644400,0.0,0.0
2020-03-25,29.19,30.36,27.49,28.21,3323900,0.0,0.0
2020-03-26,28.45,30.55,27.82,30.33,4184100,0.0,0.0
2020-03-27,29.6,30.69,29.0,30.17,3114400,0.0,0.0
2020-03-30,30.02,32.17,29.44,31.97,5136000,0.4,0.0
2020-03-31,31.99,34.02,31.51,32.97,4390100,0.0,0.0
2020-04-01,31.28,33.08,31.17,32.86,5412700,0.0,0.0
2020-04-02,32.92,33.93,32.1,32.9,4188200,0.0,0.0
2020-04-03,32.62,33.33,32.42,32.63,3504600,0.0,0.0
2020-04-06,34.24,34.85,33.75,34.34,5256500,0.0,0.0
2020-04-07,36.0,36.08,34.0,34.16,4768400,0.0,0.0
2020-04-08,34.51,36.22,34.16,35.75,3152100,0.0,0.0
2020-04-09,36.51,37.45,35.53,36.09,3478600,0.0,0.0
2020-04-13,36.23,36.38,35.03,35.51,3278100,0.0,0.0
2020-04-14,36.19,36.59,34.64,35.13,3349400,0.0,0.0
2020-04-15,32.89,33.23,32.07,32.52,3675800,0.0,0.0
2020-04-16,32.82,32.82,31.78,32.51,2652600,0.0,0.0
2020-04-17,33.8,34.45,33.61,34.17,2111700,0.0,0.0
2020-04-20,33.17,34.13,32.82,33.44,2033800,0.0,0.0
2020-04-21,32.36,33.32,32.33,33.0,2043700,0.0,0.0
2020-04-22,33.92,33.98,33.01,33.32,1603200,0.0,0.0
2020-04-23,33.48,35.11,33.4,34.53,2363600,0.0,0.0
2020-04-24,35.08,35.62,34.48,34.67,2393500,0.0,0.0
2020-04-27,34.85,37.85,34.79,37.07,3438000,0.0,0.0
2020-04-28,36.0,37.71,35.75,37.06,4238400,0.0,0.0
2020-04-29,37.99,39.35,37.99,38.9,4256700,0.0,0.0
2020-04-30,38.1,38.66,37.5,37.71,4537600,0.0,0.0
2020-05-01,36.75,38.09,36.67,37.53,2802800,0.0,0.0
2020-05-04,36.84,37.73,36.53,37.59,2115100,0.0,0.0
2020-05-05,38.22,38.58,37.19,37.3,2726500,0.0,0.0
2020-05-06,37.62,37.94,36.81,37.07,1563700,0.0,0.0
2020-05-07,37.75,38.24,37.37,37.45,1803000,0.0,0.0
2020-05-08,38.0,38.69,37.97,38.63,1614100,0.0,0.0
2020-05-11,37.61,38.12,36.96,37.19,2326800,0.0,0.0
2020-05-12,37.4,37.4,35.69,35.71,1924900,0.0,0.0
2020-05-13,35.32,35.44,33.82,34.16,2895100,0.0,0.0
2020-05-14,33.29,34.34,32.73,34.32,2669600,0.0,0.0
2020-05-15,34.03,34.92,33.69,34.85,3585600,0.0,0.0
2020-05-18,36.67,37.86,36.63,37.4,2172800,0.0,0.0
2020-05-19,37.28,37.76,36.83,36.99,1119700,0.0,0.0
2020-05-20,37.32,38.15,37.15,37.24,1674400,0.0,0.0
2020-05-21,37.12,37.6,36.55,36.62,1533300,0.0,0.0
2020-05-22,36.62,36.74,35.68,36.14,1162200,0.0,0.0
2020-05-26,37.6,38.44,37.2,38.0,1910200,0.0,0.0
2020-05-27,38.87,39.52,38.64,39.45,2246700,0.0,0.0
2020-05-28,39.86,40.18,38.7,38.95,2000200,0.0,0.0
2020-05-29,38.6,38.8,37.83,38.69,3734000,0.0,0.0
2020-06-01,38.69,39.22,38.41,38.87,1580600,0.0,0.0
2020-06-02,39.22,39.66,39.0,39.57,1642700,0.0,0.0
2020-06-03,40.28,40.75,39.92,40.37,1514300,0.0,0.0
2020-06-04,40.27,40.87,39.73,40.86,1933500,0.0,0.0
2020-06-05,42.31,42.69,41.25,41.62,2276200,0.0,0.0
2020-06-08,41.72,42.38,41.38,41.64,2600600,0.0,0.0
2020-06-09,40.88,40.97,39.83,40.51,2012800,0.0,0.0
2020-06-10,40.55,41.19,40.06,40.37,1819900,0.0,0.0
2020-06-11,38.01,39.22,36.19,36.3,2771400,0.0,0.0
2020-06-12,37.8,38.2,36.84,37.71,1897000,0.0,0.0
2020-06-15,36.41,38.93,36.24,38.37,2609900,0.0,0.0
2020-06-16,41.29,41.49,39.67,40.82,3990000,0.0,0.0
2020-06-17,40.82,41.0,40.0,40.28,2170700,0.0,0.0
2020-06-18,39.82,40.67,39.64,39.84,2133300,0.0,0.0
2020-06-19,40.5,40.62,38.78,39.09,2871100,0.0,0.0
2020-06-22,38.91,39.12,38.47,38.72,1544000,0.0,0.0
2020-06-23,39.31,39.52,38.63,38.65,1539700,0.0,0.0
2020-06-24,38.37,38.44,37.16,37.23,2122300,0.0,0.0
2020-06-25,36.84,37.95,36.52,37.92,1839100,0.0,0.0
2020-06-26,37.49,37.63,36.73,37.17,2897100,0.0,0.0
2020-06-29,37.63,38.23,37.48,37.82,1709900,0.4,0.0
2020-06-30,37.56,38.5,37.35,38.29,1701600,0.0,0.0
2020-07-01,38.28,38.36,36.94,37.33,2408900,0.0,0.0
2020-07-02,38.04,38.93,38.04,38.28,2072000,0.0,0.0
2020-07-06,39.18,39.22,37.57,38.51,2405000,0.0,0.0
2020-07-07,38.0,38.51,37.55,38.07,2659300,0.0,0.0
2020-07-08,38.27,38.27,36.32,36.67,3177100,0.0,0.0
2020-07-09,36.52,36.62,35.61,35.87,2644900,0.0,0.0
2020-07-10,35.98,37.54,35.94,37.4,1752900,0.0,0.0
2020-07-13,37.81,38.07,36.87,36.93,2211800,0.0,0.0
2020-07-14,36.76,38.02,36.5,37.96,1670200,0.0,0.0
2020-07-15,38.68,38.86,37.69,38.54,1864600,0.0,0.0
2020-07-16,38.37,39.19,38.07,38.61,1848000,0.0,0.0
2020-07-17,38.8,39.1,38.1,38.15,1176200,0.0,0.0
2020-07-20,37.79,38.17,37.37,37.63,2001700,0.0,0.0
2020-07-21,37.82,38.93,37.81,38.73,1808300,0.0,0.0
2020-07-22,38.38,39.17,38.25,39.07,1638900,0.0,0.0
2020-07-23,39.18,40.46,38.9,39.38,2444300,0.0,0.0
2020-07-24,39.3,39.68,38.82,39.62,1801200,0.0,0.0
2020-07-27,39.4,40.59,39.21,40.52,2301800,0.0,0.0
2020-07-28,40.18,40.31,39.4,39.45,2693800,0.0,0.0
2020-07-29,39.52,40.0,39.52,40.0,2119900,0.0,0.0
2020-07-30,39.3,39.57,39.03,39.48,1920800,0.0,0.0
2020-07-31,39.17,39.33,38.5,38.79,4898900,0.0,0.0
2020-08-03,39.12,39.83,38.71,39.63,2471300,0.0,0.0
2020-08-04,39.53,39.97,39.14,39.77,1924500,0.0,0.0
2020-08-05,40.22,40.99,40.17,40.2,1833800,0.0,0.0
2020-08-06,40.54,40.57,39.87,40.0,1902100,0.0,0.0
2020-08-07,39.58,41.13,39.43,41.0,2190600,0.0,0.0
2020-08-10,41.25,42.8,41.14,42.62,2165600,0.0,0.0
2020-08-11,42.83,43.2,41.75,41.99,2688500,0.0,0.0
2020-08-12,42.46,42.56,41.91,42.43,1615600,0.0,0.0
2020-08-13,41.83,42.37,41.6,42.07,1437800,0.0,0.0
2020-08-14,41.77,43.04,41.63,42.75,1382900,0.0,0.0
2020-08-17,43.02,43.31,42.73,42.87,2126400,0.0,0.0
2020-08-18,42.89,43.29,42.73,42.87,2102900,0.0,0.0
2020-08-19,43.0,43.4,42.24,42.34,1715700,0.0,0.0
2020-08-20,41.74,42.37,41.63,42.21,1226900,0.0,0.0
2020-08-21,42.01,42.01,41.12,41.32,1503000,0.0,0.0
2020-08-24,41.75,42.57,41.58,42.55,1286900,0.0,0.0
2020-08-25,42.59,42.61,41.8,42.13,1246500,0.0,0.0
2020-08-26,42.09,42.41,41.78,42.07,1089400,0.0,0.0
2020-08-27,42.26,42.56,41.76,42.12,972300,0.0,0.0
2020-08-28,42.28,42.71,42.12,42.52,1245200,0.0,0.0
2020-08-31,42.83,42.83,42.02,42.03,1897500,0.0,0.0
2020-09-01,42.0,43.12,41.67,43.12,2102000,0.0,0.0
2020-09-02,43.22,44.07,42.94,43.88,2764000,0.0,0.0
2020-09-03,43.75,44.27,42.7,43.1,2176600,0.0,0.0
2020-09-04,43.84,44.0,43.0,43.36,2274900,0.0,0.0
2020-09-08,42.72,42.95,41.99,42.15,2363600,0.0,0.0
2020-09-09,42.65,42.93,42.19,42.59,2257500,0.0,0.0
2020-09-10,42.71,42.77,41.94,41.97,1227400,0.0,0.0
2020-09-11,42.21,42.79,41.87,42.47,1286500,0.0,0.0
2020-09-14,42.74,43.41,42.61,43.21,1781900,0.0,0.0
2020-09-15,43.34,43.76,43.1,43.26,1795400,0.0,0.0
2020-09-16,43.45,44.33,43.0,43.97,1834400,0.0,0.0
2020-09-17,44.03,45.48,43.47,45.28,2519700,0.0,0.0
2020-09-18,45.19,46.2,45.14,45.47,4002100,0.0,0.0
2020-09-21,44.56,44.68,41.63,42.35,2879800,0.0,0.0
2020-09-22,42.28,42.71,41.82,42.24,1936200,0.0,0.0
2020-09-23,42.23,42.98,41.28,41.3,1915400,0.0,0.0
2020-09-24,41.24,42.29,40.77,41.38,1495700,0.0,0.0
2020-09-25,40.97,41.97,40.73,41.84,1134800,0.0,0.0
2020-09-28,42.76,43.4,42.18,42.78,1434600,0.0,0.0
2020-09-29,42.54,42.71,41.56,41.73,1190700,0.4,0.0
2020-09-30,42.08,42.67,41.58,41.84,1468200,0.0,0.0
2020-10-01,41.99,42.49,41.78,42.02,1812000,0.0,0.0
2020-10-02,41.37,43.45,41.23,42.94,2110200,0.0,0.0
2020-10-05,43.43,44.44,43.15,44.1,2120400,0.0,0.0
2020-10-06,44.34,44.99,43.51,43.77,2280000,0.0,0.0
2020-10-07,44.46,45.7,44.22,45.38,1861200,0.0,0.0
2020-10-08,45.64,46.16,45.41,46.11,1719400,0.0,0.0
2020-10-09,46.52,46.54,45.25,45.57,2080700,0.0,0.0
2020-10-12,45.53,46.24,45.46,45.96,1909900,0.0,0.0
2020-10-13,45.7,46.02,45.1,45.4,1616700,0.0,0.0
2020-10-14,45.18,46.34,45.18,46.06,1563300,0.0,0.0
2020-10-15,45.2,45.97,44.79,45.95,1475000,0.0,0.0
2020-10-16,46.15,46.38,45.69,46.01,1366100,0.0,0.0
2020-10-19,46.22,46.94,45.55,45.68,1712000,0.0,0.0
2020-10-20,46.07,46.42,45.22,45.25,2604200,0.0,0.0
2020-10-21,45.44,45.95,45.17,45.18,1866600,0.0,0.0
2020-10-22,44.87,46.84,44.87,46.54,2073100,0.0,0.0
2020-10-23,46.9,47.29,46.27,46.81,1845700,0.0,0.0
2020-10-26,46.26,46.27,44.8,45.03,1764400,0.0,0.0
2020-10-27,44.88,45.51,44.71,44.98,1487200,0.0,0.0
2020-10-28,44.13,44.34,43.06,43.45,2562500,0.0,0.0
2020-10-29,43.22,45.08,42.91,44.71,1911100,0.0,0.0
2020-10-30,44.21,44.71,43.63,44.55,3114200,0.0,0.0
2020-11-02,45.34,45.73,44.45,45.58,1791400,0.0,0.0
2020-11-03,46.35,46.94,45.96,46.68,1422700,0.0,0.0
2020-11-04,46.3,46.3,43.74,43.79,2370200,0.0,0.0
2020-11-05,44.27,46.26,44.27,45.52,1716000,0.0,0.0
2020-11-06,46.0,46.14,44.96,45.16,1350200,0.0,0.0
2020-11-09,48.13,49.34,47.31,47.35,2250100,0.0,0.0
2020-11-10,47.6,48.64,47.38,48.3,1572300,0.0,0.0
2020-11-11,48.34,48.34,47.21,47.39,2111400,0.0,0.0
2020-11-12,46.83,47.1,45.81,46.27,1413400,0.0,0.0
2020-11-13,46.87,48.43,46.78,48.18,1510700,0.0,0.0
2020-11-16,49.63,51.06,48.6,50.65,3099700,0.0,0.0
2020-11-17,49.92,50.57,49.62,50.24,1662200,0.0,0.0
2020-11-18,50.58,50.72,49.35,49.36,1442100,0.0,0.0
2020-11-19,49.1,49.87,48.83,49.28,1332100,0.0,0.0
2020-11-20,49.1,49.37,48.78,49.02,1016000,0.0,0.0
2020-11-23,49.77,50.32,49.19,50.06,1559300,0.0,0.0
2020-11-24,50.73,52.7,50.68,52.63,2232700,0.0,0.0
2020-11-25,51.88,52.16,50.85,51.1,2703900,0.0,0.0
2020-11-27,51.26,51.98,51.05,51.37,1052600,0.0,0.0
2020-11-30,51.02,51.62,50.08,50.09,2847200,0.0,0.0
2020-12-01,51.44,51.93,51.07,51.24,1873500,0.0,0.0
2020-12-02,51.33,52.2,51.14,51.39,1839500,0.0,0.0
2020-12-03,51.58,52.17,50.88,51.11,1791800,0.0,0.0
2020-12-04,51.93,53.17,51.47,52.63,1675100,0.0,0.0
2020-12-07,52.22,52.91,51.86,52.18,1769800,0.0,0.0
2020-12-08,51.69,53.63,51.69,52.74,2055900,0.0,0.0
2020-12-09,53.19,53.53,52.23,52.63,1458000,0.0,0.0
2020-12-10,52.38,53.37,52.01,53.27,1443200,0.0,0.0
2020-12-11,52.75,53.09,51.72,52.83,1492600,0.0,0.0
2020-12-14,53.49,53.56,51.75,51.92,1888700,0.0,0.0
2020-12-15,52.72,52.95,51.9,52.77,1456200,0.0,0.0
2020-12-16,52.71,52.95,52.03,52.64,1476300,0.0,0.0
2020-12-17,53.14,53.19,51.67,51.72,1973500,0.0,0.0
2020-12-18,51.73,51.73,50.12,50.3,4603400,0.0,0.0
2020-12-21,49.43,50.58,49.22,50.5,1450300,0.0,0.0
2020-12-22,50.56,50.73,49.25,49.52,1677700,0.0,0.0
2020-12-23,49.77,49.95,48.9,49.03,1564300,0.0,0.0
2020-12-24,49.38,49.4,48.51,48.91,620100,0.0,0.0
2020-12-28,49.06,49.46,48.53,48.6,1425200,0.0,0.0
2020-12-29,48.7,49.37,48.46,48.58,1222600,0.0,0.0
2020-12-30,48.7,49.95,48.68,49.77,1582400,0.4,0.0
2020-12-31,49.78,50.18,49.1,50.0,1283400,0.0,0.0
2021-01-04,50.93,51.37,49.11,49.36,2308900,0.0,0.0
2021-01-05,49.37,51.26,49.32,50.83,2223500,0.0,0.0
2021-01-06,52.98,54.1,52.34,53.6,3291300,0.0,0.0
2021-01-07,54.18,54.29,52.33,52.82,2229400,0.0,0.0
2021-01-08,52.84,53.21,51.48,52.66,2720800,0.0,0.0
2021-01-11,51.66,54.07,51.36,53.4,1857200,0.0,0.0
2021-01-12,53.58,55.01,52.91,54.62,2308400,0.0,0.0
2021-01-13,54.34,54.49,52.99,53.31,1876000,0.0,0.0
2021-01-14,54.0,54.05,53.24,53.28,1207300,0.0,0.0
2021-01-15,52.45,52.6,50.99,52.14,1613600,0.0,0.0
2021-01-19,52.61,53.6,52.48,52.53,1606700,0.0,0.0
2021-01-20,52.76,53.01,51.84,52.42,2232000,0.0,0.0
2021-01-21,52.26,52.49,51.14,51.16,1724200,0.0,0.0
2021-01-22,50.73,51.77,50.36,51.5,1522100,0.0,0.0
2021-01-25,51.65,51.65,50.39,51.25,1984600,0.0,0.0
2021-01-26,51.7,51.89,49.62,49.63,2531300,0.0,0.0
2021-01-27,48.69,48.79,47.78,48.25,3166000,0.0,0.0
