,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,124.58,126.92,119.9,120.79,3521900,0.0,0.0
2020-02-24,115.28,116.24,114.05,114.81,5135500,0.0,0.0
2020-02-25,116.25,116.53,110.15,111.83,4628400,0.0,0.0
2020-02-26,112.5,113.73,109.43,110.58,4415400,0.0,0.0
2020-02-27,106.76,109.07,105.43,106.11,4950600,0.0,0.0
2020-02-28,101.83,107.0,101.82,105.23,5492900,0.0,0.0
2020-03-02,108.84,111.39,105.92,111.15,4306000,0.0,0.0
2020-03-03,110.53,113.65,107.68,107.89,3969600,0.0,0.0
2020-03-04,109.42,112.31,108.77,112.25,2755600,0.0,0.0
2020-03-05,107.88,110.07,105.55,106.69,3161500,0.0,0.0
2020-03-06,102.5,105.58,101.01,103.38,3544400,0.0,0.0
2020-03-09,96.91,99.96,93.91,94.38,5696500,0.0,0.0
2020-03-10,96.66,99.41,94.07,98.9,4622400,0.0,0.0
2020-03-11,95.92,97.49,91.51,93.04,4957800,0.0,0.0
2020-03-12,79.97,89.99,79.6,85.13,7271900,0.0,0.0
2020-03-13,89.22,92.66,81.37,88.79,7099000,0.37,0.0
2020-03-16,78.57,80.69,72.73,74.65,7781200,0.0,0.0
2020-03-17,75.88,76.19,70.26,74.42,9133800,0.0,0.0
2020-03-18,68.17,71.36,54.28,60.0,10744500,0.0,0.0
2020-03-19,60.25,71.78,58.6,70.74,6107900,0.0,0.0
2020-03-20,73.27,78.06,67.56,68.38,5722100,0.0,0.0
2020-03-23,68.97,73.06,64.27,71.81,3664800,0.0,0.0
2020-03-24,77.17,82.06,75.56,79.67,3691000,0.0,0.0
2020-03-25,81.0,83.63,76.68,78.87,3173900,0.0,0.0
2020-03-26,80.35,83.51,77.84,83.38,4068300,0.0,0.0
2020-03-27,80.05,81.66,75.16,75.56,2923100,0.0,0.0
2020-03-30,75.88,79.14,73.52,78.93,2963000,0.0,0.0
2020-03-31,78.84,81.46,76.29,77.07,2696900,0.0,0.0
2020-04-01,73.87,74.34,68.6,69.45,3434000,0.0,0.0
2020-04-02,68.91,73.67,68.32,72.29,2455300,0.0,0.0
2020-04-03,71.8,73.52,67.71,70.4,2330700,0.0,0.0
2020-04-06,74.41,81.03,74.26,80.8,3657900,0.0,0.0
2020-04-07,85.38,85.38,77.82,78.33,3938300,0.0,0.0
2020-04-08,79.93,87.19,79.41,85.11,4222100,0.0,0.0
2020-04-09,86.21,90.12,83.1,83.62,4008200,0.0,0.0
2020-04-13,82.33,83.17,81.12,82.82,1717800,0.0,0.0
2020-04-14,84.55,86.16,82.76,85.76,2561200,0.0,0.0
2020-04-15,83.98,84.1,79.98,80.99,3902200,0.0,0.0
2020-04-16,81.23,82.9,79.92,82.72,2985600,0.0,0.0
2020-04-17,85.36,86.76,82.44,83.8,3477200,0.0,0.0
2020-04-20,83.22,83.39,80.36,80.58,2798700,0.0,0.0
2020-04-21,78.16,79.43,74.78,75.33,5091700,0.0,0.0
2020-04-22,79.41,83.13,78.81,82.77,3599000,0.0,0.0
2020-04-23,82.31,84.72,81.39,81.86,2398700,0.0,0.0
2020-04-24,81.64,88.41,81.64,87.76,4025200,0.0,0.0
2020-04-27,88.48,90.77,88.23,90.27,4775900,0.0,0.0
2020-04-28,97.6,98.03,91.34,91.4,5908800,0.0,0.0
2020-04-29,93.87,100.22,93.87,99.23,6470700,0.0,0.0
2020-04-30,98.42,98.72,91.58,92.54,4967900,0.0,0.0
2020-05-01,90.6,92.01,88.3,88.76,2799800,0.0,0.0
2020-05-04,87.58,89.87,86.06,89.74,3739200,0.0,0.0
2020-05-05,91.69,93.62,91.29,92.19,2913300,0.0,0.0
2020-05-06,92.67,95.28,91.84,93.29,2703200,0.0,0.0
2020-05-07,94.98,95.84,93.06,95.41,2336900,0.0,0.0
2020-05-08,95.44,97.92,94.51,97.44,2694100,0.0,0.0
2020-05-11,96.44,96.52,94.82,95.32,1839500,0.0,0.0
2020-05-12,95.56,96.17,91.2,91.39,2000200,0.0,0.0
2020-05-13,88.31,89.96,85.22,86.46,5532500,0.0,0.0
2020-05-14,85.27,88.1,82.81,86.98,3380100,0.0,0.0
2020-05-15,83.56,85.86,83.02,84.06,4376400,0.0,0.0
2020-05-18,87.49,95.18,86.82,94.86,5700400,0.0,0.0
2020-05-19,93.72,94.89,91.43,92.05,3498700,0.0,0.0
2020-05-20,94.56,97.73,94.5,96.28,4409300,0.0,0.0
2020-05-21,95.59,96.27,90.73,91.91,3395100,0.0,0.0
2020-05-22,91.88,92.41,90.01,91.39,2694800,0.0,0.0
2020-05-26,95.88,97.83,94.43,94.81,4900700,0.0,0.0
2020-05-27,95.06,97.34,94.2,97.02,5118100,0.0,0.0
2020-05-28,96.45,96.48,92.12,92.25,3774300,0.0,0.0
2020-05-29,92.2,93.59,89.31,89.31,42770800,0.0,0.0
2020-06-01,90.8,93.29,89.77,92.19,6320700,0.0,0.0
2020-06-02,93.12,95.82,92.26,94.29,5259400,0.0,0.0
2020-06-03,98.51,102.4,98.31,100.88,7679600,0.0,0.0
2020-06-04,100.14,103.29,99.26,101.81,6754200,0.0,0.0
2020-06-05,107.74,110.46,105.3,105.78,7954100,0.0,0.0
2020-06-08,109.18,109.57,105.29,106.04,4465100,0.0,0.0
2020-06-09,103.67,105.82,102.38,103.64,3161300,0.0,0.0
2020-06-10,104.17,104.47,102.12,102.5,2926000,0.0,0.0
2020-06-11,98.11,99.88,95.13,95.23,2980400,0.0,0.0
2020-06-12,99.47,100.09,96.26,99.03,3346800,0.37,0.0
2020-06-15,97.84,103.03,96.26,102.1,4030600,0.0,0.0
2020-06-16,106.48,108.45,103.11,105.65,5838000,0.0,0.0
2020-06-17,106.93,109.83,106.71,108.9,4844200,0.0,0.0
2020-06-18,107.59,111.26,107.59,109.31,5303400,0.0,0.0
2020-06-19,110.96,113.5,109.14,109.39,22349900,0.0,0.0
2020-06-22,109.8,110.15,106.91,109.17,3762300,0.0,0.0
2020-06-23,110.54,112.25,109.89,111.86,2487200,0.0,0.0
2020-06-24,109.73,110.9,105.03,105.46,4056000,0.0,0.0
2020-06-25,105.6,106.3,103.52,105.75,3482100,0.0,0.0
2020-06-26,104.8,105.55,99.58,100.88,4922100,0.0,0.0
2020-06-29,102.24,105.03,99.81,104.08,2510300,0.0,0.0
2020-06-30,105.73,107.08,103.87,106.38,2681500,0.0,0.0
2020-07-01,106.39,106.9,104.17,104.39,1824300,0.0,0.0
2020-07-02,106.54,107.9,105.01,105.15,2030500,0.0,0.0
2020-07-06,107.91,109.01,107.29,108.7,2002000,0.0,0.0
2020-07-07,108.44,109.57,107.48,107.67,1327200,0.0,0.0
2020-07-08,108.36,108.89,106.83,108.61,1499100,0.0,0.0
2020-07-09,108.74,111.0,105.64,109.98,2320800,0.0,0.0
2020-07-10,110.53,111.47,108.27,109.23,1621600,0.0,0.0
2020-07-13,112.6,114.46,109.02,109.17,3100500,0.0,0.0
2020-07-14,108.58,112.68,107.73,112.36,2583200,0.0,0.0
2020-07-15,113.76,114.71,112.17,113.64,2037800,0.0,0.0
2020-07-16,111.22,113.52,110.56,112.99,1534700,0.0,0.0
2020-07-17,114.43,114.57,112.55,114.46,2173100,0.0,0.0
2020-07-20,113.7,115.68,112.32,115.26,1731200,0.0,0.0
2020-07-21,116.6,117.65,114.69,115.19,2380100,0.0,0.0
2020-07-22,114.71,115.84,112.77,113.2,2333500,0.0,0.0
2020-07-23,113.41,113.49,109.43,111.17,2605400,0.0,0.0
2020-07-24,109.01,110.11,106.69,107.97,3147700,0.0,0.0
2020-07-27,109.18,112.29,108.48,112.16,2978600,0.0,0.0
2020-07-28,108.74,111.0,107.27,107.5,6709100,0.0,0.0
2020-07-29,107.97,111.7,107.97,111.09,2861600,0.0,0.0
