,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,62.14,62.65,61.92,62.61,2293620,0.0,0.0
2020-02-24,62.36,63.34,62.27,62.4,2956783,0.0,0.0
2020-02-25,62.48,62.49,61.11,61.45,4024387,0.0,0.0
2020-02-26,61.53,62.08,60.33,60.57,5457938,0.0,0.0
2020-02-27,56.43,57.55,55.35,55.35,12251491,0.0,0.0
2020-02-28,54.44,55.3,52.86,55.15,7241131,0.22,0.0
2020-03-02,55.61,57.19,54.6,57.13,4655971,0.0,0.0
2020-03-03,57.22,58.34,56.35,56.84,3625416,0.0,0.0
2020-03-04,57.95,59.68,57.73,59.54,3725933,0.0,0.0
2020-03-05,58.7,59.43,58.24,59.14,2358946,0.0,0.0
2020-03-06,57.91,58.59,56.53,58.4,2948734,0.0,0.0
2020-03-09,54.33,57.1,54.09,55.86,3998278,0.0,0.0
2020-03-10,56.98,58.42,55.39,58.35,3844303,0.0,0.0
2020-03-11,57.22,57.38,55.05,56.04,3778668,0.0,0.0
2020-03-12,52.21,56.09,50.33,51.61,5076924,0.0,0.0
2020-03-13,53.2,54.94,51.62,54.79,5375172,0.0,0.0
2020-03-16,48.61,50.66,41.09,41.13,6357533,0.0,0.0
2020-03-17,42.66,42.76,39.46,41.99,6247625,0.0,0.0
2020-03-18,39.6,39.98,30.47,32.38,6615946,0.0,0.0
2020-03-19,32.57,37.47,28.95,36.63,5823679,0.0,0.0
2020-03-20,38.14,40.04,35.72,36.13,5075582,0.0,0.0
2020-03-23,35.46,35.46,30.77,33.02,5516453,0.0,0.0
2020-03-24,35.06,38.74,34.43,38.6,4729450,0.0,0.0
2020-03-25,39.61,45.33,38.34,41.52,5572697,0.0,0.0
2020-03-26,43.11,44.67,41.31,44.46,4619026,0.0,0.0
2020-03-27,42.45,45.81,42.02,43.35,8143822,0.0,0.0
2020-03-30,43.45,43.9,39.04,40.48,6258254,0.0,0.0
2020-03-31,40.12,40.39,37.39,38.15,6358152,0.22,0.0
2020-04-01,36.06,36.51,34.46,35.56,4732855,0.0,0.0
2020-04-02,34.62,36.05,33.96,34.91,4341830,0.0,0.0
2020-04-03,34.69,35.5,33.22,33.36,3923458,0.0,0.0
2020-04-06,35.98,37.27,35.2,35.82,4676198,0.0,0.0
2020-04-07,38.05,39.85,37.72,37.75,5620478,0.0,0.0
2020-04-08,38.6,41.22,37.83,40.65,4329137,0.0,0.0
2020-04-09,42.75,46.47,42.5,43.37,5133581,0.0,0.0
2020-04-13,43.31,43.38,40.4,40.97,4507776,0.0,0.0
2020-04-14,42.0,43.16,41.35,43.09,2928403,0.0,0.0
2020-04-15,41.01,41.79,38.93,39.41,3651835,0.0,0.0
2020-04-16,39.79,40.03,37.98,38.11,3052553,0.0,0.0
2020-04-17,40.0,40.9,38.89,40.07,3976502,0.0,0.0
2020-04-20,39.0,39.81,38.55,38.93,2382475,0.0,0.0
2020-04-21,37.43,38.67,37.24,38.14,2469886,0.0,0.0
2020-04-22,39.07,39.25,38.02,38.4,2075146,0.0,0.0
2020-04-23,38.64,38.96,37.59,37.74,2113330,0.0,0.0
2020-04-24,37.95,38.6,37.57,38.2,2586192,0.0,0.0
2020-04-27,38.46,39.83,38.24,39.26,2601982,0.0,0.0
