,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,65.35,65.51,64.59,65.26,2300300,0.0,0.0
2020-02-24,64.07,64.11,62.86,63.56,1946700,0.0,0.0
2020-02-25,63.66,63.73,61.27,61.71,2596900,0.0,0.0
2020-02-26,61.76,62.63,60.37,60.37,3233200,0.0,0.0
2020-02-27,58.97,60.04,57.94,57.96,4206900,0.0,0.0
2020-02-28,56.69,58.12,55.91,57.76,4338700,0.0,0.0
2020-03-02,57.87,58.75,56.32,58.66,3538400,0.0,0.0
2020-03-03,58.46,59.81,56.87,57.69,2445500,0.0,0.0
2020-03-04,58.49,59.29,57.84,59.18,2718400,0.0,0.0
2020-03-05,57.58,57.76,56.42,56.79,3066500,0.0,0.0
2020-03-06,55.2,56.3,54.0,54.88,4352400,0.0,0.0
2020-03-09,52.72,52.73,50.73,50.83,3560800,0.65,0.0
2020-03-10,52.22,54.08,50.04,54.04,2865900,0.0,0.0
2020-03-11,52.59,52.95,51.34,52.39,2809900,0.0,0.0
2020-03-12,49.41,50.19,46.61,47.62,3116800,0.0,0.0
2020-03-13,50.0,53.0,46.64,52.97,4004800,0.0,0.0
2020-03-16,47.89,51.15,44.49,48.19,4404900,0.0,0.0
2020-03-17,49.22,50.43,44.21,50.11,4066400,0.0,0.0
2020-03-18,46.98,47.52,43.23,47.18,3439800,0.0,0.0
2020-03-19,46.52,49.3,45.91,46.18,2884200,0.0,0.0
2020-03-20,46.75,46.8,40.74,41.69,3724200,0.0,0.0
2020-03-23,41.08,42.49,39.04,40.67,3214800,0.0,0.0
2020-03-24,43.49,44.07,41.76,43.35,3357600,0.0,0.0
2020-03-25,43.47,47.73,41.86,43.92,5590100,0.0,0.0
2020-03-26,44.45,47.65,44.2,47.45,3272000,0.0,0.0
2020-03-27,45.68,47.09,43.15,43.77,3339800,0.0,0.0
2020-03-30,43.36,46.73,42.57,46.24,3251600,0.0,0.0
2020-03-31,46.39,47.32,45.5,46.23,2484900,0.0,0.0
2020-04-01,44.03,44.79,42.78,43.51,3258600,0.0,0.0
2020-04-02,43.05,45.55,42.25,43.88,2678700,0.0,0.0
2020-04-03,43.62,44.85,41.66,41.76,2310600,0.0,0.0
2020-04-06,43.63,45.51,43.02,45.22,2223700,0.0,0.0
2020-04-07,47.53,47.79,45.63,45.69,2827200,0.0,0.0
2020-04-08,45.84,46.44,44.54,46.03,2470600,0.0,0.0
2020-04-09,46.82,48.55,46.69,47.83,2532400,0.0,0.0
2020-04-13,47.47,47.6,45.42,46.94,2116600,0.0,0.0
2020-04-14,47.96,48.01,46.71,46.81,1997800,0.0,0.0
2020-04-15,45.43,45.76,42.76,43.75,3606500,0.0,0.0
2020-04-16,44.09,44.88,41.75,44.64,3334900,0.0,0.0
2020-04-17,46.08,47.41,45.15,45.95,2450700,0.0,0.0
2020-04-20,44.96,46.63,43.85,45.4,2649700,0.0,0.0
2020-04-21,43.89,44.65,42.81,43.23,2785600,0.0,0.0
2020-04-22,44.13,44.36,42.5,42.68,2179500,0.0,0.0
2020-04-23,42.91,44.95,42.77,43.36,1897700,0.0,0.0
2020-04-24,43.57,44.1,43.13,43.81,1593600,0.0,0.0
2020-04-27,44.26,46.12,44.26,45.76,3014600,0.0,0.0
2020-04-28,45.89,47.98,45.5,47.57,3392600,0.0,0.0
2020-04-29,48.69,52.69,48.69,51.67,6059600,0.0,0.0
2020-04-30,50.25,50.56,47.9,48.02,3186500,0.0,0.0
2020-05-01,47.17,47.42,46.32,47.06,2367800,0.0,0.0
2020-05-04,46.19,46.23,44.59,45.7,2753900,0.0,0.0
2020-05-05,46.19,46.6,45.52,45.65,2330000,0.0,0.0
2020-05-06,45.89,46.11,44.9,45.76,1721800,0.0,0.0
2020-05-07,46.27,46.88,44.95,45.16,2703300,0.0,0.0
2020-05-08,46.13,46.67,45.74,46.4,1833700,0.0,0.0
2020-05-11,46.04,46.04,44.19,45.13,1937700,0.0,0.0
2020-05-12,45.27,45.65,43.66,43.67,1619100,0.0,0.0
2020-05-13,43.27,43.4,40.81,41.31,2630200,0.0,0.0
2020-05-14,40.75,42.45,39.26,42.3,3047600,0.0,0.0
2020-05-15,41.86,43.19,41.32,42.86,4187600,0.0,0.0
2020-05-18,44.83,45.45,44.63,44.77,1965400,0.0,0.0
2020-05-19,44.56,44.95,43.49,44.03,2297300,0.0,0.0
2020-05-20,44.48,45.05,44.02,44.16,2002100,0.0,0.0
2020-05-21,44.07,44.85,43.58,43.67,2300300,0.0,0.0
2020-05-22,43.67,44.34,43.1,43.6,2026800,0.0,0.0
2020-05-26,45.17,45.92,44.82,45.55,3991500,0.0,0.0
2020-05-27,46.88,48.88,46.73,48.68,3861700,0.0,0.0
2020-05-28,48.53,48.68,46.35,46.45,2083800,0.0,0.0
2020-05-29,45.9,46.27,44.75,46.13,3461800,0.0,0.0
2020-06-01,46.22,47.5,46.22,46.8,2155000,0.0,0.0
2020-06-02,47.32,47.4,46.33,46.53,2492800,0.0,0.0
2020-06-03,47.46,48.33,46.87,48.11,2904100,0.0,0.0
2020-06-04,47.73,48.76,46.67,48.72,2883500,0.0,0.0
2020-06-05,50.44,52.94,50.44,51.18,4737400,0.0,0.0
2020-06-08,51.68,53.89,51.68,53.81,3272900,0.0,0.0
2020-06-09,52.86,53.03,50.72,50.81,2670400,0.0,0.0
2020-06-10,50.62,50.62,48.27,48.94,2521300,0.0,0.0
2020-06-11,46.98,47.65,46.0,46.37,2879800,0.65,0.0
2020-06-12,47.81,48.68,45.87,46.86,2353600,0.0,0.0
2020-06-15,45.49,48.45,45.44,47.96,3217400,0.0,0.0
2020-06-16,49.48,50.2,47.58,47.99,2340800,0.0,0.0
2020-06-17,47.91,48.2,47.0,47.17,1693700,0.0,0.0
2020-06-18,46.37,47.44,46.15,47.19,2130800,0.0,0.0
2020-06-19,48.17,48.51,45.41,45.41,9272700,0.0,0.0
2020-06-22,45.15,45.45,44.08,44.93,2868100,0.0,0.0
2020-06-23,45.6,46.58,45.16,46.07,3605400,0.0,0.0
2020-06-24,45.45,45.68,44.29,44.66,2753100,0.0,0.0
2020-06-25,44.3,45.3,43.49,44.96,3319200,0.0,0.0
2020-06-26,44.72,45.07,43.64,44.94,4731100,0.0,0.0
2020-06-29,45.31,47.07,45.24,46.23,2924000,0.0,0.0
2020-06-30,46.21,46.88,45.89,46.49,2381400,0.0,0.0
2020-07-01,46.38,47.69,46.15,46.44,2206200,0.0,0.0
2020-07-02,47.27,47.64,46.29,46.5,1689100,0.0,0.0
2020-07-06,47.36,47.63,46.49,47.06,1540000,0.0,0.0
2020-07-07,46.54,47.45,46.09,47.44,2534100,0.0,0.0
2020-07-08,47.23,47.25,45.23,45.64,3267100,0.0,0.0
2020-07-09,45.51,45.63,43.32,43.99,2627800,0.0,0.0
2020-07-10,44.01,46.26,43.88,45.83,1708300,0.0,0.0
2020-07-13,46.21,47.23,46.04,46.44,1953900,0.0,0.0
2020-07-14,46.25,47.07,45.83,46.72,1429200,0.0,0.0
2020-07-15,47.69,48.22,47.09,47.88,1740100,0.0,0.0
2020-07-16,47.7,48.52,47.2,47.9,1352900,0.0,0.0
2020-07-17,47.88,47.95,46.86,47.42,1517600,0.0,0.0
2020-07-20,47.02,47.02,45.17,45.96,1712100,0.0,0.0
2020-07-21,46.1,47.19,45.99,46.41,1283100,0.0,0.0
2020-07-22,46.3,47.08,46.09,46.82,1412000,0.0,0.0
2020-07-23,48.6,49.16,47.61,47.97,2647300,0.0,0.0
2020-07-24,48.21,49.15,47.39,48.16,2397600,0.0,0.0
2020-07-27,47.79,48.92,47.48,48.55,3765100,0.0,0.0
2020-07-28,45.13,47.06,44.49,46.55,5147800,0.0,0.0
2020-07-29,46.55,47.27,45.77,46.0,5704600,0.0,0.0
2020-07-30,45.46,45.69,44.61,45.35,2506700,0.0,0.0
2020-07-31,45.46,45.81,44.48,45.75,3417000,0.0,0.0
2020-08-03,45.85,46.48,45.3,45.73,2273000,0.0,0.0
2020-08-04,45.52,46.04,45.11,45.25,1988000,0.0,0.0
2020-08-05,45.66,45.88,44.75,44.88,2426300,0.0,0.0
2020-08-06,44.71,45.94,44.65,45.71,2069200,0.0,0.0
2020-08-07,45.28,45.39,44.67,45.36,1817500,0.0,0.0
2020-08-10,45.52,47.06,45.41,46.84,2002500,0.0,0.0
2020-08-11,47.58,48.85,47.35,47.47,1690100,0.0,0.0
2020-08-12,47.78,47.95,46.05,46.11,1753000,0.0,0.0
2020-08-13,45.68,46.59,45.45,46.26,1256700,0.0,0.0
2020-08-14,45.93,47.15,45.93,46.71,1118400,0.0,0.0
2020-08-17,46.58,46.8,45.57,45.84,1962800,0.0,0.0
2020-08-18,45.83,46.51,45.56,46.09,1499200,0.0,0.0
2020-08-19,46.01,46.61,45.58,45.75,1075900,0.0,0.0
2020-08-20,45.49,45.67,44.99,45.01,1251500,0.0,0.0
2020-08-21,44.94,45.12,44.2,44.75,1960500,0.0,0.0
2020-08-24,44.89,46.59,44.58,46.4,1712200,0.0,0.0
2020-08-25,46.41,46.82,45.31,45.81,1083400,0.0,0.0
2020-08-26,45.62,45.98,44.98,45.69,1562100,0.0,0.0
2020-08-27,46.04,47.36,46.04,46.8,1839300,0.0,0.0
2020-08-28,46.82,47.06,46.22,46.93,1051800,0.0,0.0
2020-08-31,46.88,47.07,45.99,46.06,1704800,0.0,0.0
2020-09-01,45.75,45.86,45.12,45.15,1676800,0.0,0.0
2020-09-02,45.07,46.23,44.93,45.92,1719600,0.0,0.0
2020-09-03,46.44,47.64,45.68,46.23,1939300,0.0,0.0
2020-09-04,46.46,47.1,45.77,46.05,1320700,0.0,0.0
2020-09-08,45.96,46.27,45.42,45.84,1728500,0.0,0.0
2020-09-09,45.76,46.13,45.12,45.13,1387700,0.0,0.0
2020-09-10,45.14,45.66,43.92,44.11,1729100,0.0,0.0
2020-09-11,44.14,44.75,43.86,44.55,1517500,0.0,0.0
2020-09-14,45.05,46.46,44.74,45.84,1594800,0.0,0.0
2020-09-15,45.87,46.63,45.25,45.74,1927500,0.0,0.0
2020-09-16,46.04,46.99,45.69,45.92,2187600,0.0,0.0
2020-09-17,45.36,46.13,45.09,45.63,1799400,0.0,0.0
2020-09-18,45.32,46.01,44.32,44.44,3107100,0.65,0.0
2020-09-21,43.61,43.83,42.18,42.45,3091300,0.0,0.0
2020-09-22,42.52,43.13,42.32,42.85,1791700,0.0,0.0
2020-09-23,42.95,43.78,41.98,42.07,2032200,0.0,0.0
2020-09-24,42.08,42.73,41.38,42.15,1381200,0.0,0.0
2020-09-25,41.8,42.45,41.5,42.37,1422900,0.0,0.0
2020-09-28,43.03,43.35,42.59,42.79,1692100,0.0,0.0
2020-09-29,42.69,43.04,41.83,42.11,1470700,0.0,0.0
2020-09-30,42.39,43.08,42.18,42.67,1842500,0.0,0.0
2020-10-01,42.8,43.02,42.27,42.73,1618200,0.0,0.0
2020-10-02,42.21,44.48,42.07,44.25,1653600,0.0,0.0
2020-10-05,44.61,45.21,44.08,44.57,1726000,0.0,0.0
2020-10-06,44.98,45.47,44.0,44.15,1750300,0.0,0.0
2020-10-07,44.57,45.26,44.38,44.95,1518300,0.0,0.0
2020-10-08,45.45,45.87,45.25,45.82,1941100,0.0,0.0
2020-10-09,46.13,46.33,45.15,45.23,2161100,0.0,0.0
2020-10-12,45.87,46.4,45.54,46.07,2570600,0.0,0.0
