,EPS Estimate,Reported EPS,Surprise(%)
2026-02-08 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-09 19:00:00-05:00,0.97,0.95,-2.46
2024-10-27 20:00:00-04:00,0.97,0.99,1.98
2024-07-28 20:00:00-04:00,0.92,0.96,4.23
2024-04-28 20:00:00-04:00,1.04,1.08,3.42
2024-02-04 19:00:00-05:00,1.21,1.25,3.58
2023-10-29 20:00:00-04:00,1.34,1.39,3.63
2023-07-30 20:00:00-04:00,1.21,1.33,10.03
2023-04-30 20:00:00-04:00,1.09,1.19,9.43
