,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,51.09,51.33,50.49,50.71,9078600,0.0,0.0
2020-02-24,49.25,49.65,48.7,48.83,10992500,0.0,0.0
2020-02-25,49.22,49.36,47.12,47.26,12202600,0.0,0.0
2020-02-26,47.59,49.29,47.52,48.28,16413100,0.0,0.0
2020-02-27,47.19,49.58,47.08,47.1,16161100,0.0,0.0
2020-02-28,45.67,46.27,44.43,45.87,24426000,0.0,0.0
2020-03-02,46.12,47.21,45.14,47.21,17328500,0.0,0.0
2020-03-03,46.95,48.08,44.75,45.31,21830500,0.0,0.0
2020-03-04,46.23,46.92,45.29,46.87,14813700,0.0,0.0
2020-03-05,45.66,46.08,44.29,44.52,15843000,0.0,0.0
2020-03-06,43.19,44.8,43.09,43.93,24581400,0.0,0.0
2020-03-09,41.69,44.12,41.42,42.67,25949300,0.0,0.0
2020-03-10,44.01,45.36,42.81,45.06,27067700,0.0,0.0
2020-03-11,43.41,44.04,41.06,41.48,24139200,0.0,0.0
2020-03-12,38.14,40.25,36.83,36.91,24123800,0.0,0.0
2020-03-13,41.23,44.51,40.27,44.45,28339400,0.0,0.0
2020-03-16,39.43,44.12,38.27,39.62,27493700,0.0,0.0
2020-03-17,40.46,44.25,38.64,43.46,25588900,0.0,0.0
2020-03-18,40.5,44.33,39.47,43.84,29557000,0.0,0.0
2020-03-19,43.1,44.49,41.62,41.8,20159100,0.0,0.0
2020-03-20,41.75,43.31,41.28,42.34,26340800,0.0,0.0
2020-03-23,41.74,43.12,40.71,40.98,23063700,0.0,0.0
2020-03-24,42.04,44.53,42.01,44.37,19323700,0.0,0.0
2020-03-25,43.68,45.21,42.18,42.61,25625800,0.0,0.0
2020-03-26,43.02,47.06,42.84,46.82,22417900,0.0,0.0
2020-03-27,45.53,47.86,45.04,46.22,20025300,0.0,0.0
2020-03-30,46.74,47.85,45.99,46.71,20611900,0.0,0.0
2020-03-31,47.41,47.47,44.52,44.82,15802000,0.0,0.0
2020-04-01,43.17,45.44,42.7,45.18,17918200,0.0,0.0
2020-04-02,44.69,46.27,44.61,46.19,16434400,0.0,0.0
2020-04-03,45.72,46.42,45.4,45.82,13362500,0.0,0.0
2020-04-06,46.74,48.12,46.7,47.76,13845800,0.0,0.0
2020-04-07,48.37,48.54,47.03,47.08,14063000,0.0,0.0
2020-04-08,47.51,49.09,47.41,48.58,15710700,0.24,0.0
2020-04-09,48.68,49.97,48.49,49.56,15521200,0.0,0.0
2020-04-13,49.11,49.52,48.83,49.36,12694800,0.0,0.0
2020-04-14,50.05,50.42,49.81,50.32,11674600,0.0,0.0
2020-04-15,49.59,49.81,49.21,49.54,10398100,0.0,0.0
2020-04-16,49.53,50.2,49.46,50.04,14098300,0.0,0.0
2020-04-17,50.81,50.99,50.29,50.9,13608800,0.0,0.0
2020-04-20,50.37,50.86,50.14,50.24,10358900,0.0,0.0
2020-04-21,49.6,49.71,47.64,47.82,14111700,0.0,0.0
2020-04-22,48.49,49.0,48.24,48.71,9668300,0.0,0.0
2020-04-23,48.67,49.38,47.95,48.43,10330200,0.0,0.0
2020-04-24,48.84,49.44,48.42,49.4,9403500,0.0,0.0
2020-04-27,49.73,49.99,49.45,49.73,9123200,0.0,0.0
2020-04-28,50.23,50.46,49.51,49.58,8350500,0.0,0.0
2020-04-29,50.28,50.58,50.03,50.21,9064100,0.0,0.0
2020-04-30,49.83,49.95,49.2,49.36,11808800,0.0,0.0
2020-05-01,48.81,48.87,47.82,48.26,8702400,0.0,0.0
2020-05-04,48.19,48.26,47.62,48.23,7567900,0.0,0.0
2020-05-05,48.66,49.26,48.45,48.5,7271800,0.0,0.0
2020-05-06,48.86,48.92,48.18,48.33,7050000,0.0,0.0
2020-05-07,48.83,49.32,48.71,49.02,7154700,0.0,0.0
2020-05-08,49.57,50.12,49.18,49.92,8130800,0.0,0.0
2020-05-11,49.51,50.16,49.45,49.88,8138600,0.0,0.0
2020-05-12,50.14,50.16,48.69,48.71,8598800,0.0,0.0
2020-05-13,48.86,48.91,47.79,48.13,10274300,0.0,0.0
