,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,393.29,394.2,389.36,391.5,642000,0.0,0.0
2020-02-24,386.14,391.29,385.48,387.76,758200,0.0,0.0
2020-02-25,389.7,390.89,376.75,377.35,1005800,0.0,0.0
2020-02-26,379.5,384.2,376.72,377.69,809600,0.0,0.0
2020-02-27,371.23,380.92,370.05,370.47,1110200,0.0,0.0
2020-02-28,360.91,372.5,358.86,368.72,1689400,0.0,0.0
2020-03-02,367.01,378.39,364.45,378.39,1222300,0.0,0.0
2020-03-03,368.42,380.48,362.25,364.17,1406900,0.0,0.0
2020-03-04,368.01,377.5,363.61,377.2,734300,0.0,0.0
2020-03-05,368.86,371.94,358.45,361.32,810200,0.0,0.0
2020-03-06,354.02,369.57,352.23,368.07,1175800,0.0,0.0
2020-03-09,358.55,380.0,355.0,373.63,1476900,0.0,0.0
2020-03-10,381.67,394.54,381.13,393.51,1284100,0.0,0.0
2020-03-11,385.51,387.47,370.98,374.35,1231700,0.0,0.0
2020-03-12,359.89,361.66,330.23,330.29,1616600,0.0,0.0
2020-03-13,344.0,354.92,328.7,354.29,952400,0.0,0.0
2020-03-16,325.72,336.0,298.52,299.64,1148800,0.0,0.0
2020-03-17,307.17,331.29,301.89,327.54,1111300,0.0,0.0
2020-03-18,291.2,312.48,274.94,293.72,1187500,0.0,0.0
2020-03-19,291.26,306.32,277.35,290.52,936800,0.0,0.0
2020-03-20,290.73,291.52,261.0,263.76,1104200,0.0,0.0
2020-03-23,255.85,270.83,251.52,260.92,1900500,0.0,0.0
2020-03-24,272.26,294.98,271.0,277.13,2921500,0.0,0.0
2020-03-25,279.51,314.73,274.92,298.92,2171600,0.0,0.0
2020-03-26,300.0,329.0,300.0,326.73,1602200,0.0,0.0
2020-03-27,315.1,325.51,307.22,313.42,902900,0.0,0.0
2020-03-30,315.25,320.85,306.55,318.19,760100,0.0,0.0
2020-03-31,309.8,313.6,299.36,301.04,1101200,0.0,0.0
2020-04-01,288.42,300.97,283.58,287.25,1184700,0.0,0.0
2020-04-02,288.94,303.94,288.94,303.48,1139400,0.0,0.0
2020-04-03,300.97,302.97,289.3,295.38,1019700,0.0,0.0
2020-04-06,311.36,337.79,311.36,333.42,1115300,0.0,0.0
2020-04-07,345.0,348.97,329.19,336.26,940700,0.0,0.0
2020-04-08,338.54,353.85,336.29,340.02,1002000,0.0,0.0
2020-04-09,342.95,351.95,338.25,342.44,867100,0.0,0.0
2020-04-13,341.27,348.94,332.16,347.92,485000,0.0,0.0
2020-04-14,352.98,362.94,352.98,356.35,643800,0.0,0.0
2020-04-15,347.0,356.0,344.5,353.89,467700,0.0,0.0
2020-04-16,361.76,374.94,357.0,367.67,976600,0.0,0.0
2020-04-17,377.73,385.54,365.58,373.51,669300,0.0,0.0
2020-04-20,368.39,376.54,365.04,373.66,737700,0.0,0.0
2020-04-21,368.36,373.54,357.61,358.29,1031800,0.0,0.0
2020-04-22,362.51,371.0,361.01,368.26,996200,0.0,0.0
2020-04-23,386.45,389.58,366.17,374.52,1589800,0.0,0.0
2020-04-24,381.98,390.04,375.86,384.82,699700,0.0,0.0
2020-04-27,385.92,394.64,384.83,389.5,589500,0.0,0.0
2020-04-28,398.58,399.98,383.64,384.5,919900,0.0,0.0
2020-04-29,390.89,394.5,387.19,391.01,556200,0.0,0.0
2020-04-30,387.19,389.51,382.85,386.33,568000,0.0,0.0
2020-05-01,379.39,382.32,373.57,376.36,559200,0.0,0.0
2020-05-04,374.73,388.79,373.14,388.2,577700,0.0,0.0
2020-05-05,390.0,395.41,388.51,390.38,540900,0.0,0.0
2020-05-06,394.02,402.95,388.5,397.76,885500,0.0,0.0
2020-05-07,401.0,407.0,384.76,386.45,810200,0.0,0.0
2020-05-08,394.13,405.35,393.51,402.51,641400,0.0,0.0
2020-05-11,396.52,402.2,394.35,398.89,515300,0.0,0.0
2020-05-12,397.75,400.94,393.76,394.3,498800,0.0,0.0
2020-05-13,392.42,398.97,385.13,389.89,741400,0.0,0.0
2020-05-14,386.66,398.92,377.26,398.6,587900,0.0,0.0
2020-05-15,394.75,408.17,392.07,407.11,969300,0.0,0.0
