,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-19,37.39,43.0,37.39,42.29,7000,0.0,0.0
2020-03-20,42.07,43.0,42.06,42.06,3600,0.0,0.0
2020-03-23,39.26,39.26,37.37,37.39,11900,0.0,0.0
2020-03-24,37.39,37.39,36.45,37.39,77800,0.0,0.0
2020-03-25,37.39,41.87,35.52,38.33,7000,0.0,0.0
2020-03-26,42.06,44.4,41.36,42.06,29100,0.0,0.0
2020-03-27,42.06,44.4,42.05,42.28,263200,0.0,0.0
2020-03-30,41.36,46.73,41.36,46.73,118100,0.0,0.0
2020-03-31,43.46,46.73,41.86,46.73,210300,0.0,0.0
2020-04-01,42.99,45.33,41.13,43.65,1206100,0.0,0.0
2020-04-02,42.08,45.48,40.38,41.13,9264200,0.0,0.0
2020-04-03,40.89,46.08,39.07,44.23,22551600,0.0,0.0
2020-04-06,43.93,44.72,41.78,42.94,10294200,0.0,0.0
2020-04-07,42.2,43.92,40.13,41.39,12146500,0.0,0.0
2020-04-08,39.45,42.25,38.56,41.21,22265800,0.0,0.0
2020-04-09,41.17,46.97,41.13,45.93,17355600,0.0,0.0
2020-04-13,45.38,45.49,42.73,43.0,8545100,0.0,0.0
2020-04-14,42.91,43.28,41.1,42.89,10152100,0.0,0.0
2020-04-15,41.3,41.92,40.0,41.64,7935500,0.0,0.0
2020-04-16,41.2,43.38,40.71,42.64,8740200,0.0,0.0
2020-04-17,43.93,45.39,42.92,43.14,7878100,0.0,0.0
2020-04-20,42.06,43.91,41.97,42.43,5407500,0.0,0.0
2020-04-21,41.59,44.12,41.59,42.9,6939700,0.0,0.0
2020-04-22,44.22,46.31,43.0,43.98,6801900,0.0,0.0
2020-04-23,44.34,44.9,43.44,44.37,5174800,0.0,0.0
2020-04-24,44.88,45.33,43.29,44.72,6446900,0.0,0.0
2020-04-27,44.94,45.43,44.5,45.07,5541100,0.0,0.0
2020-04-28,45.87,47.62,45.47,46.6,5368200,0.0,0.0
2020-04-29,47.45,48.35,46.46,47.81,4343900,0.0,0.0
2020-04-30,47.64,48.23,47.2,47.59,6123800,0.0,0.0
2020-05-01,47.04,47.23,45.15,46.46,3089700,0.0,0.0
2020-05-04,45.66,46.43,44.41,46.3,5676600,0.0,0.0
2020-05-05,46.3,47.33,44.83,44.95,4103600,0.0,0.0
2020-05-06,45.44,45.8,44.76,45.15,2931800,0.0,0.0
2020-05-07,45.82,49.81,45.79,48.43,4803200,0.0,0.0
2020-05-08,48.72,50.63,48.71,49.49,4289400,0.0,0.0
2020-05-11,48.6,48.98,47.73,48.43,3150600,0.0,0.0
2020-05-12,48.78,48.88,46.44,46.47,3059800,0.0,0.0
2020-05-13,45.8,47.02,44.76,45.06,4567000,0.0,0.0
2020-05-14,44.5,45.24,44.15,44.87,4849900,0.0,0.0
2020-05-15,44.23,46.01,44.12,45.7,2981400,0.0,0.0
2020-05-18,46.85,48.92,46.85,48.73,4452600,0.0,0.0
2020-05-19,48.31,49.47,47.72,48.89,2050300,0.0,0.0
2020-05-20,49.12,51.13,49.05,49.71,4755100,0.0,0.0
2020-05-21,49.13,50.24,48.67,48.82,3813100,0.2,0.0
2020-05-22,49.22,49.46,47.77,48.52,2134300,0.0,0.0
2020-05-26,49.75,50.66,47.57,47.75,6247000,0.0,0.0
2020-05-27,48.4,49.4,47.63,49.14,5202300,0.0,0.0
2020-05-28,49.6,49.68,47.78,47.81,4260700,0.0,0.0
2020-05-29,47.32,49.6,47.08,49.4,7522700,0.0,0.0
2020-06-01,49.21,51.08,48.89,50.74,3073300,0.0,0.0
2020-06-02,50.81,51.37,50.0,50.81,2638100,0.0,0.0
2020-06-03,51.6,52.15,51.18,52.04,4134500,0.0,0.0
2020-06-04,51.88,53.16,51.31,51.98,3281300,0.0,0.0
2020-06-05,54.26,55.08,52.54,54.95,4615100,0.0,0.0
2020-06-08,55.06,57.53,54.76,57.48,5966500,0.0,0.0
2020-06-09,56.67,57.66,55.58,56.9,4610200,0.0,0.0
2020-06-10,56.87,57.2,55.37,55.38,2658300,0.0,0.0
2020-06-11,52.54,54.48,52.26,52.78,3293900,0.0,0.0
2020-06-12,54.16,55.34,51.7,52.58,4313000,0.0,0.0
2020-06-15,51.14,54.23,50.51,54.11,4464300,0.0,0.0
2020-06-16,55.83,56.11,53.83,54.28,3510300,0.0,0.0
2020-06-17,54.53,54.6,52.97,53.24,2441500,0.0,0.0
2020-06-18,52.95,54.12,52.77,53.94,2137500,0.0,0.0
2020-06-19,55.32,55.32,52.49,53.48,7096100,0.0,0.0
2020-06-22,53.37,54.59,53.14,53.54,2027000,0.0,0.0
2020-06-23,54.13,54.3,53.09,53.29,2386900,0.0,0.0
2020-06-24,52.68,53.45,51.84,52.11,3022000,0.0,0.0
2020-06-25,51.65,53.01,51.38,52.73,2942900,0.0,0.0
2020-06-26,52.76,52.99,51.08,52.34,6634300,0.0,0.0
2020-06-29,52.44,53.29,51.91,53.08,2257300,0.0,0.0
2020-06-30,52.51,53.57,52.08,53.35,2518100,0.0,0.0
2020-07-01,53.48,53.48,52.31,52.33,2400200,0.0,0.0
2020-07-02,52.94,53.7,52.33,53.01,3162900,0.0,0.0
2020-07-06,53.84,54.02,52.94,53.35,1999100,0.0,0.0
2020-07-07,52.94,53.77,52.65,53.31,2537900,0.0,0.0
2020-07-08,53.51,53.62,52.79,53.4,6694900,0.0,0.0
2020-07-09,53.35,54.36,52.61,52.64,2424200,0.0,0.0
2020-07-10,52.76,53.77,52.58,53.46,2137300,0.0,0.0
2020-07-13,53.07,54.36,52.98,53.38,2882500,0.0,0.0
2020-07-14,52.75,53.9,52.57,53.83,2755100,0.0,0.0
2020-07-15,54.43,55.36,54.29,54.61,2358400,0.0,0.0
2020-07-16,54.42,54.94,54.1,54.72,2628800,0.0,0.0
2020-07-17,55.1,55.38,54.56,54.93,2983100,0.0,0.0
2020-07-20,54.81,55.97,54.41,54.94,2407800,0.0,0.0
2020-07-21,54.77,55.3,54.51,54.83,2314000,0.0,0.0
2020-07-22,54.38,55.29,54.12,54.87,2034300,0.0,0.0
2020-07-23,54.89,55.8,54.74,55.41,2566500,0.0,0.0
2020-07-24,55.53,55.54,54.07,54.54,3142100,0.0,0.0
2020-07-27,54.29,54.83,54.04,54.72,2670300,0.0,0.0
2020-07-28,56.13,58.01,56.01,56.56,4473600,0.0,0.0
2020-07-29,57.2,60.39,57.2,60.33,4885400,0.0,0.0
2020-07-30,59.52,60.54,59.25,59.48,2307000,0.0,0.0
2020-07-31,59.52,59.52,58.34,58.87,3156100,0.0,0.0
2020-08-03,59.13,59.88,58.87,59.31,3200500,0.0,0.0
2020-08-04,58.72,59.02,58.14,58.74,1739400,0.0,0.0
2020-08-05,58.87,59.72,58.49,59.19,2645000,0.0,0.0
2020-08-06,59.01,59.6,58.98,59.56,1557400,0.0,0.0
2020-08-07,59.26,60.49,59.26,60.43,1169100,0.0,0.0
2020-08-10,60.32,61.27,60.32,61.18,1572700,0.0,0.0
2020-08-11,61.47,61.88,60.36,60.39,2787700,0.0,0.0
2020-08-12,60.96,61.43,60.25,60.89,1496600,0.0,0.0
2020-08-13,60.95,60.95,59.89,60.05,1436200,0.0,0.0
2020-08-14,59.78,60.53,59.67,60.11,1633900,0.0,0.0
2020-08-17,60.48,60.55,59.78,60.01,1785500,0.0,0.0
2020-08-18,59.91,60.42,59.46,59.53,1680200,0.0,0.0
2020-08-19,59.56,59.66,58.72,59.03,1549000,0.0,0.0
2020-08-20,58.51,59.53,58.18,59.27,1291500,0.2,0.0
2020-08-21,59.33,59.99,58.91,59.89,2649500,0.0,0.0
2020-08-24,59.87,60.46,59.34,60.05,3199900,0.0,0.0
2020-08-25,60.63,61.0,60.15,60.51,1604100,0.0,0.0
2020-08-26,60.5,60.98,60.0,60.41,1161900,0.0,0.0
2020-08-27,60.68,61.09,59.46,59.51,1341700,0.0,0.0
2020-08-28,59.55,59.89,58.97,59.85,1129900,0.0,0.0
2020-08-31,59.87,60.09,59.15,59.2,1736400,0.0,0.0
2020-09-01,58.85,60.5,58.66,60.29,2334100,0.0,0.0
2020-09-02,59.99,61.71,59.91,61.5,1827200,0.0,0.0
2020-09-03,61.07,61.6,57.47,58.22,3096800,0.0,0.0
2020-09-04,58.83,58.92,56.88,57.88,2697000,0.0,0.0
2020-09-08,57.82,58.12,56.91,57.07,2137900,0.0,0.0
2020-09-09,57.44,58.86,57.42,58.43,1888500,0.0,0.0
2020-09-10,58.34,58.34,56.22,56.38,3828900,0.0,0.0
2020-09-11,56.72,57.14,56.26,56.61,2273400,0.0,0.0
2020-09-14,57.01,57.01,55.6,56.46,2420100,0.0,0.0
2020-09-15,56.5,58.0,56.5,56.76,1629400,0.0,0.0
2020-09-16,57.28,57.42,55.91,56.28,2457000,0.0,0.0
2020-09-17,55.3,57.5,54.63,57.45,2219900,0.0,0.0
2020-09-18,57.57,58.96,56.84,57.3,3806500,0.0,0.0
2020-09-21,56.47,56.68,55.22,55.92,2512100,0.0,0.0
2020-09-22,55.48,57.53,55.4,57.41,1841500,0.0,0.0
2020-09-23,57.2,58.14,56.66,56.86,1733700,0.0,0.0
2020-09-24,57.27,59.06,56.91,58.43,2374800,0.0,0.0
2020-09-25,57.99,58.69,57.59,57.93,1557600,0.0,0.0
2020-09-28,58.61,59.18,58.26,58.84,1233900,0.0,0.0
2020-09-29,58.75,59.07,58.24,58.74,1435400,0.0,0.0
2020-09-30,59.02,59.86,58.31,58.75,2494000,0.0,0.0
2020-10-01,59.18,60.45,58.13,58.7,2342500,0.0,0.0
2020-10-02,58.0,59.71,57.9,59.45,1447800,0.0,0.0
2020-10-05,59.99,60.83,59.52,60.75,1447700,0.0,0.0
2020-10-06,60.64,61.18,59.75,60.08,2107000,0.0,0.0
2020-10-07,60.83,61.76,60.59,61.23,1648100,0.0,0.0
2020-10-08,60.98,61.66,60.69,60.91,1213200,0.0,0.0
2020-10-09,61.2,61.81,60.52,61.51,1187000,0.0,0.0
2020-10-12,61.98,62.11,61.34,61.83,1185800,0.0,0.0
2020-10-13,61.33,61.93,60.82,61.3,1415900,0.0,0.0
2020-10-14,61.65,62.12,60.74,61.75,1633600,0.0,0.0
2020-10-15,60.87,61.59,60.25,61.37,982100,0.0,0.0
2020-10-16,61.46,61.94,61.0,61.21,1047500,0.0,0.0
2020-10-19,61.09,61.59,60.31,60.58,910500,0.0,0.0
2020-10-20,60.88,61.88,60.56,60.61,720000,0.0,0.0
2020-10-21,60.47,61.02,59.97,59.98,1082600,0.0,0.0
2020-10-22,60.23,60.23,59.28,59.52,4980300,0.0,0.0
2020-10-23,59.74,60.26,59.41,59.72,2308600,0.0,0.0
