,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-17 19:00:00-05:00,nan,nan,nan
2025-08-17 20:00:00-04:00,nan,nan,nan
2025-05-18 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,0.78,0.81,4.25
2024-11-19 19:00:00-05:00,0.74,0.78,5.41
2024-08-18 20:00:00-04:00,1.41,1.51,7.17
2024-05-19 20:00:00-04:00,1.25,1.32,5.6
2024-02-19 19:00:00-05:00,1.3,1.46,12.37
2023-11-14 19:00:00-05:00,1.16,1.38,18.65
2023-08-17 20:00:00-04:00,1.28,1.44,12.15
2023-05-22 20:00:00-04:00,0.93,1.1,17.76
