,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,41.4,41.4,40.06,40.5,9018600,0.0,0.0
2020-02-24,39.47,39.65,38.54,39.55,17634000,0.0,0.0
2020-02-25,33.66,33.98,32.02,32.82,59718600,0.0,0.0
2020-02-26,32.84,33.21,31.25,31.59,19690800,0.0,0.0
2020-02-27,30.75,32.58,30.43,31.26,20486400,0.0,0.0
2020-02-28,30.29,31.89,30.17,30.77,21506400,0.0,0.0
2020-03-02,30.81,31.58,29.85,31.54,12958800,0.0,0.0
2020-03-03,31.55,31.86,29.89,30.34,11193000,0.0,0.0
2020-03-04,30.99,31.07,30.5,30.98,8088000,0.0,0.0
2020-03-05,30.33,30.93,29.87,30.17,8656200,0.0,0.0
2020-03-06,29.47,29.86,28.81,29.36,11579400,0.0,0.0
2020-03-09,27.44,28.31,25.62,26.46,20055000,0.0,0.0
2020-03-10,27.4,28.01,26.55,27.91,12548400,0.0,0.0
2020-03-11,27.34,27.61,25.87,26.25,11924400,0.0,0.0
2020-03-12,24.34,24.88,23.33,23.42,18009000,0.0,0.0
2020-03-13,24.54,25.26,23.09,25.26,11983800,0.0,0.0
2020-03-16,22.51,23.57,22.3,22.86,13266600,0.0,0.0
2020-03-17,23.06,24.11,22.44,23.59,13229400,0.0,0.0
2020-03-18,22.25,23.49,20.91,22.09,15502200,0.0,0.0
2020-03-19,21.93,24.03,21.84,23.18,11408400,0.0,0.0
2020-03-20,23.71,25.49,23.5,23.92,10483800,0.0,0.0
2020-03-23,23.63,25.09,23.53,24.36,9372600,0.0,0.0
2020-03-24,25.72,27.13,25.66,26.78,15616800,0.0,0.0
2020-03-25,27.29,28.12,26.09,27.66,12357600,0.0,0.0
2020-03-26,28.09,28.7,27.62,28.0,9399000,0.0,0.0
2020-03-27,27.03,27.54,26.7,27.09,9257400,0.0,0.0
2020-03-30,27.16,28.36,26.95,27.74,12379800,0.0,0.0
2020-03-31,27.33,28.11,27.03,27.32,8735400,0.0,0.0
2020-04-01,26.33,28.29,26.33,27.3,12898800,0.0,0.0
2020-04-02,27.12,28.12,26.75,27.59,8778000,0.0,0.0
2020-04-03,27.21,27.93,26.74,27.11,5998800,0.0,0.0
2020-04-06,28.22,28.73,27.69,28.55,10117200,0.0,0.0
2020-04-07,29.49,29.81,28.76,28.8,9024000,0.0,0.0
2020-04-08,29.16,29.62,28.72,29.36,7908600,0.0,0.0
2020-04-09,29.81,30.74,29.55,29.64,11857800,0.0,0.0
2020-04-13,30.1,30.64,29.85,30.49,8777400,0.0,0.0
2020-04-14,31.24,31.42,30.73,31.32,7705200,0.0,0.0
2020-04-15,30.78,31.33,30.66,31.05,6197400,0.0,0.0
2020-04-16,31.3,31.92,31.1,31.71,7640400,0.0,0.0
2020-04-17,32.5,32.72,31.89,32.23,10762800,0.0,0.0
2020-04-20,32.07,32.9,31.97,32.38,7082400,0.0,0.0
2020-04-21,31.99,32.37,30.72,31.08,7291200,0.0,0.0
2020-04-22,31.66,32.25,31.6,31.97,4706400,0.0,0.0
2020-04-23,31.93,32.48,31.69,32.01,4053000,0.0,0.0
2020-04-24,32.14,32.48,32.06,32.24,5060400,0.0,0.0
2020-04-27,32.71,33.3,32.53,32.81,8986800,0.0,0.0
2020-04-28,33.33,33.44,32.19,32.25,6178200,0.0,0.0
2020-04-29,32.86,33.33,32.65,32.95,6318000,0.0,0.0
2020-04-30,32.69,33.22,32.55,32.75,3644400,0.0,0.0
2020-05-01,32.16,32.65,32.02,32.44,6433200,0.0,0.0
2020-05-04,32.28,32.28,31.75,31.97,5935800,0.0,0.0
2020-05-05,32.29,33.32,32.29,33.03,6581400,0.0,0.0
2020-05-06,33.81,34.01,33.42,33.53,8327400,0.0,0.0
2020-05-07,34.13,35.69,33.99,35.52,10390200,0.0,0.0
2020-05-08,35.72,35.85,35.19,35.65,6379800,0.0,0.0
2020-05-11,35.5,36.58,35.4,36.37,7197000,0.0,0.0
2020-05-12,36.5,36.56,35.59,35.69,5841000,0.0,0.0
2020-05-13,36.66,36.97,35.13,35.95,10498200,0.0,0.0
2020-05-14,35.31,36.59,35.31,36.59,9666600,0.0,0.0
2020-05-15,36.33,37.32,36.15,37.13,8156400,0.0,0.0
2020-05-18,37.62,38.56,37.34,37.68,7476000,0.0,0.0
2020-05-19,37.79,38.73,37.79,37.85,13197600,0.0,0.0
2020-05-20,38.41,39.12,38.33,39.08,9340800,0.0,0.0
2020-05-21,39.0,39.61,38.08,38.25,15858600,0.0,0.0
2020-05-22,40.0,40.52,38.66,39.65,24634200,0.0,0.0
2020-05-26,39.99,40.2,38.5,38.52,12652200,0.0,0.0
2020-05-27,38.51,38.69,37.18,38.63,9912600,0.0,0.0
2020-05-28,38.41,38.86,37.89,38.23,6410400,0.0,0.0
2020-05-29,38.34,39.28,38.16,39.21,7984200,0.0,0.0
2020-06-01,39.16,39.9,38.73,39.71,5871000,0.0,0.0
2020-06-02,39.71,39.99,39.23,39.97,5397000,0.0,0.0
2020-06-03,39.65,40.13,38.88,38.9,11906400,0.0,0.0
2020-06-04,38.33,38.65,37.47,37.78,18654000,0.0,0.0
2020-06-05,37.79,38.73,37.37,38.56,10531800,0.0,0.0
2020-06-08,38.34,39.65,38.13,39.63,10690200,0.0,0.0
2020-06-09,39.66,39.73,38.91,38.92,5252400,0.0,0.0
2020-06-10,39.16,39.41,38.77,38.77,7232400,0.0,0.0
2020-06-11,37.92,38.53,36.93,36.98,8662800,0.0,0.0
2020-06-12,37.86,38.06,36.29,36.97,8497800,0.0,0.0
2020-06-15,36.63,37.84,36.24,37.71,7233600,0.0,0.0
2020-06-16,38.33,38.36,37.66,38.11,5865600,0.0,0.0
2020-06-17,38.24,38.6,38.12,38.2,4824000,0.0,0.0
2020-06-18,38.16,38.53,38.02,38.38,6760800,0.0,0.0
2020-06-19,38.83,39.05,37.97,38.45,11375400,0.0,0.0
2020-06-22,38.47,39.08,38.36,38.81,8161200,0.0,0.0
2020-06-23,38.67,38.8,38.06,38.21,8327400,0.0,0.0
2020-06-24,38.16,38.51,36.88,37.23,7704000,0.0,0.0
2020-06-25,37.16,37.84,36.86,37.81,5842200,0.0,0.0
2020-06-26,37.74,37.81,37.17,37.56,13090200,0.0,0.0
2020-06-29,37.47,38.0,36.79,37.84,5736600,0.0,0.0
2020-06-30,37.84,38.33,37.68,38.27,9508800,0.0,0.0
2020-07-01,38.23,38.49,37.95,38.22,7942200,0.0,0.0
2020-07-02,38.5,38.8,38.22,38.42,8546400,0.0,0.0
2020-07-06,38.77,39.75,38.68,39.31,6132600,0.0,0.0
2020-07-07,39.27,39.81,38.79,38.84,7535400,0.0,0.0
2020-07-08,39.0,40.5,38.93,40.47,11722800,0.0,0.0
2020-07-09,40.66,41.59,40.39,41.43,11844000,0.0,0.0
2020-07-10,41.45,41.5,40.87,41.49,8173200,0.0,0.0
2020-07-13,41.7,42.63,40.09,40.17,14929200,0.0,0.0
2020-07-14,40.0,40.92,39.26,40.88,8929800,0.0,0.0
2020-07-15,41.08,41.12,39.91,40.08,4659600,0.0,0.0
2020-07-16,39.67,39.91,39.13,39.56,5269800,0.0,0.0
2020-07-17,39.72,40.1,39.27,39.96,3318600,0.0,0.0
2020-07-20,40.24,42.06,40.16,41.93,5884800,0.0,0.0
2020-07-21,42.05,42.16,41.31,41.55,6103200,0.0,0.0
2020-07-22,41.87,42.54,41.5,41.72,6045000,0.0,0.0
2020-07-23,41.69,42.5,41.18,41.41,6676800,0.0,0.0
2020-07-24,40.76,40.92,40.25,40.62,3100200,0.0,0.0
