,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,304.94,305.53,295.37,296.53,786500,0.0,0.0
2020-02-24,281.73,295.16,281.53,291.97,1046000,0.0,0.0
2020-02-25,295.9,297.75,284.15,285.2,907000,0.0,0.0
2020-02-26,284.47,296.66,283.98,288.17,672900,0.0,0.0
2020-02-27,276.62,289.8,274.1,277.74,861100,0.0,0.0
2020-02-28,267.51,279.95,261.11,279.02,1460800,0.0,0.0
2020-03-02,282.3,288.57,272.57,288.21,810900,0.0,0.0
2020-03-03,289.86,293.81,270.51,278.67,714400,0.0,0.0
2020-03-04,283.77,289.92,278.8,289.92,572900,0.0,0.0
2020-03-05,284.34,291.6,277.42,278.63,654300,0.0,0.0
2020-03-06,270.47,271.44,254.02,264.27,1037700,0.0,0.0
2020-03-09,236.94,252.57,232.67,237.74,1361300,0.0,0.0
2020-03-10,243.27,245.34,229.51,236.4,1203100,0.0,0.0
2020-03-11,231.51,235.35,214.16,217.84,1345000,0.0,0.0
2020-03-12,186.95,216.81,182.99,189.51,1971300,0.0,0.0
2020-03-13,202.99,223.74,194.06,223.71,1622000,0.0,0.0
2020-03-16,193.82,206.14,182.02,193.75,1298600,0.0,0.0
2020-03-17,197.56,214.06,188.04,213.96,1051000,0.0,0.0
2020-03-18,196.65,201.73,184.58,189.92,1267700,0.0,0.0
2020-03-19,191.0,201.21,179.74,195.01,1191800,0.0,0.0
2020-03-20,200.65,215.63,187.58,190.33,1453700,0.0,0.0
2020-03-23,188.64,189.52,171.41,176.64,1654500,0.0,0.0
2020-03-24,188.0,199.39,181.82,199.03,1349100,0.0,0.0
2020-03-25,200.31,216.13,190.15,207.94,1130000,0.0,0.0
2020-03-26,201.62,227.42,199.54,226.26,1086800,0.0,0.0
2020-03-27,217.49,221.09,204.8,206.25,1114800,0.0,0.0
2020-03-30,207.04,216.18,206.25,210.38,796700,0.0,0.0
2020-03-31,207.31,209.6,196.08,199.41,1008200,0.0,0.0
2020-04-01,190.52,195.89,180.94,185.03,1030200,0.0,0.0
2020-04-02,181.34,183.6,170.84,178.93,1359100,0.0,0.0
2020-04-03,178.49,179.65,161.32,162.89,1886800,0.0,0.0
2020-04-06,172.8,181.43,168.81,179.51,1520900,0.0,0.0
2020-04-07,192.48,201.7,182.86,183.63,1617200,0.0,0.0
2020-04-08,187.86,202.54,186.86,199.97,787000,0.0,0.0
2020-04-09,206.61,227.8,204.42,219.14,2279300,0.0,0.0
2020-04-13,218.21,219.13,207.34,213.57,1015400,0.0,0.0
2020-04-14,226.06,230.32,219.42,225.57,856600,0.0,0.0
2020-04-15,218.37,223.53,217.09,223.49,784900,0.0,0.0
2020-04-16,223.39,226.55,203.36,204.05,1478800,0.0,0.0
2020-04-17,213.79,224.62,210.27,222.1,1466100,0.0,0.0
2020-04-20,218.75,226.18,216.31,219.5,650200,0.0,0.0
2020-04-21,213.64,214.6,202.42,205.52,764100,0.0,0.0
2020-04-22,211.5,216.59,210.16,214.94,559100,0.0,0.0
2020-04-23,202.97,214.81,202.46,208.95,1078000,0.0,0.0
2020-04-24,211.27,211.96,204.63,209.08,742000,0.0,0.0
2020-04-27,215.57,224.14,213.35,223.19,789300,0.0,0.0
2020-04-28,232.2,237.9,227.85,233.65,1345300,0.0,0.0
2020-04-29,237.42,269.35,235.66,266.53,2231300,0.0,0.0
2020-04-30,261.14,267.56,257.05,257.66,1069100,0.0,0.0
2020-05-01,249.75,251.72,232.42,238.55,1339000,0.0,0.0
2020-05-04,233.93,246.31,230.5,244.93,696400,0.0,0.0
2020-05-05,250.05,258.34,247.88,253.68,668200,0.0,0.0
2020-05-06,256.11,257.41,249.96,251.76,542300,0.0,0.0
2020-05-07,258.28,271.46,258.28,265.36,1033200,0.0,0.0
2020-05-08,270.1,272.4,263.26,268.53,671900,0.0,0.0
2020-05-11,266.18,276.61,265.04,270.76,591500,0.0,0.0
2020-05-12,271.6,272.5,259.73,260.06,565600,0.0,0.0
2020-05-13,258.98,260.34,237.07,240.18,1420800,0.0,0.0
2020-05-14,236.86,249.7,230.27,249.56,1100000,0.0,0.0
2020-05-15,249.09,261.16,249.09,258.32,933000,0.0,0.0
2020-05-18,270.48,283.36,267.77,280.25,1519500,0.0,0.0
2020-05-19,281.38,287.12,276.08,276.1,868400,0.0,0.0
2020-05-20,272.46,277.33,265.16,269.96,1291600,0.0,0.0
2020-05-21,271.47,274.17,264.81,270.75,598900,0.0,0.0
2020-05-22,270.48,271.15,263.64,265.89,648300,0.0,0.0
2020-05-26,276.4,280.33,272.01,276.7,785400,0.0,0.0
2020-05-27,279.46,283.79,268.75,283.37,860900,0.0,0.0
2020-05-28,283.31,294.66,281.38,283.52,800400,0.0,0.0
2020-05-29,284.3,293.82,282.73,293.41,1070100,0.0,0.0
2020-06-01,292.89,305.31,290.81,301.68,751700,0.0,0.0
2020-06-02,301.67,304.37,295.21,302.9,561300,0.0,0.0
2020-06-03,304.82,306.46,301.44,303.03,469400,0.0,0.0
2020-06-04,299.88,302.71,294.36,299.27,536600,0.0,0.0
2020-06-05,306.45,326.36,304.81,325.54,1393400,0.0,0.0
2020-06-08,324.71,329.12,319.83,326.77,828200,0.0,0.0
2020-06-09,320.82,327.19,319.86,323.39,751700,0.0,0.0
2020-06-10,324.03,332.53,314.97,327.24,733100,0.0,0.0
2020-06-11,309.75,310.95,290.85,291.88,1024000,0.0,0.0
2020-06-12,304.66,311.85,292.46,298.91,629400,0.0,0.0
2020-06-15,290.81,307.24,287.55,303.77,532600,0.0,0.0
2020-06-16,314.94,317.15,302.36,308.62,654800,0.0,0.0
2020-06-17,313.4,313.4,304.69,305.05,385700,0.0,0.0
2020-06-18,306.85,315.82,302.97,312.24,578000,0.0,0.0
2020-06-19,316.53,320.14,310.38,314.07,722400,0.0,0.0
2020-06-22,314.87,321.09,314.87,318.51,372200,0.0,0.0
2020-06-23,322.12,327.04,319.84,325.4,493800,0.0,0.0
2020-06-24,322.05,327.66,306.25,308.55,684800,0.0,0.0
2020-06-25,306.89,314.83,303.72,312.97,381700,0.0,0.0
2020-06-26,312.43,314.85,300.58,302.43,1973500,0.0,0.0
2020-06-29,303.05,305.48,289.59,296.5,770200,0.0,0.0
2020-06-30,298.05,306.48,295.17,305.75,862900,0.0,0.0
2020-07-01,307.2,319.01,306.1,316.14,561800,0.0,0.0
2020-07-02,323.57,324.33,316.24,317.37,428300,0.0,0.0
2020-07-06,321.98,325.19,316.94,317.28,554500,0.0,0.0
2020-07-07,315.59,322.1,309.1,309.7,519500,0.0,0.0
2020-07-08,310.94,316.05,309.1,315.04,387000,0.0,0.0
2020-07-09,318.45,320.57,305.51,309.97,666500,0.0,0.0
2020-07-10,309.96,311.18,303.06,305.03,421900,0.0,0.0
2020-07-13,308.2,308.63,286.35,286.52,619500,0.0,0.0
2020-07-14,285.07,285.85,273.03,282.76,852100,0.0,0.0
2020-07-15,287.71,293.8,285.29,290.41,433800,0.0,0.0
2020-07-16,287.55,289.47,282.23,286.57,350300,0.0,0.0
2020-07-17,288.46,293.11,282.84,291.28,313200,0.0,0.0
2020-07-20,292.46,299.64,288.97,298.91,338800,0.0,0.0
2020-07-21,301.52,301.92,288.7,290.12,336700,0.0,0.0
2020-07-22,289.94,298.05,289.94,294.23,263400,0.0,0.0
2020-07-23,294.18,302.99,284.14,287.46,385100,0.0,0.0
2020-07-24,283.43,290.6,278.41,283.28,279800,0.0,0.0
2020-07-27,285.3,288.05,282.25,286.56,206400,0.0,0.0
2020-07-28,284.95,288.63,282.87,283.1,244500,0.0,0.0
2020-07-29,289.23,291.27,286.27,290.64,320300,0.0,0.0
2020-07-30,284.86,285.36,274.46,282.85,515400,0.0,0.0
2020-07-31,284.86,286.27,273.67,280.72,562800,0.0,0.0
2020-08-03,282.45,286.59,279.6,284.38,604300,0.0,0.0
2020-08-04,283.14,285.02,277.83,281.83,748600,0.0,0.0
2020-08-05,281.3,300.75,279.55,298.17,1244000,0.0,0.0
2020-08-06,292.86,298.6,285.58,294.82,663800,0.0,0.0
2020-08-07,293.79,297.39,288.93,292.85,741300,0.0,0.0
2020-08-10,291.38,291.38,278.38,285.72,669600,0.0,0.0
2020-08-11,285.49,291.02,279.0,281.82,464500,0.0,0.0
2020-08-12,283.25,286.56,281.72,284.0,341900,0.0,0.0
2020-08-13,284.36,301.93,284.36,298.0,497900,0.0,0.0
2020-08-14,300.26,305.35,296.78,299.18,717800,0.0,0.0
2020-08-17,302.36,303.38,294.95,295.21,416800,0.0,0.0
2020-08-18,295.97,297.19,287.39,288.55,401200,0.0,0.0
2020-08-19,289.23,291.34,283.62,289.23,393600,0.0,0.0
2020-08-20,286.3,293.67,286.3,289.66,427500,0.0,0.0
2020-08-21,288.93,288.93,282.76,283.52,278200,0.0,0.0
2020-08-24,285.93,286.27,279.44,280.77,300800,0.0,0.0
2020-08-25,280.69,284.28,279.73,283.58,341700,0.0,0.0
2020-08-26,285.85,296.2,285.57,292.04,400300,0.0,0.0
2020-08-27,291.87,294.69,287.34,289.23,372800,0.0,0.0
2020-08-28,291.15,297.77,290.96,295.99,317100,0.0,0.0
2020-08-31,295.8,301.79,295.58,295.61,606700,0.0,0.0
2020-09-01,299.06,307.88,296.92,303.57,392800,0.0,0.0
2020-09-02,307.48,307.48,297.6,301.38,463100,0.0,0.0
2020-09-03,296.79,296.79,276.46,280.35,792000,0.0,0.0
2020-09-04,276.44,281.96,261.74,267.27,638800,0.0,0.0
2020-09-08,255.77,276.61,254.56,269.01,685600,0.0,0.0
2020-09-09,275.94,282.36,274.75,276.57,502100,0.0,0.0
2020-09-10,278.89,285.29,270.25,271.95,296600,0.0,0.0
2020-09-11,275.06,275.41,259.96,262.08,479900,0.0,0.0
2020-09-14,265.58,270.99,265.27,269.14,284100,0.0,0.0
2020-09-15,271.85,277.11,270.22,276.49,368600,0.0,0.0
2020-09-16,282.07,287.97,276.82,276.94,359800,0.0,0.0
2020-09-17,268.48,275.51,267.28,275.34,434800,0.0,0.0
2020-09-18,275.72,278.7,266.3,270.18,649100,0.0,0.0
2020-09-21,264.62,270.84,261.59,270.79,541700,0.0,0.0
2020-09-22,272.43,276.74,267.96,276.48,339900,0.0,0.0
2020-09-23,276.06,279.86,269.93,271.99,249000,0.0,0.0
2020-09-24,269.95,275.32,262.29,269.9,334500,0.0,0.0
2020-09-25,269.77,281.69,266.74,280.05,291900,0.0,0.0
2020-09-28,284.97,287.9,282.32,287.09,307200,0.0,0.0
2020-09-29,288.81,301.01,288.47,299.93,670600,0.0,0.0
2020-09-30,298.46,308.7,297.41,307.3,904100,0.0,0.0
2020-10-01,311.5,317.16,309.5,316.32,776500,0.0,0.0
2020-10-02,321.81,330.89,316.83,327.27,826100,0.0,0.0
2020-10-05,327.63,340.22,322.82,338.46,661000,0.0,0.0
2020-10-06,337.98,341.7,330.99,334.92,713500,0.0,0.0
2020-10-07,337.6,348.61,331.3,347.31,573700,0.0,0.0
2020-10-08,355.08,357.27,350.08,354.91,492800,0.0,0.0
2020-10-09,356.36,363.7,356.16,361.3,525500,0.0,0.0
2020-10-12,363.75,365.56,353.47,362.13,417800,0.0,0.0
2020-10-13,361.52,371.55,360.47,368.98,501100,0.0,0.0
2020-10-14,371.58,374.46,363.84,368.15,290000,0.0,0.0
2020-10-15,360.44,373.4,357.35,371.08,273600,0.0,0.0
2020-10-16,374.13,380.07,372.68,376.89,267200,0.0,0.0
2020-10-19,381.45,384.83,373.78,378.2,323100,0.0,0.0
2020-10-20,378.22,387.97,378.22,379.74,261900,0.0,0.0
2020-10-21,390.91,392.4,370.49,371.24,389200,0.0,0.0
2020-10-22,372.19,376.18,361.72,372.48,336600,0.0,0.0
2020-10-23,376.09,383.98,372.64,383.66,364400,0.0,0.0
2020-10-26,377.23,378.79,366.94,373.56,285700,0.0,0.0
2020-10-27,376.64,382.01,375.41,377.78,303500,0.0,0.0
2020-10-28,369.1,370.85,362.74,366.78,341900,0.0,0.0
2020-10-29,367.39,373.02,366.5,368.3,319700,0.0,0.0
2020-10-30,365.72,366.06,352.01,359.41,298000,0.0,0.0
2020-11-02,359.41,366.7,349.92,355.97,424200,0.0,0.0
2020-11-03,361.3,367.83,358.81,364.4,328600,0.0,0.0
2020-11-04,375.12,392.73,375.12,392.32,608700,0.0,0.0
2020-11-05,388.81,394.61,364.02,368.46,850500,0.0,0.0
2020-11-06,367.96,385.62,360.37,383.13,471600,0.0,0.0
2020-11-09,390.92,414.58,390.06,399.85,703200,0.0,0.0
2020-11-10,395.04,397.74,367.86,372.83,570600,0.0,0.0
2020-11-11,382.53,389.43,375.55,376.56,337200,0.0,0.0
2020-11-12,377.9,388.0,373.42,375.1,297500,0.0,0.0
2020-11-13,376.85,381.93,370.77,376.82,259100,0.0,0.0
2020-11-16,377.08,380.78,371.48,374.46,251100,0.0,0.0
2020-11-17,374.18,379.07,368.02,376.76,191900,0.0,0.0
2020-11-18,376.09,382.71,371.25,375.38,248700,0.0,0.0
2020-11-19,378.19,388.12,375.09,387.6,278600,0.0,0.0
2020-11-20,385.43,395.5,381.84,387.66,252100,0.0,0.0
2020-11-23,390.7,400.7,387.95,397.32,269000,0.0,0.0
2020-11-24,402.18,402.18,390.91,395.33,230700,0.0,0.0
2020-11-25,397.61,403.89,394.17,401.94,300000,0.0,0.0
2020-11-27,404.9,412.69,404.9,411.42,155900,0.0,0.0
2020-11-30,410.09,417.07,399.81,411.72,394800,0.0,0.0
2020-12-01,413.88,416.58,406.53,410.37,274100,0.0,0.0
2020-12-02,404.12,415.69,399.73,414.21,252900,0.0,0.0
2020-12-03,414.36,431.39,414.36,422.98,336700,0.0,0.0
2020-12-04,424.92,434.08,424.92,431.53,354600,0.0,0.0
2020-12-07,430.65,437.16,427.58,431.39,270700,0.0,0.0
2020-12-08,431.68,436.47,427.8,434.36,347800,0.0,0.0
2020-12-09,431.81,435.34,414.83,416.24,340000,0.0,0.0
2020-12-10,414.6,424.68,409.34,421.5,417200,0.0,0.0
2020-12-11,420.81,424.64,414.54,418.44,301100,0.0,0.0
2020-12-14,420.96,424.48,413.79,420.51,322500,0.0,0.0
2020-12-15,424.29,429.14,418.94,419.84,446900,0.0,0.0
2020-12-16,419.84,424.61,417.84,417.85,364800,0.0,0.0
2020-12-17,418.55,436.57,417.85,436.12,515100,0.0,0.0
2020-12-18,436.98,438.15,428.15,434.19,839300,0.0,0.0
2020-12-21,430.09,443.99,425.66,439.87,399900,0.0,0.0
2020-12-22,442.28,460.55,440.32,459.16,508200,0.0,0.0
2020-12-23,459.87,465.03,454.64,458.4,333900,0.0,0.0
2020-12-24,459.05,459.05,452.12,456.19,95400,0.0,0.0
2020-12-28,461.99,462.17,449.41,457.63,309000,0.0,0.0
2020-12-29,458.04,458.68,440.01,441.84,362800,0.0,0.0
2020-12-30,446.81,446.81,440.45,442.16,520000,0.0,0.0
2020-12-31,441.35,447.92,439.06,446.44,367800,0.0,0.0
2021-01-04,444.22,444.38,416.3,422.24,497900,0.0,0.0
2021-01-05,418.04,427.95,415.59,421.4,474600,0.0,0.0
