,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,40.56,40.91,40.16,40.36,2568300,0.0,0.0
2020-02-25,40.57,40.65,38.71,38.84,4078950,0.0,0.0
2020-02-26,39.36,39.56,38.37,38.53,3242400,0.0,0.0
2020-02-27,37.96,38.81,37.26,37.61,4999800,0.0,0.0
2020-02-28,36.39,37.47,36.16,37.13,6289050,0.0,0.0
2020-03-02,37.36,38.68,36.77,38.67,3874050,0.0,0.0
2020-03-03,38.36,39.45,37.32,37.49,3978450,0.0,0.0
2020-03-04,38.0,38.58,37.6,38.54,2535000,0.0,0.0
2020-03-05,37.33,37.41,36.08,36.27,3414300,0.0,0.0
2020-03-06,34.61,36.06,34.5,35.83,4055250,0.0,0.0
2020-03-09,33.56,34.38,33.13,33.8,5191350,0.0,0.0
2020-03-10,34.94,35.88,33.84,35.88,3783750,0.0,0.0
2020-03-11,34.65,35.47,33.95,34.68,3773550,0.0,0.0
2020-03-12,31.78,34.86,31.78,32.86,6842700,0.0,0.0
2020-03-13,34.22,36.17,32.96,36.15,5591400,0.0,0.0
2020-03-16,32.19,35.5,32.19,33.39,5261250,0.0,0.0
2020-03-17,33.54,34.17,32.49,33.11,5362200,0.0,0.0
2020-03-18,31.77,32.4,29.8,30.94,4993200,0.0,0.0
2020-03-19,30.64,32.34,29.21,31.09,4474200,0.0,0.0
2020-03-20,30.78,31.29,28.88,29.02,5266050,0.0,0.0
2020-03-23,29.29,29.87,27.25,27.7,5001000,0.0,0.0
2020-03-24,28.99,31.71,28.79,31.63,4988100,0.0,0.0
2020-03-25,31.39,33.8,31.04,32.73,4675950,0.0,0.0
2020-03-26,32.8,33.84,32.01,33.55,4130700,0.0,0.0
2020-03-27,32.33,33.81,32.05,33.01,2693700,0.0,0.0
2020-03-30,32.55,34.69,32.44,34.56,3334350,0.0,0.0
2020-03-31,33.63,34.5,33.31,33.92,3396750,0.0,0.0
2020-04-01,32.87,33.59,32.3,33.36,4752750,0.0,0.0
2020-04-02,33.44,34.45,32.92,33.78,3669900,0.0,0.0
2020-04-03,33.86,34.44,33.56,34.19,3533400,0.0,0.0
2020-04-06,35.77,36.21,34.8,36.04,3939300,0.0,0.0
2020-04-07,36.74,37.55,36.15,36.37,3205950,0.0,0.0
2020-04-08,36.49,37.13,36.06,36.88,3413550,0.0,0.0
2020-04-09,37.19,37.82,36.56,37.33,2984700,0.0,0.0
2020-04-13,37.08,37.12,36.24,36.59,3354750,0.0,0.0
2020-04-14,37.24,37.46,36.52,37.08,3205500,0.0,0.0
2020-04-15,36.46,36.46,35.91,36.28,4103550,0.0,0.0
2020-04-16,36.23,37.49,35.73,36.73,3723900,0.0,0.0
2020-04-17,37.6,38.28,37.08,37.54,5486400,0.0,0.0
2020-04-20,37.16,38.02,36.47,37.29,3576600,0.0,0.0
2020-04-21,38.08,38.29,36.0,36.47,4485600,0.0,0.0
2020-04-22,37.11,37.28,36.15,36.71,2902200,0.0,0.0
2020-04-23,36.67,37.46,36.57,36.58,2765550,0.0,0.0
2020-04-24,36.99,37.57,36.63,37.45,2311950,0.0,0.0
2020-04-27,37.57,38.38,37.44,38.19,3665700,0.0,0.0
2020-04-28,39.0,39.39,38.34,38.38,3667950,0.0,0.0
2020-04-29,39.04,39.09,38.27,38.62,3149850,0.0,0.0
2020-04-30,38.24,38.56,37.82,38.42,2944050,0.0,0.0
2020-05-01,37.79,38.14,37.27,37.9,3137400,0.0,0.0
2020-05-04,37.74,37.99,37.21,37.94,2596800,0.0,0.0
2020-05-05,38.04,38.47,37.76,37.77,2340450,0.0,0.0
2020-05-06,38.13,38.27,37.74,37.9,2485050,0.0,0.0
2020-05-07,38.27,38.45,37.88,38.08,2196900,0.0,0.0
2020-05-08,38.42,38.73,38.17,38.64,2381550,0.0,0.0
2020-05-11,38.58,38.66,38.12,38.38,2077350,0.21,0.0
2020-05-12,37.56,38.38,37.25,37.27,3422400,0.0,0.0
2020-05-13,37.01,37.42,36.61,36.8,5876400,0.0,0.0
2020-05-14,36.16,37.23,35.82,37.14,3321000,0.0,0.0
2020-05-15,36.99,37.69,36.77,37.26,5569500,0.0,0.0
2020-05-18,38.61,39.11,38.27,39.01,3373800,0.0,0.0
2020-05-19,38.87,39.16,38.19,38.22,2629800,0.0,0.0
2020-05-20,38.3,38.91,38.26,38.49,2940450,0.0,0.0
2020-05-21,38.48,38.59,37.93,38.02,1910850,0.0,0.0
2020-05-22,37.85,38.2,37.64,38.15,2117400,0.0,0.0
2020-05-26,38.99,40.56,38.76,40.44,3501600,0.0,0.0
2020-05-27,41.3,41.88,40.79,41.85,2769300,0.0,0.0
2020-05-28,41.9,42.11,40.94,41.26,2927550,0.0,0.0
2020-05-29,41.1,41.44,40.54,41.18,3601950,0.0,0.0
2020-06-01,41.29,41.53,40.68,40.77,1793250,0.0,0.0
2020-06-02,40.57,40.98,40.57,40.94,2642250,0.0,0.0
2020-06-03,41.16,41.79,41.15,41.61,2209950,0.0,0.0
2020-06-04,41.41,42.22,41.22,42.2,1973250,0.0,0.0
2020-06-05,42.96,43.82,42.64,43.46,3774450,0.0,0.0
2020-06-08,43.37,44.24,43.22,43.95,2671200,0.0,0.0
2020-06-09,43.44,44.31,43.2,44.02,2113350,0.0,0.0
2020-06-10,43.78,43.85,42.81,42.82,2950650,0.0,0.0
2020-06-11,42.03,42.03,40.43,40.47,3108750,0.0,0.0
2020-06-12,41.59,41.6,39.78,40.8,2625600,0.0,0.0
2020-06-15,39.79,41.2,39.52,41.1,2019750,0.0,0.0
2020-06-16,42.34,42.65,41.11,41.54,2622300,0.0,0.0
2020-06-17,41.78,41.92,41.24,41.43,1509750,0.0,0.0
2020-06-18,41.61,41.9,41.21,41.52,1262550,0.0,0.0
2020-06-19,42.03,42.2,41.19,41.79,4041300,0.0,0.0
2020-06-22,41.43,41.82,40.97,41.66,1443450,0.0,0.0
2020-06-23,42.09,42.27,41.59,41.69,1816950,0.0,0.0
2020-06-24,41.22,41.22,40.25,40.43,1864050,0.0,0.0
2020-06-25,40.24,40.9,39.93,40.84,1962300,0.0,0.0
2020-06-26,40.59,40.9,40.2,40.39,3288450,0.0,0.0
2020-06-29,40.98,41.53,40.15,41.08,2056800,0.0,0.0
2020-06-30,40.72,41.95,40.58,41.73,3024600,0.0,0.0
2020-07-01,42.13,42.17,41.26,41.4,2039850,0.0,0.0
2020-07-02,42.03,42.99,41.68,42.19,2224500,0.0,0.0
2020-07-06,42.93,43.16,42.57,43.02,2978850,0.0,0.0
2020-07-07,42.64,42.95,42.15,42.25,1974450,0.0,0.0
2020-07-08,42.25,42.62,41.8,42.07,1780050,0.0,0.0
2020-07-09,41.88,42.19,41.35,41.5,2083950,0.0,0.0
2020-07-10,41.46,42.09,41.42,41.95,2109300,0.0,0.0
2020-07-13,42.04,42.74,41.55,42.17,2872650,0.0,0.0
2020-07-14,41.98,43.03,41.73,42.96,3206850,0.0,0.0
2020-07-15,43.52,44.05,43.09,43.89,2725650,0.0,0.0
2020-07-16,43.57,44.36,43.51,44.3,2656200,0.0,0.0
2020-07-17,44.45,44.59,44.04,44.29,5457300,0.0,0.0
2020-07-20,44.05,44.49,43.77,44.43,3435300,0.0,0.0
2020-07-21,44.11,46.79,44.0,46.64,5535300,0.0,0.0
2020-07-22,46.74,48.17,46.65,47.53,4293150,0.0,0.0
2020-07-23,47.58,48.22,47.39,47.98,3952950,0.0,0.0
2020-07-24,48.23,48.64,47.46,47.8,4018050,0.0,0.0
2020-07-27,47.8,48.45,47.54,47.9,2380200,0.0,0.0
2020-07-28,47.93,48.3,47.4,47.64,2995650,0.0,0.0
2020-07-29,47.43,48.06,47.4,47.94,2465700,0.0,0.0
2020-07-30,47.46,47.46,46.85,47.17,1857450,0.0,0.0
2020-07-31,46.96,47.44,46.67,47.44,2380800,0.0,0.0
2020-08-03,47.38,48.05,47.25,47.73,1963650,0.0,0.0
2020-08-04,47.23,47.56,47.11,47.34,2122950,0.0,0.0
2020-08-05,47.73,48.49,47.39,48.45,2201850,0.0,0.0
2020-08-06,48.24,48.72,48.24,48.71,2152350,0.0,0.0
2020-08-07,48.54,49.42,48.4,49.4,2042550,0.0,0.0
2020-08-10,49.57,50.72,48.88,50.28,3394350,0.21,0.0
2020-08-11,50.63,51.09,50.26,50.58,2284200,0.0,0.0
2020-08-12,50.7,50.92,50.29,50.55,2363550,0.0,0.0
2020-08-13,50.37,50.37,49.38,49.52,2325150,0.0,0.0
2020-08-14,49.52,50.06,49.25,49.77,2048400,0.0,0.0
2020-08-17,49.94,50.1,49.45,49.58,2785050,0.0,0.0
2020-08-18,49.78,50.07,49.46,49.56,1479750,0.0,0.0
2020-08-19,49.5,49.83,49.11,49.3,2103150,0.0,0.0
2020-08-20,49.06,49.44,48.62,48.78,1476600,0.0,0.0
2020-08-21,48.71,48.93,48.38,48.69,1950600,0.0,0.0
2020-08-24,48.82,49.19,48.51,48.63,2543400,0.0,0.0
2020-08-25,48.94,49.15,48.22,48.35,1986900,0.0,0.0
2020-08-26,48.16,48.82,47.8,48.61,1654650,0.0,0.0
2020-08-27,48.93,48.99,48.11,48.31,1658550,0.0,0.0
2020-08-28,48.17,48.4,47.85,48.4,1724850,0.0,0.0
2020-08-31,48.11,48.5,47.95,48.03,2153400,0.0,0.0
2020-09-01,48.11,48.76,47.57,48.71,2595600,0.0,0.0
2020-09-02,48.71,49.35,48.71,49.18,2302050,0.0,0.0
2020-09-03,49.72,49.82,47.45,47.82,2415900,0.0,0.0
2020-09-04,48.34,48.55,47.57,47.91,2235600,0.0,0.0
2020-09-08,47.46,47.7,46.65,46.72,2628750,0.0,0.0
2020-09-09,46.94,47.85,46.75,47.54,3193950,0.0,0.0
2020-09-10,47.31,47.92,46.09,46.35,2123700,0.0,0.0
2020-09-11,46.47,47.13,46.39,46.94,4264350,0.0,0.0
2020-09-14,47.36,48.45,47.12,48.32,2327250,0.0,0.0
2020-09-15,48.34,48.67,47.93,47.99,2614500,0.0,0.0
2020-09-16,48.55,48.85,48.04,48.36,1993200,0.0,0.0
2020-09-17,47.59,48.63,47.13,48.04,2432550,0.0,0.0
2020-09-18,48.09,48.26,46.99,47.14,3355650,0.0,0.0
2020-09-21,46.67,46.77,44.97,45.81,2498700,0.0,0.0
2020-09-22,45.59,46.54,45.31,46.07,2013750,0.0,0.0
2020-09-23,46.21,46.75,45.42,45.67,2198550,0.0,0.0
2020-09-24,45.46,46.56,44.99,45.97,1640700,0.0,0.0
2020-09-25,46.19,47.06,45.78,46.74,1789350,0.0,0.0
2020-09-28,47.38,48.49,47.38,48.43,2382450,0.0,0.0
2020-09-29,48.27,48.79,48.0,48.21,1680000,0.0,0.0
2020-09-30,48.42,49.07,47.38,47.72,2976900,0.0,0.0
2020-10-01,48.13,48.25,46.76,47.28,1704000,0.0,0.0
2020-10-02,46.75,48.03,46.36,47.56,1558350,0.0,0.0
2020-10-05,48.08,49.48,47.94,49.29,1793850,0.0,0.0
2020-10-06,49.29,50.28,48.93,49.06,1879800,0.0,0.0
2020-10-07,49.67,50.36,49.45,50.3,1590150,0.0,0.0
2020-10-08,50.14,50.34,49.24,50.33,1169250,0.0,0.0
2020-10-09,50.36,50.9,49.71,49.93,2756400,0.0,0.0
2020-10-12,50.48,50.51,49.87,50.24,2619450,0.0,0.0
2020-10-13,49.77,50.31,49.02,49.54,2500650,0.0,0.0
2020-10-14,49.39,50.36,49.39,49.79,1774200,0.0,0.0
2020-10-15,49.23,49.94,49.16,49.89,1392000,0.0,0.0
2020-10-16,50.14,51.11,49.21,50.33,2877300,0.0,0.0
