,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,0.31,0.31,nan
2024-11-06 19:00:00-05:00,0.33,0.37,12.8
2024-07-24 20:00:00-04:00,0.3,0.31,2.77
2024-04-24 20:00:00-04:00,0.35,0.37,7.17
2024-02-21 19:00:00-05:00,0.45,0.47,3.41
2023-10-25 20:00:00-04:00,0.27,0.24,-10.88
2023-07-26 20:00:00-04:00,0.25,0.23,-8.87
2023-05-03 20:00:00-04:00,0.29,0.29,-0.68
