,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,125.63,126.38,125.42,126.32,4271800,0.0,0.0
2020-02-24,126.32,127.44,123.47,123.54,5027700,0.0,0.0
2020-02-25,123.49,125.04,121.74,122.2,7585800,0.0,0.0
2020-02-26,123.36,124.5,122.25,122.96,6157200,0.0,0.0
2020-02-27,122.47,123.97,118.05,118.11,8605000,0.0,0.0
2020-02-28,115.39,115.84,111.16,114.35,14164000,0.0,0.0
2020-03-02,114.32,119.32,114.08,119.15,8504500,0.0,0.0
2020-03-03,118.82,120.96,116.69,117.42,8728300,0.0,0.0
2020-03-04,117.95,123.6,117.79,123.32,7635700,0.0,0.0
2020-03-05,121.03,123.31,119.16,120.41,6579100,0.95,0.0
2020-03-06,114.71,120.47,114.61,119.68,6754900,0.0,0.0
2020-03-09,113.51,116.27,111.76,113.49,8716300,0.0,0.0
2020-03-10,115.14,117.33,110.61,116.96,8258600,0.0,0.0
2020-03-11,113.85,115.56,111.28,113.13,7465100,0.0,0.0
2020-03-12,106.46,108.99,99.04,100.57,12808300,0.0,0.0
2020-03-13,105.22,111.25,100.33,111.13,12007700,0.0,0.0
2020-03-16,100.0,107.96,97.65,98.6,10733300,0.0,0.0
2020-03-17,101.75,111.48,101.48,111.36,14242300,0.0,0.0
2020-03-18,105.36,111.36,99.2,105.43,15250800,0.0,0.0
2020-03-19,105.88,106.45,101.19,102.31,9393500,0.0,0.0
2020-03-20,103.09,103.28,88.43,90.62,13093200,0.0,0.0
2020-03-23,92.42,98.41,89.69,91.71,13926800,0.0,0.0
2020-03-24,95.85,99.77,95.36,99.26,11447000,0.0,0.0
2020-03-25,98.3,101.46,96.82,98.09,9485500,0.0,0.0
2020-03-26,98.27,106.2,98.16,104.86,10376800,0.0,0.0
2020-03-27,103.38,108.68,102.88,105.03,9852500,0.0,0.0
2020-03-30,106.03,109.72,105.95,109.41,6916800,0.0,0.0
2020-03-31,108.94,109.6,104.22,104.72,7091700,0.0,0.0
2020-04-01,102.25,106.63,100.85,102.99,6873000,0.0,0.0
2020-04-02,102.21,109.15,101.56,107.99,6181800,0.0,0.0
2020-04-03,107.41,109.31,106.76,108.63,5552000,0.0,0.0
2020-04-06,112.18,115.21,109.24,114.36,8242200,0.0,0.0
2020-04-07,115.71,117.78,113.6,113.77,6253900,0.0,0.0
2020-04-08,113.03,116.22,112.59,115.62,5241100,0.0,0.0
2020-04-09,115.17,117.78,114.67,116.51,5502400,0.0,0.0
2020-04-13,114.82,116.27,112.85,114.12,3785000,0.0,0.0
2020-04-14,116.16,120.87,115.4,120.67,6278700,0.0,0.0
2020-04-15,119.57,119.94,116.57,117.73,5773100,0.0,0.0
2020-04-16,119.43,119.43,116.71,118.27,4564000,0.0,0.0
2020-04-17,120.09,120.32,117.63,119.93,4866500,0.0,0.0
2020-04-20,119.4,119.78,117.28,117.32,3995400,0.0,0.0
2020-04-21,115.21,115.91,113.86,114.17,4359500,0.0,0.0
2020-04-22,115.48,116.55,114.41,115.63,4084600,0.0,0.0
2020-04-23,115.53,116.96,113.37,113.58,5527700,0.0,0.0
2020-04-24,114.11,117.55,113.92,117.15,4063100,0.0,0.0
2020-04-27,117.2,117.89,116.74,117.24,4009200,0.0,0.0
2020-04-28,119.26,120.05,117.41,118.86,6674200,0.0,0.0
2020-04-29,119.25,119.43,115.88,116.28,6706800,0.0,0.0
2020-04-30,115.45,116.11,113.71,115.35,6783000,0.0,0.0
2020-05-01,114.33,115.29,112.93,113.47,4488000,0.0,0.0
2020-05-04,113.5,114.53,112.76,114.15,5245300,0.0,0.0
2020-05-05,114.78,116.25,114.02,114.8,3580000,0.0,0.0
2020-05-06,114.73,115.29,113.95,114.03,4192200,0.0,0.0
2020-05-07,114.7,115.09,113.45,114.7,5528000,0.0,0.0
2020-05-08,116.03,117.85,115.49,117.04,4209100,0.0,0.0
2020-05-11,116.34,118.75,116.11,117.17,3591100,0.0,0.0
2020-05-12,117.5,118.91,115.84,115.91,3914600,0.0,0.0
2020-05-13,116.12,117.25,114.61,115.93,5168500,0.0,0.0
2020-05-14,115.71,116.45,113.48,116.03,5522200,0.0,0.0
2020-05-15,116.64,120.03,115.78,118.54,20338200,0.0,0.0
2020-05-18,119.32,120.32,117.76,118.16,8480300,0.0,0.0
2020-05-19,117.21,117.5,114.57,114.86,6640300,0.0,0.0
2020-05-20,115.56,115.69,113.65,114.45,8213100,0.0,0.0
2020-05-21,114.2,114.6,113.01,113.53,4886300,0.0,0.0
2020-05-22,113.01,113.9,112.63,113.77,3429200,0.0,0.0
2020-05-26,115.04,115.14,112.83,113.13,5579300,0.0,0.0
2020-05-27,113.1,114.08,112.11,114.06,5686500,0.0,0.0
2020-05-28,114.4,115.73,113.44,115.35,4974400,0.0,0.0
2020-05-29,115.1,115.3,113.63,114.7,13337900,0.0,0.0
2020-06-01,114.74,116.79,114.39,115.96,4049200,0.0,0.0
2020-06-02,116.01,116.67,114.33,115.64,5327500,0.0,0.0
2020-06-03,116.17,117.08,115.62,115.81,5421200,0.0,0.0
2020-06-04,115.63,117.36,114.39,114.73,5229700,1.02,0.0
2020-06-05,115.11,117.32,114.91,116.37,7075700,0.0,0.0
2020-06-08,115.44,116.4,115.32,116.17,5613000,0.0,0.0
2020-06-09,115.84,117.0,115.15,116.84,6446900,0.0,0.0
2020-06-10,117.11,118.76,117.01,117.86,7069900,0.0,0.0
2020-06-11,117.94,118.75,112.0,112.33,8541000,0.0,0.0
2020-06-12,113.48,114.17,111.97,113.35,7039500,0.0,0.0
2020-06-15,112.73,115.07,111.18,114.65,5481000,0.0,0.0
2020-06-16,116.58,116.92,114.33,115.7,5197700,0.0,0.0
2020-06-17,115.89,116.9,115.54,115.78,3309700,0.0,0.0
2020-06-18,115.48,116.98,114.78,116.67,3417200,0.0,0.0
2020-06-19,118.1,118.46,115.3,115.35,8310100,0.0,0.0
2020-06-22,114.71,115.78,114.18,115.15,3379900,0.0,0.0
2020-06-23,115.65,116.58,115.09,115.42,3625600,0.0,0.0
2020-06-24,114.69,115.17,113.07,113.84,4853500,0.0,0.0
2020-06-25,113.47,115.75,112.52,115.47,4442000,0.0,0.0
2020-06-26,115.7,116.31,112.52,113.29,7372700,0.0,0.0
2020-06-29,114.39,115.46,113.73,115.18,4173900,0.0,0.0
2020-06-30,115.84,116.71,114.98,116.21,4626700,0.0,0.0
2020-07-01,116.45,117.41,115.93,116.3,3633000,0.0,0.0
2020-07-02,117.34,117.89,116.46,116.73,2769200,0.0,0.0
2020-07-06,116.94,117.7,116.26,117.13,4221600,0.0,0.0
2020-07-07,116.22,118.29,116.14,117.37,4424500,0.0,0.0
2020-07-08,117.88,118.35,117.01,117.94,3798200,0.0,0.0
2020-07-09,116.78,117.69,115.75,116.61,4005200,0.0,0.0
2020-07-10,116.31,118.53,115.35,118.15,5932800,0.0,0.0
2020-07-13,120.18,121.32,118.16,118.54,8960000,0.0,0.0
2020-07-14,118.26,120.34,117.96,119.08,6766800,0.0,0.0
2020-07-15,118.93,119.67,117.08,117.47,5561300,0.0,0.0
2020-07-16,117.8,118.06,116.91,117.64,3788100,0.0,0.0
2020-07-17,118.31,118.67,117.35,118.32,3229300,0.0,0.0
2020-07-20,118.28,118.28,116.14,116.96,3620300,0.0,0.0
2020-07-21,117.74,119.86,117.56,118.12,5435400,0.0,0.0
2020-07-22,119.11,119.72,117.46,119.51,3522300,0.0,0.0
2020-07-23,120.02,120.6,119.05,120.45,5011400,0.0,0.0
2020-07-24,120.37,121.82,118.96,119.55,3300000,0.0,0.0
2020-07-27,119.09,121.05,118.49,120.97,3607700,0.0,0.0
2020-07-28,121.24,121.78,120.46,120.71,3787500,0.0,0.0
2020-07-29,120.71,122.14,120.41,121.2,3179000,0.0,0.0
2020-07-30,120.59,121.45,119.92,120.99,2817600,0.0,0.0
2020-07-31,120.61,120.99,118.8,120.96,4304100,0.0,0.0
2020-08-03,120.48,120.82,119.5,120.12,2819200,0.0,0.0
2020-08-04,120.84,120.9,119.52,120.79,2553500,0.0,0.0
2020-08-05,121.39,121.39,119.3,119.72,2924000,0.0,0.0
2020-08-06,118.86,119.76,118.86,119.38,2692900,0.0,0.0
2020-08-07,119.45,120.17,118.95,120.15,3692100,0.0,0.0
2020-08-10,119.78,120.27,118.96,119.48,3052000,0.0,0.0
2020-08-11,120.35,120.78,118.29,118.73,3301200,0.0,0.0
2020-08-12,118.92,121.86,118.84,121.08,4424600,0.0,0.0
2020-08-13,120.47,121.79,120.47,121.35,2393500,0.0,0.0
2020-08-14,121.36,121.41,120.56,120.87,2461700,0.0,0.0
2020-08-17,120.82,122.04,120.42,121.19,2862500,0.0,0.0
