,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,0.47,0.63,33.76
2024-10-28 20:00:00-04:00,0.62,1.06,71.39
2024-07-29 20:00:00-04:00,0.46,0.6,31.58
2024-04-30 20:00:00-04:00,0.52,0.82,56.58
2024-01-29 19:00:00-05:00,-0.22,0.1,145.84
2023-10-30 20:00:00-04:00,-0.34,-0.17,49.39
2023-07-31 20:00:00-04:00,0.57,0.67,18.02
2023-05-01 20:00:00-04:00,0.98,1.23,25.81
