,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,27.21,27.26,27.04,27.18,32425256,0.0,0.0
2020-02-24,26.67,26.94,26.33,26.38,37969296,0.0,0.0
2020-02-25,26.39,26.44,25.65,25.82,41878898,0.0,0.0
2020-02-26,26.06,26.8,25.89,26.42,47920005,0.0,0.0
2020-02-27,26.21,27.18,25.95,25.95,55444827,0.0,0.0
2020-02-28,25.49,25.83,24.76,25.43,66057447,0.0,0.0
2020-03-02,25.81,26.6,25.46,26.54,42034469,0.0,0.0
2020-03-03,26.77,27.23,25.77,26.1,46174475,0.0,0.0
2020-03-04,26.71,27.75,26.6,27.7,38712155,0.0,0.0
2020-03-05,27.13,27.53,26.76,26.99,35096303,0.0,0.0
2020-03-06,26.41,26.77,25.97,26.65,40931036,0.0,0.0
2020-03-09,25.46,26.4,25.24,25.69,43183856,0.0,0.0
2020-03-10,26.31,26.38,25.12,26.32,40548329,0.0,0.0
2020-03-11,25.69,25.78,24.09,24.48,65350213,0.0,0.0
2020-03-12,23.2,24.35,22.83,22.85,62731445,0.0,0.0
2020-03-13,23.8,25.02,23.0,24.89,60553038,0.0,0.0
2020-03-16,22.78,24.57,22.56,22.97,50995050,0.0,0.0
2020-03-17,24.08,24.85,23.28,24.47,54220606,0.0,0.0
2020-03-18,23.42,24.82,23.07,24.63,43884976,0.0,0.0
2020-03-19,24.52,24.54,22.84,23.15,59820929,0.0,0.0
2020-03-20,23.04,23.34,22.0,22.08,52488989,0.0,0.0
2020-03-23,21.89,22.51,21.22,21.68,52853041,0.0,0.0
2020-03-24,22.46,22.87,21.99,22.6,44466784,0.0,0.0
2020-03-25,22.45,23.38,22.07,22.64,44601275,0.0,0.0
2020-03-26,22.75,24.34,22.74,24.16,43269967,0.0,0.0
2020-03-27,23.44,24.15,23.33,23.51,38290344,0.0,0.0
2020-03-30,23.63,25.0,23.63,24.86,29943508,0.0,0.0
2020-03-31,24.66,25.11,24.53,24.84,29466151,0.0,0.0
2020-04-01,24.29,24.57,23.99,24.16,26709625,0.0,0.0
2020-04-02,24.28,25.11,24.16,25.01,27186876,0.0,0.0
2020-04-03,24.83,25.79,24.83,25.6,32837370,0.0,0.0
2020-04-06,25.81,26.56,25.71,26.31,40503217,0.0,0.0
2020-04-07,26.64,26.77,25.56,25.58,24226295,0.0,0.0
2020-04-08,25.87,26.48,25.45,26.33,25523980,0.0,0.0
2020-04-09,26.66,27.22,26.52,26.93,30648107,0.0,0.0
2020-04-13,27.37,27.38,26.42,26.74,18270141,0.0,0.0
2020-04-14,27.34,27.88,26.89,27.73,21845309,0.0,0.0
2020-04-15,27.44,27.57,27.08,27.37,21312196,0.0,0.0
2020-04-16,27.49,27.59,27.08,27.31,20657451,0.0,0.0
2020-04-17,27.78,28.16,27.48,28.09,24404843,0.0,0.0
2020-04-20,27.69,28.09,27.46,27.46,22530620,0.0,0.0
2020-04-21,27.23,27.34,26.92,27.11,23975233,0.0,0.0
2020-04-22,28.13,28.16,27.49,27.59,20182624,0.0,0.0
2020-04-23,27.61,28.46,27.61,27.92,20185365,0.0,0.0
2020-04-24,28.04,28.49,27.99,28.45,17353794,0.0,0.0
2020-04-27,28.61,29.33,28.59,29.17,23394057,0.0,0.0
2020-04-28,29.72,29.85,28.45,28.85,35666728,0.0,0.0
2020-04-29,29.27,29.34,28.7,29.01,26518535,0.0,0.0
2020-04-30,28.92,29.31,28.43,29.19,29450973,0.0,0.0
2020-05-01,28.8,28.87,28.45,28.65,22679867,0.0,0.0
2020-05-04,28.61,28.86,28.47,28.63,19893512,0.0,0.0
2020-05-05,29.54,29.57,29.12,29.31,24123952,0.0,0.0
2020-05-06,29.66,29.69,29.31,29.31,24047432,0.0,0.0
2020-05-07,29.52,29.58,28.35,28.41,33546080,0.36,0.0
2020-05-08,28.63,28.73,28.47,28.61,19893618,0.0,0.0
2020-05-11,28.63,29.37,28.56,29.28,25620421,0.0,0.0
2020-05-12,29.3,29.39,28.7,28.72,19335314,0.0,0.0
2020-05-13,28.68,28.76,28.12,28.48,24596882,0.0,0.0
2020-05-14,28.28,29.18,28.27,29.15,22362507,0.0,0.0
2020-05-15,29.18,29.34,28.74,29.02,25460002,0.0,0.0
2020-05-18,29.47,29.56,28.92,29.26,22635177,0.0,0.0
2020-05-19,29.09,29.22,28.68,28.96,19476234,0.0,0.0
2020-05-20,29.17,29.36,28.86,28.92,17504200,0.0,0.0
2020-05-21,28.88,28.94,28.48,28.64,17652181,0.0,0.0
2020-05-22,28.52,28.85,28.41,28.82,15781226,0.0,0.0
2020-05-26,28.94,29.11,28.78,28.82,23260094,0.0,0.0
2020-05-27,28.75,28.85,28.42,28.75,25904158,0.0,0.0
2020-05-28,29.08,29.55,28.99,29.35,22521767,0.0,0.0
2020-05-29,29.41,29.54,28.88,29.35,48333067,0.0,0.0
2020-06-01,27.29,27.46,26.83,27.25,76884979,0.0,0.0
2020-06-02,27.31,27.79,27.09,27.79,42690900,0.0,0.0
2020-06-03,27.89,27.99,27.32,27.79,38751996,0.0,0.0
2020-06-04,27.45,27.89,27.44,27.68,27013388,0.0,0.0
2020-06-05,27.85,28.05,27.58,27.66,36705655,0.0,0.0
2020-06-08,27.52,28.13,27.42,28.12,30194149,0.0,0.0
2020-06-09,28.05,28.18,27.8,27.83,21675088,0.0,0.0
2020-06-10,27.95,28.02,27.59,27.61,29557217,0.0,0.0
2020-06-11,27.36,27.42,25.58,25.59,63166642,0.0,0.0
2020-06-12,26.19,26.21,25.4,25.94,37902472,0.0,0.0
2020-06-15,25.59,25.92,25.18,25.64,36247482,0.0,0.0
2020-06-16,25.82,26.1,25.15,25.67,55616945,0.0,0.0
2020-06-17,25.82,25.96,25.61,25.79,27509822,0.0,0.0
2020-06-18,25.57,25.72,25.35,25.55,32278855,0.0,0.0
2020-06-19,25.89,25.93,25.46,25.69,43986266,0.0,0.0
2020-06-22,25.62,25.64,25.29,25.45,23332503,0.0,0.0
2020-06-23,25.52,25.56,25.16,25.19,37690408,0.0,0.0
2020-06-24,25.14,25.16,24.59,24.74,30817695,0.0,0.0
2020-06-25,24.68,24.89,24.46,24.84,27418651,0.0,0.0
2020-06-26,24.79,24.81,24.3,24.63,42153992,0.0,0.0
2020-06-29,24.95,25.11,24.75,25.09,23956261,0.0,0.0
2020-06-30,25.0,25.27,24.77,25.13,25451676,0.0,0.0
2020-07-01,26.55,26.55,25.92,25.93,73503009,0.0,0.0
2020-07-02,26.61,26.79,26.16,26.52,45270881,0.0,0.0
2020-07-06,26.86,26.89,26.42,26.52,27150935,0.0,0.0
2020-07-07,26.17,26.4,26.1,26.16,25148018,0.0,0.0
2020-07-08,26.14,26.42,25.8,25.94,24256545,0.0,0.0
2020-07-09,25.92,26.04,25.44,25.72,20363702,0.0,0.0
2020-07-10,25.87,26.16,25.74,26.0,24459019,0.0,0.0
2020-07-13,26.69,27.45,26.53,27.06,56569129,0.0,0.0
2020-07-14,27.19,27.22,26.81,27.08,32854129,0.0,0.0
2020-07-15,27.66,27.67,27.26,27.45,26294454,0.0,0.0
2020-07-16,27.36,27.39,27.1,27.36,18421812,0.0,0.0
2020-07-17,27.56,27.92,27.46,27.86,23347365,0.0,0.0
2020-07-20,28.82,28.92,27.92,28.05,36815693,0.0,0.0
2020-07-21,28.39,28.5,28.07,28.2,23588520,0.0,0.0
2020-07-22,29.38,29.77,28.84,29.64,90705554,0.0,0.0
2020-07-23,30.15,30.3,29.35,29.52,59639536,0.0,0.0
2020-07-24,29.23,29.32,28.69,28.95,33870501,0.0,0.0
2020-07-27,28.72,29.02,28.62,28.85,27640307,0.0,0.0
2020-07-28,29.62,30.24,29.25,29.99,56393954,0.0,0.0
2020-07-29,30.21,30.32,29.55,30.18,37033660,0.0,0.0
2020-07-30,29.71,30.22,29.65,30.07,32273796,0.36,0.0
2020-07-31,29.71,30.08,29.38,29.87,28472124,0.0,0.0
2020-08-03,29.97,30.01,29.66,29.76,31036400,0.0,0.0
2020-08-04,29.73,30.02,29.56,29.8,29448549,0.0,0.0
2020-08-05,29.86,29.9,29.59,29.84,24292697,0.0,0.0
2020-08-06,30.09,30.35,29.61,29.7,20922111,0.0,0.0
2020-08-07,29.73,29.97,29.62,29.84,23097251,0.0,0.0
2020-08-10,29.92,30.01,29.69,29.8,19964552,0.0,0.0
2020-08-11,29.93,29.94,29.24,29.33,21326847,0.0,0.0
2020-08-12,29.36,29.92,29.35,29.75,19957595,0.0,0.0
2020-08-13,29.55,29.63,29.4,29.62,15340021,0.0,0.0
2020-08-14,29.5,29.8,29.44,29.54,12901276,0.0,0.0
2020-08-17,29.52,29.81,29.45,29.76,17494187,0.0,0.0
2020-08-18,29.84,29.85,29.62,29.77,10846398,0.0,0.0
2020-08-19,29.87,29.97,29.59,29.69,15690055,0.0,0.0
2020-08-20,29.63,30.11,29.59,30.05,21957455,0.0,0.0
2020-08-21,30.2,30.27,29.94,30.18,25467170,0.0,0.0
2020-08-24,30.28,30.3,29.91,30.14,25011947,0.0,0.0
2020-08-25,29.89,29.93,29.45,29.81,26221201,0.0,0.0
2020-08-26,29.64,29.7,29.23,29.53,24083689,0.0,0.0
2020-08-27,29.46,29.49,29.24,29.38,22156556,0.0,0.0
2020-08-28,29.39,29.54,29.03,29.42,32830519,0.0,0.0
2020-08-31,29.37,29.51,29.1,29.33,30032465,0.0,0.0
2020-09-01,29.33,29.35,28.34,28.62,36145560,0.0,0.0
2020-09-02,28.54,28.95,28.25,28.87,29068688,0.0,0.0
2020-09-03,29.0,29.1,28.02,28.25,35956788,0.0,0.0
2020-09-04,28.32,28.43,27.84,28.22,26872257,0.0,0.0
2020-09-08,28.35,28.41,27.69,27.89,26736818,0.0,0.0
2020-09-09,28.17,28.44,28.05,28.08,27490533,0.0,0.0
2020-09-10,28.1,28.19,27.61,27.67,21650741,0.0,0.0
2020-09-11,27.74,28.03,27.51,27.99,24109301,0.0,0.0
2020-09-14,28.22,29.14,28.16,28.72,29565543,0.0,0.0
2020-09-15,28.86,28.99,28.57,28.69,22003726,0.0,0.0
2020-09-16,28.93,28.96,28.5,28.55,22208412,0.0,0.0
2020-09-17,28.55,28.69,28.37,28.58,17894390,0.0,0.0
2020-09-18,28.55,28.77,28.38,28.43,31694623,0.0,0.0
2020-09-21,28.23,28.31,27.46,27.96,26608968,0.0,0.0
2020-09-22,27.79,28.2,27.74,28.13,22727297,0.0,0.0
2020-09-23,28.2,28.24,27.92,27.94,23102521,0.0,0.0
2020-09-24,27.9,27.97,27.58,27.75,20859925,0.0,0.0
2020-09-25,27.58,28.06,27.57,27.98,14365598,0.0,0.0
2020-09-28,28.06,28.39,28.06,28.24,15044269,0.0,0.0
2020-09-29,28.27,28.36,27.96,28.07,13512491,0.0,0.0
2020-09-30,28.15,28.69,28.13,28.48,22629275,0.0,0.0
2020-10-01,28.65,28.79,28.06,28.23,22520396,0.0,0.0
2020-10-02,27.99,28.45,27.96,28.24,21461759,0.0,0.0
2020-10-05,28.35,28.62,28.2,28.52,19400029,0.0,0.0
2020-10-06,28.72,28.74,28.01,28.07,25233392,0.0,0.0
2020-10-07,28.14,28.4,27.96,28.31,22160034,0.0,0.0
2020-10-08,28.41,28.86,28.34,28.63,17857395,0.0,0.0
2020-10-09,28.58,28.81,28.4,28.55,23667465,0.0,0.0
2020-10-12,28.48,28.86,28.31,28.58,19413837,0.0,0.0
2020-10-13,28.46,28.82,28.43,28.64,21543233,0.0,0.0
2020-10-14,28.72,28.95,28.38,28.61,22120298,0.0,0.0
2020-10-15,28.43,28.51,28.26,28.37,16089205,0.0,0.0
2020-10-16,28.77,29.59,28.73,29.45,42993503,0.0,0.0
