,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,1.94,1.94,0.26
2024-10-23 20:00:00-04:00,2.02,1.76,-12.74
2024-07-24 20:00:00-04:00,1.84,1.63,-11.52
2024-04-24 20:00:00-04:00,1.73,1.65,-4.66
2024-02-11 19:00:00-05:00,1.68,1.83,8.62
2023-10-25 20:00:00-04:00,1.62,1.72,6.25
2023-07-26 20:00:00-04:00,1.65,1.53,-7.4
2023-04-26 20:00:00-04:00,1.51,1.48,-2.14
