,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,72.45,73.44,72.05,73.19,3660400,0.0,0.0
2020-02-25,73.15,73.24,71.93,72.31,4476300,0.0,0.0
2020-02-26,72.68,73.69,71.82,71.99,3293700,0.0,0.0
2020-02-27,71.53,72.23,68.9,68.95,3187800,0.0,0.0
2020-02-28,67.68,68.63,64.76,66.13,7029900,0.0,0.0
2020-03-02,66.52,71.32,66.52,71.3,4671600,0.0,0.0
2020-03-03,71.13,72.28,68.88,69.82,3930600,0.0,0.0
2020-03-04,70.53,73.39,70.32,73.26,3717100,0.0,0.0
2020-03-05,71.21,73.19,70.97,72.8,4157800,0.0,0.0
2020-03-06,70.44,73.2,70.16,72.78,4836100,0.0,0.0
2020-03-09,68.17,70.03,66.34,68.05,6472600,0.0,0.0
2020-03-10,69.83,70.5,67.43,70.47,4653600,0.0,0.0
2020-03-11,68.28,68.39,66.2,67.89,5388100,0.0,0.0
2020-03-12,63.06,66.3,61.58,62.93,7255100,0.0,0.0
2020-03-13,66.37,70.63,64.18,70.57,5919000,0.0,0.0
2020-03-16,61.03,67.84,60.19,65.98,5809900,0.0,0.0
2020-03-17,67.89,71.08,65.92,69.86,6868800,0.0,0.0
2020-03-18,66.24,67.51,62.19,65.21,4979200,0.0,0.0
2020-03-19,64.49,64.85,59.85,60.6,6030000,0.0,0.0
2020-03-20,60.74,64.96,58.92,61.72,6943400,0.0,0.0
2020-03-23,60.56,62.12,56.2,60.15,5880300,0.0,0.0
2020-03-24,63.42,64.98,60.67,62.4,5913100,0.0,0.0
2020-03-25,62.36,65.78,61.56,63.23,4536400,0.0,0.0
2020-03-26,64.05,69.24,63.37,68.53,4861700,0.0,0.0
2020-03-27,65.77,67.56,64.72,66.47,4481900,0.0,0.0
2020-03-30,67.04,69.44,66.09,68.86,4367600,0.0,0.0
2020-03-31,68.14,68.51,66.31,66.74,3865800,0.0,0.0
2020-04-01,64.5,66.07,63.92,65.4,4397300,0.0,0.0
2020-04-02,64.96,70.09,64.84,69.2,3836400,0.0,0.0
2020-04-03,68.9,69.37,67.72,68.64,2745600,0.0,0.0
2020-04-06,70.37,70.98,67.05,68.78,4435300,0.1,0.0
2020-04-07,70.49,71.14,68.25,68.42,4581000,0.0,0.0
2020-04-08,68.88,71.09,67.55,70.42,4076300,0.0,0.0
2020-04-09,71.42,73.09,70.7,72.76,4811800,0.0,0.0
2020-04-13,72.41,72.41,69.57,69.78,2625300,0.0,0.0
2020-04-14,71.56,73.72,71.25,72.83,2912300,0.0,0.0
2020-04-15,67.26,72.48,65.78,71.73,3223800,0.0,0.0
2020-04-16,71.61,72.26,70.49,71.58,2877400,0.0,0.0
2020-04-17,73.34,75.04,71.74,74.67,3507700,0.0,0.0
2020-04-20,73.93,74.4,73.19,74.16,2881700,0.0,0.0
2020-04-21,72.44,74.69,72.2,73.54,4441800,0.0,0.0
2020-04-22,74.7,74.98,73.8,74.66,2323900,0.0,0.0
2020-04-23,74.88,74.88,73.48,73.86,2667700,0.0,0.0
2020-04-24,74.38,75.09,73.2,75.0,2439600,0.0,0.0
2020-04-27,75.12,75.39,74.43,75.08,5399600,0.0,0.0
2020-04-28,75.65,75.87,73.28,73.44,3264000,0.0,0.0
2020-04-29,74.0,74.0,71.79,72.22,4780300,0.0,0.0
2020-04-30,71.32,71.84,69.56,69.96,3852600,0.0,0.0
2020-05-01,69.15,69.83,68.34,68.95,2869100,0.0,0.0
2020-05-04,68.67,68.85,67.71,68.65,2928800,0.0,0.0
2020-05-05,68.81,71.13,68.81,70.63,2475800,0.0,0.0
2020-05-06,71.15,71.32,68.71,68.96,2548700,0.0,0.0
2020-05-07,69.69,70.14,67.15,67.82,3724900,0.0,0.0
2020-05-08,68.56,68.72,66.91,67.22,4333800,0.0,0.0
2020-05-11,66.66,67.01,66.09,66.22,2808300,0.0,0.0
2020-05-12,66.4,66.54,64.8,65.34,3300800,0.0,0.0
2020-05-13,65.0,66.53,64.49,65.85,3968700,0.0,0.0
2020-05-14,65.41,66.84,65.09,66.74,4001800,0.0,0.0
2020-05-15,66.62,69.18,65.81,68.98,5593000,0.0,0.0
2020-05-18,69.98,70.44,68.45,69.35,3360500,0.0,0.0
2020-05-19,68.88,70.47,68.63,68.67,2610500,0.0,0.0
2020-05-20,69.17,69.46,67.56,67.78,2902900,0.0,0.0
2020-05-21,67.45,68.3,65.81,67.9,3899800,0.0,0.0
2020-05-22,68.02,68.55,67.22,67.63,2166000,0.0,0.0
2020-05-26,68.69,69.11,66.67,67.09,5212700,0.0,0.0
2020-05-27,68.17,69.98,67.04,69.21,4687900,0.0,0.0
2020-05-28,69.98,70.11,68.7,69.32,2613800,0.0,0.0
2020-05-29,69.48,70.49,69.19,70.31,4412400,0.0,0.0
2020-06-01,70.37,71.39,69.89,70.9,1749100,0.0,0.0
2020-06-02,71.11,71.75,70.86,71.57,2205200,0.0,0.0
2020-06-03,72.25,72.25,70.87,71.6,2288400,0.0,0.0
2020-06-04,71.13,71.47,70.21,71.32,2766400,0.0,0.0
2020-06-05,72.7,74.85,71.3,74.1,3838000,0.0,0.0
2020-06-08,73.79,73.94,72.85,73.77,3052300,0.0,0.0
2020-06-09,73.31,73.82,72.59,73.33,2468600,0.0,0.0
2020-06-10,73.14,74.06,72.35,72.66,2413800,0.0,0.0
2020-06-11,71.29,71.66,68.62,68.71,3302500,0.0,0.0
2020-06-12,70.06,70.84,67.88,69.33,2344300,0.0,0.0
2020-06-15,68.22,71.96,68.11,71.76,3258700,0.0,0.0
2020-06-16,73.48,73.85,71.42,72.79,3455000,0.0,0.0
2020-06-17,73.15,73.55,71.64,71.69,2714000,0.0,0.0
2020-06-18,71.42,73.9,71.13,73.19,2863500,0.0,0.0
2020-06-19,75.27,75.27,72.31,73.3,4534600,0.0,0.0
2020-06-22,72.89,73.96,72.66,73.15,1870000,0.0,0.0
2020-06-23,73.78,74.15,72.39,72.46,1786300,0.0,0.0
2020-06-24,71.85,72.12,69.85,69.95,3611600,0.0,0.0
2020-06-25,70.06,72.38,69.93,72.32,2242600,0.0,0.0
2020-06-26,71.66,72.67,70.01,70.5,3733400,0.0,0.0
2020-06-29,70.7,71.74,70.49,70.96,2806200,0.0,0.0
2020-06-30,71.05,72.86,70.97,72.51,2598000,0.0,0.0
2020-07-01,72.37,73.13,72.08,72.22,2970000,0.0,0.0
2020-07-02,72.85,72.85,71.32,71.71,2493800,0.0,0.0
2020-07-06,72.67,72.94,71.76,71.97,2312900,0.1,0.0
2020-07-07,71.68,71.82,70.43,70.7,2559700,0.0,0.0
2020-07-08,70.74,71.14,69.16,70.11,3326500,0.0,0.0
2020-07-09,70.12,70.66,69.02,70.49,2764700,0.0,0.0
2020-07-10,70.93,73.37,70.91,73.19,2313800,0.0,0.0
2020-07-13,73.33,73.69,72.21,72.8,2266400,0.0,0.0
2020-07-14,73.07,76.58,72.9,76.58,6820700,0.0,0.0
2020-07-15,77.03,78.38,76.44,77.84,3965200,0.0,0.0
2020-07-16,77.8,79.38,77.68,78.94,2652400,0.0,0.0
2020-07-17,79.17,79.53,78.29,79.41,2659000,0.0,0.0
2020-07-20,79.48,80.12,79.23,79.87,1825400,0.0,0.0
2020-07-21,79.79,81.01,79.79,80.52,1712600,0.0,0.0
2020-07-22,80.79,81.76,80.22,81.69,1789100,0.0,0.0
2020-07-23,81.53,82.21,80.06,80.33,1999900,0.0,0.0
2020-07-24,80.53,80.81,79.3,79.62,2204400,0.0,0.0
2020-07-27,79.6,80.02,78.66,79.11,2060100,0.0,0.0
2020-07-28,79.32,79.59,78.53,79.22,2470200,0.0,0.0
2020-07-29,78.85,80.89,78.85,80.58,1880500,0.0,0.0
2020-07-30,79.65,80.95,79.46,80.22,2119900,0.0,0.0
2020-07-31,79.65,81.93,79.65,81.87,4016500,0.0,0.0
2020-08-03,82.19,82.67,81.24,81.46,2134400,0.0,0.0
2020-08-04,81.18,81.99,81.04,81.79,2496900,0.0,0.0
2020-08-05,82.49,83.2,82.07,82.12,2073500,0.0,0.0
2020-08-06,82.19,82.81,80.57,81.21,2514600,0.0,0.0
2020-08-07,80.93,82.26,80.93,82.22,1735400,0.0,0.0
2020-08-10,82.46,82.59,81.3,81.67,2410700,0.0,0.0
2020-08-11,82.4,82.57,80.54,80.67,2468200,0.0,0.0
2020-08-12,81.59,81.99,80.4,80.66,2058900,0.0,0.0
2020-08-13,80.09,80.7,79.68,80.69,1994800,0.0,0.0
2020-08-14,80.65,81.16,80.29,80.63,1731200,0.0,0.0
