,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 19:00:00-05:00,nan,nan,nan
2025-10-19 20:00:00-04:00,nan,nan,nan
2025-07-20 20:00:00-04:00,nan,nan,nan
2025-04-20 20:00:00-04:00,nan,nan,nan
2025-01-29 19:00:00-05:00,3.27,4.43,35.52
2024-10-21 20:00:00-04:00,3.11,3.35,7.76
2024-07-22 20:00:00-04:00,3.27,3.77,15.38
2024-04-22 20:00:00-04:00,2.36,2.96,25.25
2024-01-29 19:00:00-05:00,3.22,3.28,1.81
2023-10-23 20:00:00-04:00,2.84,2.91,2.43
2023-07-24 20:00:00-04:00,2.51,3.0,19.52
2023-04-24 20:00:00-04:00,1.81,2.35,29.55
