,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,85.81,86.04,84.16,84.6,1241300,0.0,0.0
2020-02-25,84.91,84.91,80.55,80.61,969100,0.0,0.0
2020-02-26,81.53,83.27,80.53,80.55,770300,0.0,0.0
2020-02-27,79.31,82.74,78.6,78.6,1377200,0.0,0.0
2020-02-28,76.53,78.09,75.56,77.48,1237600,0.0,0.0
2020-03-02,78.04,81.07,76.24,81.06,965100,0.0,0.0
2020-03-03,80.29,81.2,76.65,77.72,1339100,0.0,0.0
2020-03-04,78.72,80.63,77.93,80.31,1330900,0.0,0.0
2020-03-05,77.56,78.69,77.14,77.82,852400,0.0,0.0
2020-03-06,75.26,77.92,75.17,77.62,978400,0.0,0.0
2020-03-09,73.49,74.34,71.11,72.71,1256000,0.0,0.0
2020-03-10,75.36,77.53,73.13,77.02,1218500,0.0,0.0
2020-03-11,75.15,75.29,71.49,73.0,1197500,0.0,0.0
2020-03-12,68.27,68.8,61.32,66.82,1324400,0.79,0.0
2020-03-13,70.59,74.32,68.94,72.81,1506300,0.0,0.0
2020-03-16,64.07,72.43,62.78,69.88,1189200,0.0,0.0
2020-03-17,71.33,81.44,70.9,80.9,1727800,0.0,0.0
2020-03-18,75.33,84.15,73.95,78.56,1359000,0.0,0.0
2020-03-19,79.03,81.18,71.42,76.34,1371400,0.0,0.0
2020-03-20,76.32,77.0,69.95,74.12,1575300,0.0,0.0
2020-03-23,72.98,73.85,64.09,65.78,1680700,0.0,0.0
2020-03-24,68.97,70.22,66.38,68.68,1384000,0.0,0.0
2020-03-25,68.32,72.18,66.18,68.9,1239600,0.0,0.0
2020-03-26,69.42,76.08,69.21,75.32,1004100,0.0,0.0
2020-03-27,72.7,75.89,71.39,74.3,729300,0.0,0.0
2020-03-30,75.01,78.81,74.35,78.33,844500,0.0,0.0
2020-03-31,78.16,78.59,74.39,74.94,1265300,0.0,0.0
2020-04-01,72.3,75.52,71.81,72.41,1368700,0.0,0.0
2020-04-02,71.67,74.85,71.25,72.46,1719900,0.0,0.0
2020-04-03,71.66,73.61,69.19,69.48,1147900,0.0,0.0
2020-04-06,71.98,74.35,70.78,73.73,1079800,0.0,0.0
2020-04-07,75.74,76.73,72.96,73.36,909700,0.0,0.0
2020-04-08,73.82,76.69,72.84,75.81,747600,0.0,0.0
2020-04-09,76.57,79.18,76.54,78.07,1152400,0.0,0.0
2020-04-13,76.65,77.67,75.25,76.69,748100,0.0,0.0
2020-04-14,78.62,78.76,75.55,76.38,731200,0.0,0.0
2020-04-15,74.53,74.81,72.47,73.83,861100,0.0,0.0
