,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-30,10.0,11.4,9.1,9.5,338584400,0.0,0.0
2020-10-01,9.68,10.1,9.22,9.46,124297600,0.0,0.0
2020-10-02,9.06,9.27,8.93,9.19,55018300,0.0,0.0
2020-10-05,9.43,9.48,8.92,9.02,36316900,0.0,0.0
2020-10-06,9.03,10.18,8.89,9.89,90864000,0.0,0.0
2020-10-07,10.03,10.48,9.98,10.0,54672400,0.0,0.0
2020-10-08,10.28,10.39,9.98,10.0,34989200,0.0,0.0
2020-10-09,10.13,10.18,9.89,9.94,19653500,0.0,0.0
2020-10-12,10.03,10.05,9.65,9.89,20623600,0.0,0.0
2020-10-13,9.88,9.88,9.4,9.47,21847200,0.0,0.0
2020-10-14,9.6,9.65,9.28,9.34,13652600,0.0,0.0
2020-10-15,9.27,9.9,9.18,9.9,12924100,0.0,0.0
2020-10-16,9.93,9.94,9.65,9.71,11142500,0.0,0.0
2020-10-19,9.78,9.81,9.52,9.56,9126400,0.0,0.0
2020-10-20,9.6,9.65,9.27,9.27,11138200,0.0,0.0
2020-10-21,9.3,9.47,9.19,9.19,9190000,0.0,0.0
2020-10-22,9.36,9.75,9.22,9.68,17928600,0.0,0.0
2020-10-23,9.71,9.82,9.47,9.48,12618000,0.0,0.0
2020-10-26,9.72,9.97,9.6,9.94,23767300,0.0,0.0
2020-10-27,10.0,11.03,9.92,10.94,53695900,0.0,0.0
2020-10-28,10.65,10.98,10.1,10.85,30941700,0.0,0.0
2020-10-29,10.89,11.1,10.56,10.75,20515700,0.0,0.0
2020-10-30,10.6,10.68,9.85,10.13,19705500,0.0,0.0
2020-11-02,10.22,10.56,10.22,10.53,11677800,0.0,0.0
2020-11-03,10.56,10.93,10.43,10.5,21652800,0.0,0.0
2020-11-04,10.81,10.92,10.55,10.72,15783400,0.0,0.0
2020-11-05,10.89,12.13,10.85,11.88,48560400,0.0,0.0
2020-11-06,12.22,14.96,12.05,13.82,89977600,0.0,0.0
2020-11-09,14.96,15.89,14.1,14.67,60099000,0.0,0.0
2020-11-10,14.98,15.01,13.18,14.0,38078700,0.0,0.0
2020-11-11,14.56,15.97,14.39,15.96,47027900,0.0,0.0
2020-11-12,16.65,17.05,14.4,14.57,97904000,0.0,0.0
2020-11-13,14.48,16.0,14.48,15.8,76354800,0.0,0.0
2020-11-16,15.96,16.1,15.01,15.93,65326000,0.0,0.0
2020-11-17,16.29,18.75,16.18,17.85,116618500,0.0,0.0
2020-11-18,18.28,19.25,17.54,17.89,89957900,0.0,0.0
2020-11-19,18.5,18.97,17.95,18.97,56225400,0.0,0.0
2020-11-20,19.03,19.65,18.0,18.14,72104000,0.0,0.0
2020-11-23,18.62,21.45,18.56,21.04,84716300,0.0,0.0
2020-11-24,22.35,24.27,20.62,23.81,115468800,0.0,0.0
2020-11-25,23.95,29.75,23.69,29.04,202563700,0.0,0.0
2020-11-27,31.19,33.5,26.12,27.65,207834000,0.0,0.0
2020-11-30,28.23,30.14,24.11,27.11,137243000,0.0,0.0
2020-12-01,28.09,28.13,24.45,25.67,84050000,0.0,0.0
2020-12-02,22.23,23.39,21.14,22.51,149062100,0.0,0.0
2020-12-03,23.54,25.62,23.5,24.03,85634300,0.0,0.0
2020-12-04,24.87,25.23,23.51,23.85,56044100,0.0,0.0
2020-12-07,24.44,29.0,24.44,28.94,118463700,0.0,0.0
2020-12-08,30.62,31.23,27.25,28.59,124754300,0.0,0.0
2020-12-09,28.68,28.85,25.32,26.62,79634700,0.0,0.0
2020-12-10,25.54,28.04,25.14,27.04,57774800,0.0,0.0
2020-12-11,27.14,28.27,26.05,27.2,52764400,0.0,0.0
2020-12-14,28.26,28.26,26.72,27.23,44734500,0.0,0.0
2020-12-15,26.81,27.1,25.52,26.43,49273200,0.0,0.0
2020-12-16,25.7,26.15,25.11,25.92,44013400,0.0,0.0
2020-12-17,26.52,27.45,26.04,27.22,53829800,0.0,0.0
2020-12-18,26.27,26.85,25.79,25.96,71042900,0.0,0.0
2020-12-21,26.19,28.7,25.39,28.51,76729100,0.0,0.0
2020-12-22,29.03,29.42,26.81,28.04,66033100,0.0,0.0
2020-12-23,28.95,29.38,28.04,28.69,58772200,0.0,0.0
2020-12-24,28.79,29.15,27.52,27.75,26306800,0.0,0.0
2020-12-28,28.38,28.59,25.39,25.62,55878700,0.0,0.0
2020-12-29,25.75,26.18,24.34,24.65,47302400,0.0,0.0
2020-12-30,24.96,25.9,24.62,25.1,34586700,0.0,0.0
2020-12-31,24.62,24.71,23.52,23.54,39922500,0.0,0.0
2021-01-04,23.9,24.5,22.5,23.37,44970400,0.0,0.0
2021-01-05,23.18,24.67,22.88,24.6,29050400,0.0,0.0
2021-01-06,24.12,24.45,23.25,23.54,32732900,0.0,0.0
2021-01-07,24.02,25.19,23.67,25.0,32240000,0.0,0.0
2021-01-08,25.7,26.44,24.7,25.2,41313800,0.0,0.0
2021-01-11,24.61,26.6,24.3,25.93,32609000,0.0,0.0
2021-01-12,26.34,26.42,25.51,26.18,26887200,0.0,0.0
2021-01-13,25.7,27.43,25.12,25.5,51216600,0.0,0.0
2021-01-14,25.45,25.62,24.37,24.92,32908000,0.0,0.0
2021-01-15,26.26,28.0,25.45,25.63,92285500,0.0,0.0
2021-01-19,26.8,27.54,26.0,26.62,48675800,0.0,0.0
2021-01-20,27.29,27.29,25.7,26.34,37459000,0.0,0.0
2021-01-21,26.42,26.68,25.29,25.97,29891400,0.0,0.0
2021-01-22,25.85,32.65,25.81,32.58,156844700,0.0,0.0
