,EPS Estimate,Reported EPS,Surprise(%)
2025-11-03 19:00:00-05:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-24 19:00:00-05:00,-0.31,nan,nan
2024-11-05 19:00:00-05:00,3.49,3.37,-3.4
2024-07-31 20:00:00-04:00,1.25,1.76,40.58
2024-05-01 20:00:00-04:00,-0.01,0.15,1907.23
2024-02-26 19:00:00-05:00,-0.13,nan,100.0
2023-11-01 20:00:00-04:00,3.41,3.5,2.59
2023-08-02 20:00:00-04:00,1.19,0.94,-21.12
2023-05-03 20:00:00-04:00,0.04,-0.03,-181.39
2023-02-26 19:00:00-05:00,-0.18,-0.21,-17.54
