,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,80.68,84.52,80.41,82.99,2333700,0.0,0.0
2020-02-24,82.76,82.76,80.86,80.86,1312600,0.0,0.0
2020-02-25,80.86,81.17,78.78,78.83,975000,0.0,0.0
2020-02-26,79.11,79.55,77.83,77.86,978400,0.0,0.0
2020-02-27,77.53,78.2,74.93,74.99,1451900,0.0,0.0
2020-02-28,73.2,73.63,70.97,71.69,1847900,0.0,0.0
2020-03-02,72.1,76.09,71.77,76.03,1534600,0.0,0.0
2020-03-03,75.85,78.13,75.38,75.69,1527000,0.0,0.0
2020-03-04,76.65,80.69,76.65,80.32,1217500,0.0,0.0
2020-03-05,78.82,80.38,78.55,79.84,989000,0.0,0.0
2020-03-06,77.61,79.88,76.38,79.55,1995700,0.0,0.0
2020-03-09,76.73,78.47,74.59,76.4,1251000,0.0,0.0
2020-03-10,77.22,78.74,73.95,77.06,997200,0.0,0.0
2020-03-11,75.39,75.41,70.61,71.74,1454200,0.0,0.0
2020-03-12,65.29,66.84,62.35,64.17,2171900,0.0,0.0
2020-03-13,67.15,67.59,61.59,65.34,1233400,0.0,0.0
2020-03-16,60.48,62.69,54.16,54.56,1342800,0.0,0.0
2020-03-17,56.05,60.06,53.89,59.94,1861800,0.0,0.0
2020-03-18,56.48,56.74,48.1,52.52,2921200,0.0,0.0
2020-03-19,52.28,57.81,49.45,54.76,1860900,0.0,0.0
2020-03-20,55.47,57.76,52.28,52.51,1976300,0.0,0.0
2020-03-23,51.28,53.23,49.04,50.39,1412400,0.0,0.0
2020-03-24,52.63,57.48,52.13,56.91,1116700,0.0,0.0
2020-03-25,56.72,60.78,54.27,58.2,1112900,0.0,0.0
2020-03-26,58.37,64.33,57.93,63.56,1217500,0.0,0.0
2020-03-27,61.09,64.03,60.18,62.19,1084000,0.0,0.0
2020-03-30,62.84,64.25,61.39,62.77,902600,0.0,0.0
2020-03-31,61.95,63.24,60.49,60.71,1029800,0.0,0.0
2020-04-01,58.12,59.38,55.45,56.75,896500,0.0,0.0
2020-04-02,55.94,59.69,55.94,57.49,993300,0.0,0.0
2020-04-03,56.82,57.76,53.9,54.62,1152600,0.0,0.0
2020-04-06,57.45,61.28,56.61,59.54,1194600,0.0,0.0
2020-04-07,61.8,61.93,58.3,58.96,1010600,0.0,0.0
2020-04-08,59.02,64.02,58.8,63.18,1165300,0.0,0.0
2020-04-09,64.32,67.84,63.86,65.87,1634600,0.0,0.0
2020-04-13,64.97,65.33,62.55,63.77,819500,0.0,0.0
2020-04-14,64.91,65.7,64.03,65.55,1198800,0.0,0.0
2020-04-15,63.29,64.59,62.79,63.81,902200,0.0,0.0
2020-04-16,63.99,64.53,62.49,63.29,971400,0.0,0.0
2020-04-17,64.56,65.62,63.04,64.01,1505300,0.0,0.0
2020-04-20,63.8,63.97,60.99,61.36,649400,0.0,0.0
2020-04-21,60.2,60.96,59.38,60.57,687000,0.0,0.0
2020-04-22,61.51,62.65,60.61,62.15,671600,0.0,0.0
2020-04-23,62.19,62.63,60.63,60.74,660400,0.0,0.0
2020-04-24,61.08,62.0,60.1,61.79,1026800,0.0,0.0
2020-04-27,62.44,63.74,62.12,63.09,740800,0.0,0.0
2020-04-28,64.78,64.78,63.39,64.08,1197600,0.0,0.0
2020-04-29,65.29,65.3,62.68,62.92,1226200,0.0,0.0
2020-04-30,62.31,62.46,60.48,61.67,1381400,0.0,0.0
2020-05-01,61.09,61.09,59.07,59.98,1479500,0.78,0.0
2020-05-04,59.89,60.07,58.88,59.6,834400,0.0,0.0
2020-05-05,59.92,61.3,59.71,60.41,1037300,0.0,0.0
2020-05-06,60.67,60.68,58.03,58.28,868400,0.0,0.0
2020-05-07,59.03,59.78,57.96,58.07,1585500,0.0,0.0
2020-05-08,60.15,60.67,58.78,59.78,1268400,0.0,0.0
2020-05-11,59.08,59.81,58.21,59.6,1189800,0.0,0.0
2020-05-12,60.29,60.41,58.51,58.66,1271500,0.0,0.0
2020-05-13,58.24,58.8,57.39,58.64,1373600,0.0,0.0
2020-05-14,57.94,58.84,56.74,58.28,1554900,0.0,0.0
2020-05-15,57.65,58.07,56.29,57.8,2709400,0.0,0.0
2020-05-18,59.64,61.1,59.38,60.58,940600,0.0,0.0
2020-05-19,60.4,60.4,58.72,58.75,646100,0.0,0.0
2020-05-20,59.01,59.08,58.08,58.89,1446400,0.0,0.0
2020-05-21,58.76,59.34,58.39,58.5,941200,0.0,0.0
2020-05-22,58.43,58.87,57.86,58.8,825200,0.0,0.0
2020-05-26,60.2,61.02,59.69,60.16,1085300,0.0,0.0
2020-05-27,61.21,61.38,59.72,61.1,1433500,0.0,0.0
2020-05-28,62.19,62.64,61.21,62.19,1264000,0.0,0.0
2020-05-29,61.85,63.67,61.15,63.04,4708500,0.0,0.0
2020-06-01,63.04,63.24,62.06,62.79,1245400,0.0,0.0
2020-06-02,63.21,63.74,62.84,63.25,1035700,0.0,0.0
2020-06-03,64.02,64.86,63.84,63.91,718900,0.0,0.0
2020-06-04,63.59,63.59,62.15,62.99,879500,0.0,0.0
2020-06-05,64.11,65.61,64.11,64.24,778400,0.0,0.0
2020-06-08,64.42,66.6,64.22,66.39,1445700,0.0,0.0
2020-06-09,65.67,65.67,63.15,64.83,972200,0.0,0.0
2020-06-10,64.66,65.05,62.98,63.23,1321100,0.0,0.0
2020-06-11,61.89,62.32,59.86,60.45,1828900,0.0,0.0
2020-06-12,61.94,61.94,60.35,61.18,1437600,0.0,0.0
2020-06-15,61.05,62.8,60.24,62.39,1112200,0.0,0.0
2020-06-16,63.97,64.49,62.17,62.5,1114700,0.0,0.0
2020-06-17,62.87,62.88,61.37,61.71,1204800,0.0,0.0
2020-06-18,61.74,62.74,61.52,62.03,1279800,0.0,0.0
2020-06-19,62.76,62.93,59.43,59.48,2749400,0.0,0.0
2020-06-22,59.56,60.27,58.93,59.3,1146100,0.0,0.0
2020-06-23,59.81,59.95,58.23,58.46,861800,0.0,0.0
2020-06-24,57.89,58.54,57.44,57.96,1235300,0.0,0.0
2020-06-25,57.74,57.8,56.93,57.75,1313800,0.0,0.0
2020-06-26,57.62,58.45,56.62,57.5,1302800,0.0,0.0
2020-06-29,58.11,59.05,57.36,59.05,775100,0.0,0.0
2020-06-30,58.96,59.55,58.54,59.31,1230000,0.0,0.0
2020-07-01,59.5,61.28,59.43,61.01,1026500,0.0,0.0
2020-07-02,61.42,62.4,61.11,61.53,1001100,0.0,0.0
2020-07-06,62.1,62.75,61.43,62.15,921700,0.0,0.0
2020-07-07,61.41,62.06,61.13,61.51,1347900,0.0,0.0
2020-07-08,61.51,62.24,61.26,62.09,715300,0.0,0.0
2020-07-09,61.89,62.08,60.79,61.71,698000,0.0,0.0
2020-07-10,61.57,63.45,61.57,63.34,627700,0.0,0.0
2020-07-13,63.38,64.42,63.24,63.86,749500,0.0,0.0
2020-07-14,63.83,64.74,63.79,64.44,837700,0.0,0.0
2020-07-15,65.33,65.47,64.26,64.65,808100,0.0,0.0
2020-07-16,64.74,65.36,64.61,65.2,696700,0.0,0.0
2020-07-17,65.76,66.85,65.63,66.79,641200,0.0,0.0
2020-07-20,66.62,66.78,65.24,65.37,904000,0.0,0.0
2020-07-21,65.43,66.09,65.17,65.49,764000,0.0,0.0
2020-07-22,65.11,67.24,64.63,67.16,1020500,0.0,0.0
2020-07-23,67.09,67.44,66.3,66.61,811400,0.0,0.0
2020-07-24,66.89,67.36,65.58,65.86,849000,0.0,0.0
2020-07-27,65.8,65.82,63.99,64.97,638700,0.0,0.0
2020-07-28,64.71,66.04,64.71,65.74,710300,0.0,0.0
2020-07-29,65.75,66.65,65.33,66.44,833900,0.0,0.0
2020-07-30,65.92,67.5,65.09,66.93,1145300,0.0,0.0
2020-07-31,66.28,68.04,65.84,67.88,1549300,0.78,0.0
2020-08-03,67.81,67.85,65.88,66.99,817000,0.0,0.0
2020-08-04,66.62,66.88,65.94,66.66,1320800,0.0,0.0
2020-08-05,66.75,66.86,64.75,65.15,1028700,0.0,0.0
2020-08-06,65.36,66.71,64.45,66.01,1113000,0.0,0.0
2020-08-07,65.77,67.43,65.77,67.13,968000,0.0,0.0
2020-08-10,67.5,67.76,66.96,67.47,787200,0.0,0.0
2020-08-11,67.73,68.17,65.92,65.99,1447200,0.0,0.0
2020-08-12,66.31,66.52,65.62,65.71,780600,0.0,0.0
2020-08-13,65.43,65.43,63.25,64.13,1420000,0.0,0.0
2020-08-14,64.12,64.32,63.52,63.73,662100,0.0,0.0
2020-08-17,63.62,63.88,62.29,62.42,1436800,0.0,0.0
2020-08-18,62.52,62.78,61.21,61.89,1525700,0.0,0.0
2020-08-19,62.14,62.34,61.34,62.11,945300,0.0,0.0
2020-08-20,61.89,62.0,61.05,61.25,516100,0.0,0.0
2020-08-21,61.33,61.4,60.26,60.67,727600,0.0,0.0
2020-08-24,60.78,61.6,60.04,61.4,655700,0.0,0.0
2020-08-25,61.55,61.55,60.5,60.84,492600,0.0,0.0
2020-08-26,60.56,60.6,59.11,59.5,780000,0.0,0.0
2020-08-27,59.65,60.08,59.06,59.83,602900,0.0,0.0
2020-08-28,60.12,60.39,59.42,60.04,528800,0.0,0.0
2020-08-31,59.83,60.44,59.63,59.93,852300,0.0,0.0
2020-09-01,59.64,59.69,58.23,58.45,1026200,0.0,0.0
2020-09-02,58.45,60.82,58.42,60.39,889600,0.0,0.0
