,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,215.69,216.14,210.71,212.3,339400,0.0,0.0
2020-02-24,206.13,208.8,202.71,207.3,480100,0.0,0.0
2020-02-25,209.16,210.82,194.27,196.72,775000,0.0,0.0
2020-02-26,188.0,198.25,179.05,180.0,3118500,0.0,0.0
2020-02-27,174.53,187.33,172.77,183.75,1873100,0.0,0.0
2020-02-28,182.99,190.0,176.61,189.97,1255300,0.0,0.0
2020-03-02,180.0,184.22,175.5,181.5,1433800,0.0,0.0
2020-03-03,181.03,182.71,171.05,174.25,826900,0.0,0.0
2020-03-04,177.08,180.38,175.0,179.05,584600,0.0,0.0
2020-03-05,176.64,181.27,176.02,180.88,708200,0.0,0.0
2020-03-06,177.49,180.14,173.0,179.3,669200,0.0,0.0
2020-03-09,169.77,177.75,167.33,172.66,612700,0.0,0.0
2020-03-10,175.39,182.74,172.19,180.52,693500,0.0,0.0
2020-03-11,175.63,176.74,167.77,172.11,626900,0.0,0.0
2020-03-12,161.55,174.78,158.21,165.66,1073000,0.0,0.0
2020-03-13,170.63,171.49,151.8,165.07,681300,0.0,0.0
2020-03-16,150.17,156.91,135.5,137.27,853700,0.0,0.0
2020-03-17,139.67,141.58,124.61,130.11,1167400,0.0,0.0
2020-03-18,123.19,137.52,121.0,130.0,937800,0.0,0.0
2020-03-19,131.19,151.0,128.36,139.99,887000,0.0,0.0
2020-03-20,139.71,154.25,138.77,142.6,631000,0.0,0.0
2020-03-23,143.27,149.96,129.08,143.8,1849600,0.0,0.0
2020-03-24,150.8,162.17,148.0,157.5,596200,0.0,0.0
2020-03-25,158.97,172.47,158.21,166.42,735700,0.0,0.0
2020-03-26,167.1,179.99,167.0,177.77,554800,0.0,0.0
2020-03-27,173.11,182.47,171.42,175.75,777300,0.0,0.0
2020-03-30,178.27,178.99,171.0,174.58,599100,0.0,0.0
2020-03-31,171.1,176.94,163.52,165.67,857000,0.0,0.0
2020-04-01,159.88,164.77,155.08,159.16,513500,0.0,0.0
2020-04-02,155.5,171.17,155.5,167.03,307600,0.0,0.0
2020-04-03,165.8,171.1,162.27,164.91,447500,0.0,0.0
2020-04-06,170.11,173.94,168.71,171.89,691800,0.0,0.0
2020-04-07,176.27,179.19,164.38,165.66,519700,0.0,0.0
2020-04-08,168.3,177.6,162.99,175.86,267200,0.0,0.0
2020-04-09,179.72,186.08,176.33,182.94,379200,0.0,0.0
2020-04-13,181.63,184.22,175.38,180.0,532800,0.0,0.0
2020-04-14,183.38,189.63,182.25,185.16,340300,0.0,0.0
2020-04-15,184.55,188.44,181.52,187.41,369400,0.0,0.0
2020-04-16,189.05,195.99,185.77,192.35,338900,0.0,0.0
2020-04-17,195.35,201.8,192.41,199.33,354300,0.0,0.0
2020-04-20,199.21,206.55,196.5,203.97,517500,0.0,0.0
2020-04-21,201.94,203.97,191.89,197.5,297800,0.0,0.0
2020-04-22,200.24,202.46,198.36,200.0,258200,0.0,0.0
2020-04-23,200.91,209.83,199.14,206.16,484000,0.0,0.0
2020-04-24,202.74,205.02,196.3,203.83,440700,0.0,0.0
2020-04-27,206.6,206.86,197.67,198.91,516100,0.0,0.0
2020-04-28,199.94,200.0,190.69,191.64,599800,0.0,0.0
2020-04-29,196.75,200.16,193.75,196.55,511300,0.0,0.0
2020-04-30,195.53,203.11,195.53,199.72,689800,0.0,0.0
2020-05-01,196.82,199.64,191.91,194.88,317300,0.0,0.0
2020-05-04,195.27,197.8,191.38,192.88,579500,0.0,0.0
2020-05-05,195.16,204.66,194.8,201.25,398600,0.0,0.0
2020-05-06,203.16,209.88,202.78,206.55,446500,0.0,0.0
2020-05-07,210.0,216.66,207.99,215.14,769500,0.0,0.0
2020-05-08,202.99,225.88,200.0,217.63,867300,0.0,0.0
2020-05-11,219.28,228.78,218.0,224.72,799100,0.0,0.0
2020-05-12,224.75,227.94,220.07,220.69,388700,0.0,0.0
2020-05-13,208.0,208.0,190.36,195.02,2416700,0.0,0.0
2020-05-14,192.03,203.11,191.07,201.55,916400,0.0,0.0
2020-05-15,201.89,205.86,200.88,203.97,558600,0.0,0.0
2020-05-18,207.89,211.3,199.52,201.25,552000,0.0,0.0
2020-05-19,201.61,203.99,195.41,195.66,405300,0.0,0.0
2020-05-20,199.32,199.77,193.02,195.44,430800,0.0,0.0
2020-05-21,195.03,196.53,186.67,193.88,404900,0.0,0.0
2020-05-22,194.03,195.77,189.57,192.08,319400,0.0,0.0
2020-05-26,197.66,197.72,181.64,182.63,441000,0.0,0.0
2020-05-27,182.27,182.27,164.39,178.42,926700,0.0,0.0
2020-05-28,178.27,188.27,176.82,184.58,715500,0.0,0.0
2020-05-29,185.49,189.5,183.94,188.57,610400,0.0,0.0
2020-06-01,187.27,190.8,185.0,188.77,372600,0.0,0.0
2020-06-02,188.11,189.13,183.38,186.5,660700,0.0,0.0
