,EPS Estimate,Reported EPS,Surprise(%)
2025-10-21 20:00:00-04:00,nan,nan,nan
2025-07-22 20:00:00-04:00,nan,nan,nan
2025-04-22 20:00:00-04:00,nan,nan,nan
2025-02-19 19:00:00-05:00,0.89,nan,nan
2024-10-23 20:00:00-04:00,3.14,3.27,4.01
2024-07-24 20:00:00-04:00,4.9,4.99,1.74
2024-04-24 20:00:00-04:00,1.91,2.04,6.94
2024-02-21 19:00:00-05:00,1.25,1.32,5.51
2023-10-18 20:00:00-04:00,3.49,3.51,0.63
2023-07-19 20:00:00-04:00,6.1,5.91,-3.07
2023-04-19 20:00:00-04:00,3.21,2.58,-19.56
2023-02-15 19:00:00-05:00,1.99,1.82,-8.4
