,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-29 20:00:00-04:00,nan,nan,nan
2025-07-30 20:00:00-04:00,nan,nan,nan
2025-04-28 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,0.37,0.34,-9.09
2024-10-31 20:00:00-04:00,0.42,0.42,-0.4
2024-08-01 20:00:00-04:00,0.33,0.38,13.49
2024-04-30 20:00:00-04:00,0.5,0.54,7.77
2024-02-15 19:00:00-05:00,0.38,0.4,4.99
2023-11-01 20:00:00-04:00,0.42,0.43,2.38
2023-08-03 20:00:00-04:00,0.32,0.29,-9.15
2023-05-03 20:00:00-04:00,0.46,0.48,5.15
