,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,28.54,28.86,28.36,28.68,4901100,0.0,0.0
2020-02-24,28.54,28.67,28.25,28.27,5466800,0.0,0.0
2020-02-25,28.31,28.39,27.81,27.83,4924300,0.0,0.0
2020-02-26,27.81,27.85,26.74,26.76,7950900,0.0,0.0
2020-02-27,26.58,26.69,24.95,24.95,10721500,0.0,0.0
2020-02-28,24.5,24.76,23.82,24.16,21535700,0.0,0.0
2020-03-02,24.4,25.62,24.33,25.61,9559000,0.0,0.0
2020-03-03,25.66,26.24,24.89,24.99,8267000,0.0,0.0
2020-03-04,25.23,25.92,25.21,25.91,5742700,0.0,0.0
2020-03-05,25.72,25.72,25.18,25.5,6269100,0.0,0.0
2020-03-06,24.82,25.53,24.48,25.37,8122100,0.0,0.0
2020-03-09,24.23,24.78,23.35,23.75,8590500,0.41,0.0
2020-03-10,24.23,24.61,23.26,24.33,8955100,0.0,0.0
2020-03-11,24.12,24.12,23.49,23.86,8794500,0.0,0.0
2020-03-12,22.55,23.33,21.45,21.72,8893100,0.0,0.0
2020-03-13,22.68,22.94,20.54,22.37,10610100,0.0,0.0
2020-03-16,20.39,20.96,19.14,19.3,10176800,0.0,0.0
2020-03-17,19.78,21.01,18.76,20.84,10047800,0.0,0.0
2020-03-18,19.63,19.81,17.23,18.61,9380900,0.0,0.0
2020-03-19,18.38,18.75,16.76,17.61,7016700,0.0,0.0
2020-03-20,18.05,18.75,15.95,16.04,15117700,0.0,0.0
2020-03-23,15.93,16.23,14.78,15.16,12818600,0.0,0.0
2020-03-24,16.1,17.41,15.86,17.33,9848800,0.0,0.0
2020-03-25,17.37,19.1,17.29,18.13,8497900,0.0,0.0
2020-03-26,18.48,20.39,18.23,20.12,8470200,0.0,0.0
2020-03-27,19.44,21.21,19.41,20.74,6977500,0.0,0.0
2020-03-30,20.92,21.18,20.21,21.07,6449900,0.0,0.0
2020-03-31,20.88,21.08,20.03,20.13,5682900,0.0,0.0
2020-04-01,19.36,19.53,18.26,18.68,6263200,0.0,0.0
2020-04-02,18.27,19.21,18.23,18.74,6068100,0.0,0.0
2020-04-03,18.53,18.75,17.46,17.76,7589500,0.0,0.0
