,EPS Estimate,Reported EPS,Surprise(%)
2025-10-27 20:00:00-04:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-23 19:00:00-05:00,2.56,nan,nan
2024-10-29 20:00:00-04:00,2.6,2.16,-17.0
2024-07-29 20:00:00-04:00,2.6,2.66,2.26
2024-04-29 20:00:00-04:00,2.47,2.6,5.17
2024-02-19 19:00:00-05:00,2.73,2.21,-18.99
2023-10-29 20:00:00-04:00,2.81,3.2,13.97
2023-08-01 20:00:00-04:00,2.91,3.0,3.23
2023-05-02 20:00:00-04:00,2.69,2.65,-1.61
2023-02-20 19:00:00-05:00,2.65,2.06,-22.36
