,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,79.26,79.68,77.27,77.89,12257600,0.0,0.0
2020-02-24,75.09,75.92,74.03,74.57,12158500,0.0,0.0
2020-02-25,75.13,75.54,71.28,71.8,14725000,0.0,0.0
2020-02-26,72.5,73.42,70.79,71.3,13125000,0.0,0.0
2020-02-27,69.03,69.98,67.42,67.97,17898300,0.0,0.0
2020-02-28,66.02,71.43,65.64,70.08,20843300,0.0,0.0
2020-03-02,70.72,72.24,69.03,72.1,15043400,0.0,0.0
2020-03-03,72.34,73.97,69.66,70.31,16356200,0.0,0.0
2020-03-04,71.38,73.89,70.41,73.79,9894900,0.62,0.0
2020-03-05,71.68,73.41,71.0,71.42,9396200,0.0,0.0
2020-03-06,68.86,70.44,68.41,69.89,11536500,0.0,0.0
2020-03-09,65.31,68.65,64.8,65.53,13898500,0.0,0.0
2020-03-10,67.48,71.3,66.9,71.17,13615600,0.0,0.0
2020-03-11,68.82,70.18,66.51,67.32,13376500,0.0,0.0
2020-03-12,62.72,65.43,60.44,60.46,19386200,0.0,0.0
2020-03-13,64.21,69.17,60.68,68.39,15971400,0.0,0.0
2020-03-16,61.6,64.2,58.15,58.17,16134700,0.0,0.0
2020-03-17,59.46,62.98,56.11,62.12,16864500,0.0,0.0
2020-03-18,57.34,59.14,52.32,55.2,18381200,0.0,0.0
2020-03-19,55.14,60.94,53.26,58.64,17127400,0.0,0.0
2020-03-20,58.66,61.33,54.84,54.95,16591500,0.0,0.0
2020-03-23,55.53,58.51,53.32,56.41,14920300,0.0,0.0
2020-03-24,59.54,61.0,56.1,59.05,18966800,0.0,0.0
2020-03-25,59.45,60.41,56.35,56.91,15969800,0.0,0.0
2020-03-26,57.74,62.84,57.06,62.23,15820300,0.0,0.0
2020-03-27,59.99,62.35,59.48,60.07,9739100,0.0,0.0
2020-03-30,60.61,62.7,59.59,62.27,9880800,0.0,0.0
2020-03-31,62.52,63.47,60.14,61.03,13213900,0.0,0.0
2020-04-01,58.64,61.98,58.64,59.45,14167900,0.0,0.0
2020-04-02,59.42,61.58,58.92,61.36,15432900,0.0,0.0
2020-04-03,61.06,61.97,58.23,58.85,8600700,0.0,0.0
