,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-05 19:00:00-05:00,0.48,0.46,-4.56
2024-10-27 20:00:00-04:00,0.46,0.54,17.39
2024-07-31 20:00:00-04:00,0.46,0.54,17.86
2024-05-01 20:00:00-04:00,0.47,0.58,22.36
2024-02-07 19:00:00-05:00,0.5,0.47,-6.51
2023-11-01 20:00:00-04:00,0.47,0.5,5.54
2023-08-02 20:00:00-04:00,0.5,0.51,2.5
2023-05-03 20:00:00-04:00,0.51,0.57,12.48
