,EPS Estimate,Reported EPS,Surprise(%)
2026-02-01 19:00:00-05:00,nan,nan,nan
2025-10-28 20:00:00-04:00,nan,nan,nan
2025-07-29 20:00:00-04:00,nan,nan,nan
2025-04-29 20:00:00-04:00,nan,nan,nan
2025-02-03 19:00:00-05:00,11.28,12.07,7.02
2024-10-30 20:00:00-04:00,11.69,12.46,6.57
2024-07-31 20:00:00-04:00,10.61,11.56,8.92
2024-05-01 20:00:00-04:00,10.09,9.55,-5.38
2024-02-01 19:00:00-05:00,10.73,11.86,10.53
2023-11-01 20:00:00-04:00,10.72,11.59,8.13
2023-08-02 20:00:00-04:00,9.84,10.24,4.03
2023-05-03 20:00:00-04:00,9.56,10.09,5.57
