,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,396.07,404.54,392.85,403.14,655300,0.0,0.0
2020-02-24,395.54,426.35,386.83,425.38,2959700,0.0,0.0
2020-02-25,437.25,457.6,437.0,442.35,3568800,0.0,0.0
2020-02-26,444.01,461.33,442.44,457.92,2299300,0.0,0.0
2020-02-27,468.55,470.0,430.7,431.6,2093500,0.0,0.0
2020-02-28,422.36,445.04,418.22,444.57,1591000,0.0,0.0
2020-03-02,445.0,465.51,445.0,464.75,1713100,0.0,0.0
2020-03-03,454.72,467.69,448.1,461.54,1210600,0.0,0.0
2020-03-04,467.95,494.55,467.13,493.48,1960700,0.0,0.0
2020-03-05,480.94,500.0,480.0,488.17,1270200,0.0,0.0
2020-03-06,477.29,496.98,477.0,494.42,1130700,0.0,0.0
2020-03-09,466.94,486.69,466.14,474.44,1344100,0.0,0.0
2020-03-10,488.45,488.7,460.79,475.01,1390500,0.0,0.0
2020-03-11,479.1,485.98,459.6,464.7,1351800,0.0,0.0
2020-03-12,444.35,451.95,426.1,431.89,1627800,0.0,0.0
2020-03-13,445.01,466.04,418.01,465.54,1380700,0.0,0.0
2020-03-16,452.51,484.57,433.82,440.82,1926300,0.0,0.0
2020-03-17,494.0,512.97,473.0,491.69,3856500,0.0,0.0
2020-03-18,495.77,499.0,455.55,485.0,2529500,0.0,0.0
2020-03-19,483.92,518.0,469.45,489.82,2358200,0.0,0.0
2020-03-20,493.01,499.5,435.01,438.45,2027000,0.0,0.0
2020-03-23,449.83,477.0,433.27,455.63,1829300,0.0,0.0
2020-03-24,468.22,471.98,424.01,449.52,1615700,0.0,0.0
2020-03-25,443.04,458.82,427.07,429.77,1288000,0.0,0.0
2020-03-26,426.51,452.7,424.01,452.29,1686200,0.0,0.0
2020-03-27,446.02,465.79,445.14,449.51,1109000,0.0,0.0
2020-03-30,463.08,476.1,461.0,473.0,1337000,0.0,0.0
2020-03-31,474.0,495.48,463.79,488.29,1953200,0.0,0.0
2020-04-01,484.14,499.98,476.45,496.64,1679800,0.0,0.0
2020-04-02,494.29,501.0,483.1,498.75,1058900,0.0,0.0
2020-04-03,495.55,503.26,485.04,493.32,1169500,0.0,0.0
2020-04-06,503.38,511.01,488.89,504.26,1285500,0.0,0.0
2020-04-07,502.8,509.73,492.01,501.51,1046900,0.0,0.0
2020-04-08,502.2,514.1,488.0,512.33,1167100,0.0,0.0
2020-04-09,510.1,515.64,500.86,512.96,1011800,0.0,0.0
2020-04-13,512.01,519.0,504.11,517.02,789800,0.0,0.0
2020-04-14,524.61,525.9,517.0,524.84,962600,0.0,0.0
2020-04-15,525.29,527.09,510.5,511.69,836800,0.0,0.0
2020-04-16,518.91,541.96,517.61,539.92,1206300,0.0,0.0
2020-04-17,549.98,572.5,539.14,568.78,2133500,0.0,0.0
2020-04-20,566.71,574.32,560.39,567.98,949300,0.0,0.0
2020-04-21,566.05,568.98,536.79,544.46,1026300,0.0,0.0
2020-04-22,555.5,563.36,540.95,558.08,825800,0.0,0.0
2020-04-23,558.92,573.15,557.48,565.52,739500,0.0,0.0
2020-04-24,573.64,574.0,556.46,566.21,837100,0.0,0.0
2020-04-27,563.15,565.67,539.15,547.52,1467800,0.0,0.0
2020-04-28,537.47,539.97,522.41,528.6,1128200,0.0,0.0
2020-04-29,532.64,533.16,513.8,516.15,1306300,0.0,0.0
2020-04-30,513.98,527.42,507.69,525.88,938000,0.0,0.0
2020-05-01,524.22,529.21,514.54,525.5,482200,0.0,0.0
2020-05-04,528.17,544.2,527.61,541.82,885600,0.0,0.0
2020-05-05,563.05,581.0,561.27,574.36,1550700,0.0,0.0
2020-05-06,559.2,569.98,541.55,553.5,1906200,0.0,0.0
2020-05-07,564.39,570.21,555.96,559.83,1132100,0.0,0.0
2020-05-08,562.0,567.83,553.52,563.4,698900,0.0,0.0
2020-05-11,565.22,578.77,564.09,574.1,1040900,0.0,0.0
2020-05-12,576.97,578.0,556.45,557.53,918600,0.0,0.0
