,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,162.87,164.34,161.28,162.79,436900,0.0,0.0
2020-02-25,163.19,163.81,157.95,158.93,434900,0.0,0.0
2020-02-26,159.08,162.68,158.68,159.04,479600,0.0,0.0
2020-02-27,157.23,161.08,155.91,155.97,632600,0.0,0.0
2020-02-28,152.26,153.51,146.68,152.37,1247600,0.0,0.0
2020-03-02,153.84,161.9,153.41,161.75,1258700,0.0,0.0
2020-03-03,161.68,164.78,155.89,158.39,918800,0.0,0.0
2020-03-04,161.32,167.99,160.57,167.57,1098300,0.0,0.0
2020-03-05,165.02,165.7,161.18,163.67,975500,0.0,0.0
2020-03-06,160.06,161.04,154.73,159.19,937300,0.0,0.0
2020-03-09,150.01,151.45,145.32,148.09,732100,0.0,0.0
2020-03-10,151.62,155.22,146.55,155.0,1186000,0.0,0.0
2020-03-11,150.99,152.49,144.26,147.24,757500,0.0,0.0
2020-03-12,137.81,141.51,130.27,130.47,1269500,0.0,0.0
2020-03-13,138.98,143.58,130.59,143.52,1230900,0.0,0.0
2020-03-16,131.79,140.14,128.54,132.21,1183600,0.0,0.0
2020-03-17,134.48,155.57,129.96,154.73,1943900,0.0,0.0
2020-03-18,140.67,152.22,140.16,145.45,1806600,0.0,0.0
2020-03-19,138.06,142.81,129.22,130.45,1567200,0.0,0.0
2020-03-20,128.91,129.76,108.72,109.6,1948000,0.0,0.0
2020-03-23,108.31,120.8,104.33,116.32,1427800,0.0,0.0
2020-03-24,122.17,130.21,119.41,129.46,1398200,0.0,0.0
2020-03-25,128.76,134.69,127.02,130.08,877900,0.0,0.0
2020-03-26,129.92,140.68,129.43,140.44,1020800,0.0,0.0
2020-03-27,133.47,139.93,130.36,136.06,885700,0.0,0.0
2020-03-30,137.34,149.75,137.07,147.81,1035000,0.0,0.0
2020-03-31,147.23,148.94,139.59,141.18,1281800,0.0,0.0
2020-04-01,134.89,139.35,132.43,136.39,974000,0.0,0.0
2020-04-02,134.66,144.38,134.47,143.9,955000,0.0,0.0
2020-04-03,141.86,148.57,140.9,146.62,1262600,0.0,0.0
2020-04-06,151.44,152.68,149.14,151.73,822100,0.0,0.0
2020-04-07,152.67,153.2,146.09,147.3,1044600,0.0,0.0
2020-04-08,148.58,149.84,143.39,148.72,691600,0.0,0.0
2020-04-09,144.25,153.96,143.49,153.19,936600,0.0,0.0
2020-04-13,151.74,152.4,147.75,150.67,471000,0.0,0.0
2020-04-14,154.0,157.76,153.46,156.88,571800,0.0,0.0
2020-04-15,152.43,154.63,151.4,153.53,609200,0.0,0.0
2020-04-16,155.15,157.04,153.55,154.63,542900,0.0,0.0
2020-04-17,157.57,158.49,153.85,158.31,754100,0.0,0.0
2020-04-20,156.53,159.07,155.12,157.47,689800,0.0,0.0
2020-04-21,154.28,154.8,150.01,150.82,426100,0.0,0.0
2020-04-22,153.5,155.21,150.65,154.24,409800,0.0,0.0
2020-04-23,154.89,155.79,152.03,152.15,541900,0.0,0.0
2020-04-24,154.7,155.17,152.08,154.32,483400,0.0,0.0
2020-04-27,156.34,157.0,153.53,156.02,634600,0.0,0.0
2020-04-28,157.2,157.31,150.28,151.66,627600,0.0,0.0
2020-04-29,153.44,154.15,149.64,149.83,619100,0.0,0.0
2020-04-30,148.57,149.84,145.95,148.88,912100,0.0,0.0
2020-05-01,150.49,157.2,150.31,152.47,1267800,0.0,0.0
2020-05-04,152.42,152.73,146.77,148.36,939800,0.0,0.0
2020-05-05,148.88,156.11,147.87,152.8,880400,0.0,0.0
2020-05-06,153.42,156.45,152.72,153.3,564400,0.0,0.0
2020-05-07,155.0,156.04,153.4,154.03,493900,0.0,0.0
2020-05-08,155.19,158.61,154.22,156.0,543100,0.0,0.0
2020-05-11,154.28,164.57,154.28,162.26,1128300,0.0,0.0
2020-05-12,163.43,164.92,160.22,160.22,648400,0.0,0.0
2020-05-13,159.74,162.04,155.64,157.92,590600,0.39,0.0
2020-05-14,156.16,157.96,152.52,156.57,518600,0.0,0.0
2020-05-15,155.69,159.22,154.84,157.68,405400,0.0,0.0
2020-05-18,159.97,162.99,159.0,160.61,590500,0.0,0.0
2020-05-19,160.12,162.06,155.64,156.19,516800,0.0,0.0
2020-05-20,157.96,158.56,155.12,155.41,645100,0.0,0.0
2020-05-21,154.88,154.99,151.89,154.37,472000,0.0,0.0
2020-05-22,154.82,156.67,153.49,155.02,426200,0.0,0.0
2020-05-26,157.89,158.31,153.36,154.18,761700,0.0,0.0
2020-05-27,153.05,153.47,143.31,147.68,1016100,0.0,0.0
