,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-02-11 19:00:00-05:00,0.23,0.23,-0.86
2024-10-22 20:00:00-04:00,0.3,0.29,-3.75
2024-07-23 20:00:00-04:00,0.27,0.27,1.36
2024-04-23 20:00:00-04:00,0.2,0.2,0.43
2024-02-13 19:00:00-05:00,0.21,0.21,-0.84
2023-10-24 20:00:00-04:00,0.25,0.28,12.84
2023-07-25 20:00:00-04:00,0.23,0.23,-2.01
2023-04-25 20:00:00-04:00,0.17,0.18,6.13
