,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-10-26 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.4,1.58,13.18
2024-10-28 20:00:00-04:00,1.61,1.81,12.18
2024-07-23 20:00:00-04:00,1.53,1.61,5.41
2024-04-29 20:00:00-04:00,1.35,1.45,7.46
2024-02-26 19:00:00-05:00,1.29,1.41,9.06
2023-10-25 20:00:00-04:00,1.42,1.54,8.16
2023-07-30 20:00:00-04:00,1.32,1.41,6.84
2023-04-26 20:00:00-04:00,1.13,1.24,10.1
