,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 19:00:00-05:00,nan,nan,nan
2025-11-02 19:00:00-05:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-01-30 19:00:00-05:00,1.37,1.42,3.57
2024-11-03 19:00:00-05:00,1.13,1.28,13.67
2024-07-28 20:00:00-04:00,1.12,1.22,8.77
2024-04-28 20:00:00-04:00,0.93,0.98,5.05
2024-01-31 19:00:00-05:00,1.16,1.25,7.42
2023-10-29 20:00:00-04:00,1.19,1.18,-1.07
2023-07-31 20:00:00-04:00,1.19,1.21,2.09
2023-05-10 20:00:00-04:00,1.06,1.01,-5.05
