,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,76.32,77.69,76.07,76.31,8313600,0.0,0.0
2020-02-25,76.76,77.06,73.73,74.2,9404000,0.0,0.0
2020-02-26,74.57,75.15,72.8,72.83,10541500,0.0,0.0
2020-02-27,71.17,73.01,69.84,70.68,17120800,0.0,0.0
2020-02-28,68.77,71.15,68.36,70.81,19108600,0.0,0.0
2020-03-02,70.35,74.4,70.11,74.37,14258700,0.0,0.0
2020-03-03,74.3,74.59,70.52,70.96,12395900,0.0,0.0
2020-03-04,71.58,72.41,70.31,71.93,10999600,0.0,0.0
2020-03-05,70.33,70.33,67.96,68.79,12545300,0.0,0.0
2020-03-06,66.32,68.35,65.05,68.02,18080100,0.0,0.0
2020-03-09,63.72,66.84,63.27,63.95,15930300,0.0,0.0
2020-03-10,65.51,67.67,63.22,67.59,18414000,0.0,0.0
2020-03-11,65.75,67.05,60.85,61.66,17138000,0.0,0.0
2020-03-12,56.83,60.3,55.49,56.06,25170600,0.0,0.0
2020-03-13,59.27,63.36,57.34,63.12,19247200,0.0,0.0
2020-03-16,54.74,57.73,52.46,52.89,23354300,0.0,0.0
2020-03-17,53.76,53.82,48.4,53.25,25045200,0.0,0.0
2020-03-18,50.15,52.05,45.16,50.85,28770600,0.0,0.0
2020-03-19,50.76,57.2,48.34,55.44,25167400,0.0,0.0
2020-03-20,56.24,59.3,52.28,52.39,28420600,0.0,0.0
2020-03-23,51.67,51.86,48.75,51.05,24905800,0.0,0.0
2020-03-24,56.52,58.83,55.07,58.57,28286200,0.0,0.0
2020-03-25,60.33,62.87,57.32,59.41,22977200,0.0,0.0
2020-03-26,60.23,64.62,59.81,63.11,20997500,0.0,0.0
2020-03-27,60.2,61.62,58.52,59.89,18950500,0.0,0.0
2020-03-30,60.09,61.59,58.3,61.26,14199700,0.0,0.0
2020-03-31,60.65,61.68,58.96,59.35,20109800,0.0,0.0
2020-04-01,56.88,58.47,55.59,56.53,12880400,0.0,0.0
2020-04-02,59.36,62.02,56.8,58.68,18175000,0.0,0.0
2020-04-03,58.2,58.46,54.98,56.92,14676500,0.0,0.0
2020-04-06,59.83,61.7,58.15,61.2,18010800,0.0,0.0
2020-04-07,64.61,65.44,61.69,62.03,13799400,0.0,0.0
2020-04-08,62.82,64.93,61.88,64.61,10417600,0.0,0.0
2020-04-09,64.28,67.04,63.32,66.7,19748100,0.0,0.0
2020-04-13,66.38,66.45,63.51,64.79,11191800,0.0,0.0
2020-04-14,66.53,67.11,65.6,66.51,10912000,0.0,0.0
2020-04-15,65.01,66.07,63.84,65.5,10642500,0.0,0.0
2020-04-16,66.0,66.59,64.42,66.37,11946800,0.0,0.0
2020-04-17,69.17,69.87,67.68,69.61,14268400,0.0,0.0
2020-04-20,68.63,69.5,67.78,68.0,9684700,0.0,0.0
2020-04-21,66.27,66.77,64.77,65.65,10345800,0.0,0.0
2020-04-22,67.31,70.47,67.2,69.92,11347000,0.0,0.0
2020-04-23,69.82,70.12,67.04,67.85,15513400,0.0,0.0
2020-04-24,68.39,68.64,67.0,68.23,8456000,0.0,0.0
2020-04-27,69.23,70.46,69.1,70.19,8258500,0.0,0.0
2020-04-28,71.02,71.87,69.48,71.04,12801400,0.0,0.0
2020-04-29,70.58,71.1,69.26,69.39,24575500,0.0,0.0
2020-04-30,69.36,70.09,67.88,69.27,15186000,0.0,0.0
2020-05-01,67.62,68.51,66.1,66.62,11216700,0.0,0.0
2020-05-04,65.53,65.56,64.33,64.9,12921800,0.0,0.0
2020-05-05,67.68,67.78,65.81,65.82,12976000,0.0,0.0
2020-05-06,66.6,67.58,65.78,65.87,12740900,0.0,0.0
2020-05-07,67.01,69.03,66.61,69.0,13360500,0.41,0.0
2020-05-08,70.14,70.75,68.78,70.7,11917200,0.0,0.0
2020-05-11,69.56,70.07,68.82,68.88,9004500,0.0,0.0
2020-05-12,69.0,69.66,67.49,67.5,8549900,0.0,0.0
2020-05-13,67.6,68.77,66.21,66.84,11532700,0.0,0.0
2020-05-14,65.66,67.45,64.14,67.36,11932300,0.0,0.0
2020-05-15,66.11,67.77,65.98,67.33,9489100,0.0,0.0
2020-05-18,69.78,70.36,69.18,69.21,8903200,0.0,0.0
2020-05-19,69.37,70.11,68.78,68.87,6484900,0.0,0.0
2020-05-20,70.12,70.67,69.47,70.6,7790500,0.0,0.0
2020-05-21,71.36,72.07,70.72,70.86,10312600,0.0,0.0
2020-05-22,70.73,70.86,69.47,70.47,7653300,0.0,0.0
2020-05-26,72.27,72.56,70.44,70.6,8422200,0.0,0.0
2020-05-27,71.71,71.71,70.26,71.36,8245300,0.0,0.0
2020-05-28,71.4,72.69,70.75,71.31,8331400,0.0,0.0
2020-05-29,71.38,71.4,70.15,70.81,10043600,0.0,0.0
2020-06-01,70.51,71.41,69.7,71.11,7922000,0.0,0.0
2020-06-02,70.79,71.05,69.72,70.62,9521000,0.0,0.0
2020-06-03,71.23,72.59,71.09,72.25,9956700,0.0,0.0
2020-06-04,72.01,72.79,71.24,71.49,7667600,0.0,0.0
2020-06-05,72.93,74.75,72.61,74.58,12030800,0.0,0.0
2020-06-08,75.43,75.92,74.61,75.87,10229600,0.0,0.0
2020-06-09,75.01,75.56,74.23,74.79,7999800,0.0,0.0
2020-06-10,72.52,72.66,71.0,71.74,19683800,0.0,0.0
2020-06-11,68.77,69.72,65.51,65.89,26422200,0.0,0.0
2020-06-12,68.09,69.66,67.01,69.35,18529800,0.0,0.0
2020-06-15,67.46,70.74,67.26,69.87,14644700,0.0,0.0
2020-06-16,71.54,71.67,69.36,70.67,10890100,0.0,0.0
2020-06-17,70.88,71.08,69.62,70.0,6906700,0.0,0.0
2020-06-18,69.66,69.72,68.82,69.28,8486000,0.0,0.0
2020-06-19,69.94,70.25,67.99,68.46,12538600,0.0,0.0
2020-06-22,68.0,68.68,67.11,68.46,8238600,0.0,0.0
2020-06-23,69.3,69.34,68.16,68.54,8076600,0.0,0.0
2020-06-24,68.0,68.02,65.37,66.86,12306400,0.0,0.0
2020-06-25,66.48,67.29,65.52,67.05,8624800,0.0,0.0
2020-06-26,66.85,66.98,64.69,64.98,17627800,0.0,0.0
2020-06-29,64.83,66.73,64.52,66.71,8653000,0.0,0.0
2020-06-30,66.8,67.08,66.11,66.81,11324000,0.0,0.0
2020-07-01,67.19,67.81,66.62,67.21,6750000,0.0,0.0
2020-07-02,68.13,68.18,66.86,66.99,6544400,0.0,0.0
