,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,178.98,182.37,177.6,180.81,1697400,0.0,0.0
2020-02-25,181.67,181.99,175.44,175.67,2530500,0.0,0.0
2020-02-26,177.01,180.19,174.99,175.56,2172300,0.0,0.0
2020-02-27,172.93,174.84,167.36,167.51,2345100,0.0,0.0
2020-02-28,162.43,165.18,159.08,165.18,4074900,0.44,0.0
2020-03-02,166.87,172.08,163.99,172.08,2520900,0.0,0.0
2020-03-03,172.78,176.58,169.61,172.8,2212800,0.0,0.0
2020-03-04,176.86,183.76,174.31,183.73,2210100,0.0,0.0
2020-03-05,179.34,180.94,175.57,177.38,1775700,0.0,0.0
2020-03-06,173.5,174.06,169.25,172.93,1971900,0.0,0.0
2020-03-09,160.26,172.08,159.99,168.51,3484500,0.0,0.0
2020-03-10,173.34,174.68,164.76,174.54,2829300,0.0,0.0
2020-03-11,170.38,170.9,162.24,166.26,3127800,0.0,0.0
2020-03-12,155.57,162.82,150.56,154.28,3269100,0.0,0.0
2020-03-13,160.65,161.57,147.96,159.61,4273800,0.0,0.0
2020-03-16,143.52,144.05,129.6,129.8,4736700,0.0,0.0
2020-03-17,132.69,138.79,120.73,134.38,5943600,0.0,0.0
2020-03-18,124.28,131.12,104.02,128.77,5138100,0.0,0.0
2020-03-19,127.49,143.51,124.06,142.28,3081600,0.0,0.0
2020-03-20,144.87,146.09,129.77,131.92,3788400,0.0,0.0
2020-03-23,131.32,135.15,124.91,126.81,2876700,0.0,0.0
2020-03-24,133.79,147.17,133.12,145.13,3735300,0.0,0.0
2020-03-25,144.57,151.78,142.96,144.37,2766900,0.0,0.0
2020-03-26,148.65,151.28,145.12,149.0,2562900,0.0,0.0
2020-03-27,144.16,150.71,143.84,146.93,1990500,0.0,0.0
2020-03-30,150.76,155.51,147.96,154.02,2259600,0.0,0.0
2020-03-31,152.31,153.99,146.26,146.89,3840600,0.0,0.0
2020-04-01,140.62,142.09,134.7,135.85,3430500,0.0,0.0
2020-04-02,134.32,140.64,131.7,139.66,3257700,0.0,0.0
2020-04-03,139.05,141.48,133.05,134.26,2051400,0.0,0.0
2020-04-06,141.54,147.99,140.04,146.6,2193300,0.0,0.0
2020-04-07,151.95,155.02,147.69,148.11,2435700,0.0,0.0
2020-04-08,150.32,157.26,147.7,156.09,1770900,0.0,0.0
2020-04-09,159.27,165.64,155.88,157.32,3194100,0.0,0.0
2020-04-13,154.17,157.4,151.16,156.37,2571900,0.0,0.0
2020-04-14,159.83,163.23,156.63,161.23,2263200,0.0,0.0
2020-04-15,156.87,159.82,155.3,157.49,1869900,0.0,0.0
2020-04-16,159.73,160.46,152.19,155.04,2226000,0.0,0.0
2020-04-17,159.04,165.6,159.04,165.18,1824300,0.0,0.0
2020-04-20,162.01,164.59,157.57,158.51,1747200,0.0,0.0
2020-04-21,156.12,157.55,153.31,155.0,984600,0.0,0.0
2020-04-22,158.12,161.54,158.12,159.92,1117200,0.0,0.0
2020-04-23,159.97,162.6,159.07,159.41,915300,0.0,0.0
2020-04-24,160.34,161.98,158.1,161.76,807300,0.0,0.0
2020-04-27,161.09,164.57,158.96,163.49,1401000,0.0,0.0
2020-04-28,165.9,166.18,161.44,162.62,1564500,0.0,0.0
2020-04-29,171.33,178.89,167.49,172.25,2886600,0.0,0.0
2020-04-30,168.74,173.77,167.38,171.45,2059200,0.0,0.0
2020-05-01,168.02,169.34,166.24,168.28,1241100,0.0,0.0
2020-05-04,167.57,169.38,165.25,169.05,1184400,0.0,0.0
2020-05-05,170.68,172.53,169.27,170.28,1121700,0.0,0.0
2020-05-06,171.02,171.53,167.32,167.51,1025700,0.0,0.0
2020-05-07,169.34,170.47,168.21,168.96,1172700,0.0,0.0
2020-05-08,172.31,176.95,170.92,175.71,1477200,0.0,0.0
2020-05-11,173.64,180.21,173.51,178.64,2395800,0.0,0.0
2020-05-12,178.08,180.21,176.92,176.92,1867800,0.0,0.0
2020-05-13,175.95,177.31,172.52,175.27,1466700,0.0,0.0
2020-05-14,172.72,174.41,168.84,174.39,1631100,0.0,0.0
2020-05-15,172.77,181.69,172.39,181.69,2658900,0.0,0.0
2020-05-18,185.4,187.36,182.81,182.92,1856700,0.0,0.0
2020-05-19,182.49,184.01,179.81,180.2,1665000,0.0,0.0
2020-05-20,182.46,184.0,180.38,180.49,1890000,0.0,0.0
2020-05-21,181.3,183.04,180.39,182.64,1605300,0.44,0.0
2020-05-22,183.18,184.99,181.98,184.98,837600,0.0,0.0
2020-05-26,187.44,187.73,185.64,186.84,1377900,0.0,0.0
2020-05-27,187.44,187.6,183.45,186.76,1355100,0.0,0.0
2020-05-28,189.05,190.94,187.72,189.05,1647900,0.0,0.0
2020-05-29,188.49,191.06,187.51,190.28,1315500,0.0,0.0
2020-06-01,190.14,190.62,185.85,186.63,1040700,0.0,0.0
2020-06-02,185.95,191.99,185.58,191.32,1582200,0.0,0.0
2020-06-03,192.03,193.33,190.04,190.38,1545900,0.0,0.0
2020-06-04,189.23,190.01,183.22,184.29,1907700,0.0,0.0
2020-06-05,186.82,189.35,181.46,187.54,2654400,0.0,0.0
2020-06-08,186.94,187.21,182.8,184.24,2092500,0.0,0.0
2020-06-09,182.86,187.73,182.72,186.41,1523700,0.0,0.0
2020-06-10,186.82,187.69,185.0,186.15,1123200,0.0,0.0
2020-06-11,183.97,184.62,174.29,175.05,2883300,0.0,0.0
2020-06-12,179.5,179.85,172.76,175.47,2205600,0.0,0.0
2020-06-15,171.74,183.28,171.73,182.64,2628300,0.0,0.0
2020-06-16,187.9,188.51,181.38,184.67,1303800,0.0,0.0
