,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,2.74,2.8,2.73,2.77,3419000,0.0,0.0
2020-02-24,2.64,2.75,2.62,2.69,2804000,0.0,0.0
2020-02-25,2.68,2.69,2.62,2.63,2876000,0.0,0.0
2020-02-26,2.62,2.72,2.61,2.65,2573000,0.0,0.0
2020-02-27,2.59,2.64,2.51,2.57,5245000,0.0,0.0
2020-02-28,2.5,2.54,2.46,2.53,3961000,0.0,0.0
2020-03-02,2.56,2.61,2.53,2.61,2954000,0.0,0.0
2020-03-03,2.61,2.69,2.55,2.6,3081000,0.0,0.0
2020-03-04,2.65,2.72,2.62,2.66,3932000,0.0,0.0
2020-03-05,2.62,2.69,2.56,2.58,5340000,0.0,0.0
2020-03-06,2.52,2.6,2.46,2.52,3973000,0.0,0.0
2020-03-09,2.35,2.47,2.26,2.3,5572000,0.0,0.0
2020-03-10,2.35,2.46,2.33,2.43,3852000,0.0,0.0
2020-03-11,2.38,2.47,2.35,2.42,5212000,0.0,0.0
2020-03-12,2.3,2.34,2.15,2.22,6924000,0.0,0.0
2020-03-13,2.27,2.29,2.11,2.29,4956000,0.0,0.0
2020-03-16,2.0,2.03,1.7,1.73,11834000,0.0,0.0
2020-03-17,1.75,1.93,1.7,1.91,5256000,0.0,0.0
2020-03-18,1.78,1.84,1.57,1.59,3640000,0.0,0.0
2020-03-19,1.58,1.69,1.58,1.61,8373000,0.0,0.0
2020-03-20,1.63,1.82,1.63,1.68,4654000,0.0,0.0
2020-03-23,1.7,1.73,1.63,1.67,6468000,0.0,0.0
2020-03-24,1.77,1.88,1.73,1.88,2464000,0.0,0.0
2020-03-25,1.87,2.11,1.85,2.06,2844000,0.0,0.0
2020-03-26,2.08,2.23,2.06,2.17,3876000,0.0,0.0
2020-03-27,2.1,2.14,2.0,2.03,1519000,0.0,0.0
2020-03-30,2.05,2.11,2.01,2.08,1930000,0.0,0.0
2020-03-31,2.08,2.14,2.08,2.12,1600000,0.0,0.0
2020-04-01,2.04,2.09,1.99,2.04,2927000,0.0,0.0
2020-04-02,2.05,2.12,1.94,2.08,1884000,0.0,0.0
2020-04-03,2.06,2.17,1.96,2.01,2875000,0.0,0.0
2020-04-06,2.08,2.13,1.97,2.02,2478000,0.0,0.0
2020-04-07,2.07,2.09,1.99,2.02,3031000,0.0,0.0
2020-04-08,2.05,2.11,2.0,2.09,2003000,0.0,0.0
2020-04-09,2.13,2.19,2.06,2.14,2282000,0.0,0.0
2020-04-13,2.14,2.16,2.04,2.12,1787000,0.0,0.0
2020-04-14,2.16,2.24,2.16,2.19,1530000,0.0,0.0
2020-04-15,2.15,2.19,2.11,2.16,1690000,0.0,0.0
2020-04-16,2.17,2.18,2.1,2.16,1774000,0.0,0.0
2020-04-17,2.21,2.25,2.14,2.17,1781000,0.0,0.0
2020-04-20,2.18,2.19,2.11,2.16,1116000,0.0,0.0
2020-04-21,2.15,2.15,2.02,2.09,1156000,0.0,0.0
2020-04-22,2.13,2.17,2.1,2.14,1022000,0.0,0.0
2020-04-23,2.17,2.2,2.13,2.16,2074000,0.0,0.0
2020-04-24,2.17,2.19,2.12,2.17,2070000,0.0,0.0
2020-04-27,2.18,2.24,2.18,2.22,2322000,0.0,0.0
2020-04-28,2.26,2.33,2.2,2.27,3327000,0.0,0.0
2020-04-29,2.34,2.39,2.31,2.34,2042000,0.0,0.0
2020-04-30,2.33,2.33,2.25,2.28,2167000,0.0,0.0
2020-05-01,2.22,2.27,2.21,2.22,1245000,0.0,0.0
2020-05-04,2.22,2.26,2.18,2.23,2375000,0.0,0.0
2020-05-05,2.25,2.33,2.2,2.24,2917000,0.0,0.0
2020-05-06,2.26,2.28,2.19,2.2,1695000,0.0,0.0
2020-05-07,2.23,2.28,2.19,2.23,5527000,0.0,0.0
2020-05-08,2.34,2.68,2.3,2.54,7513000,0.0,0.0
2020-05-11,2.54,2.58,2.43,2.56,3323000,0.0,0.0
2020-05-12,2.57,2.57,2.39,2.39,3678000,0.0,0.0
2020-05-13,2.4,2.44,2.31,2.32,2932000,0.0,0.0
2020-05-14,2.29,2.34,2.23,2.33,2029000,0.0,0.0
2020-05-15,2.29,2.38,2.27,2.32,2323000,0.0,0.0
2020-05-18,2.35,2.46,2.34,2.44,3101000,0.0,0.0
2020-05-19,2.45,2.52,2.44,2.47,3370000,0.0,0.0
2020-05-20,2.51,2.58,2.5,2.55,2272000,0.0,0.0
2020-05-21,2.52,2.55,2.48,2.51,2190000,0.0,0.0
2020-05-22,2.5,2.5,2.41,2.47,2982000,0.0,0.0
2020-05-26,2.51,2.58,2.51,2.52,2819000,0.0,0.0
2020-05-27,2.55,2.59,2.49,2.58,3781000,0.0,0.0
2020-05-28,2.55,2.59,2.52,2.53,2090000,0.0,0.0
2020-05-29,2.49,2.62,2.49,2.59,7769000,0.0,0.0
2020-06-01,2.63,2.67,2.61,2.65,3449000,0.0,0.0
2020-06-02,2.67,2.75,2.61,2.74,4996000,0.0,0.0
2020-06-03,2.79,2.79,2.72,2.77,3884000,0.0,0.0
2020-06-04,2.76,2.79,2.75,2.77,3814000,0.0,0.0
2020-06-05,2.86,2.98,2.8,2.86,6099000,0.0,0.0
2020-06-08,2.92,3.02,2.92,2.97,9117000,0.0,0.0
2020-06-09,2.97,3.0,2.9,2.96,3887000,0.0,0.0
2020-06-10,2.96,2.99,2.85,2.91,3588000,0.0,0.0
2020-06-11,2.87,2.89,2.77,2.8,7650000,0.0,0.0
2020-06-12,2.86,2.94,2.81,2.92,4196000,0.0,0.0
2020-06-15,2.94,3.15,2.94,3.12,15439000,0.0,0.0
2020-06-16,3.15,3.24,3.07,3.11,8435000,0.0,0.0
2020-06-17,3.14,3.24,3.14,3.17,16733000,0.0,0.0
2020-06-18,3.15,3.2,3.07,3.14,12936000,0.0,0.0
2020-06-19,3.18,3.32,3.17,3.23,42842000,0.0,0.0
2020-06-22,3.24,3.24,3.05,3.1,11825000,0.0,0.0
2020-06-23,3.13,3.19,3.09,3.12,13974000,0.0,0.0
2020-06-24,3.14,3.16,3.02,3.06,6435000,0.0,0.0
2020-06-25,3.06,3.17,3.04,3.1,9490000,0.0,0.0
2020-06-26,3.09,3.14,2.75,2.81,65827000,0.0,0.0
2020-06-29,2.81,2.83,2.75,2.82,6254000,0.0,0.0
2020-06-30,2.84,2.85,2.75,2.83,10403000,0.0,0.0
2020-07-01,2.83,2.83,2.74,2.79,7920000,0.0,0.0
2020-07-02,2.83,2.87,2.73,2.74,4208000,0.0,0.0
2020-07-06,2.8,2.84,2.78,2.79,4889000,0.0,0.0
2020-07-07,2.77,2.8,2.73,2.75,4454000,0.0,0.0
2020-07-08,2.76,2.82,2.74,2.82,4380000,0.0,0.0
2020-07-09,2.81,2.85,2.74,2.76,4626000,0.0,0.0
2020-07-10,2.77,2.79,2.74,2.76,3039000,0.0,0.0
2020-07-13,2.82,2.82,2.7,2.71,3193000,0.0,0.0
2020-07-14,2.7,2.78,2.65,2.76,5417000,0.0,0.0
2020-07-15,2.81,2.83,2.73,2.78,2377000,0.0,0.0
2020-07-16,2.77,2.81,2.74,2.81,1957000,0.0,0.0
2020-07-17,2.81,2.89,2.8,2.83,2246000,0.0,0.0
2020-07-20,2.84,2.87,2.8,2.86,2606000,0.0,0.0
2020-07-21,2.87,2.88,2.78,2.8,3533000,0.0,0.0
2020-07-22,2.79,2.84,2.76,2.79,4129000,0.0,0.0
2020-07-23,2.8,2.82,2.73,2.76,2405000,0.0,0.0
2020-07-24,2.75,2.76,2.67,2.71,1842000,0.0,0.0
2020-07-27,2.73,2.84,2.73,2.84,1969000,0.0,0.0
2020-07-28,2.85,2.85,2.78,2.81,3447000,0.0,0.0
2020-07-29,2.83,2.96,2.82,2.95,2735000,0.0,0.0
2020-07-30,2.92,2.98,2.9,2.97,2302000,0.0,0.0
2020-07-31,2.99,3.03,2.95,3.03,3450000,0.0,0.0
2020-08-03,3.09,3.11,3.02,3.03,5165000,0.0,0.0
2020-08-04,3.03,3.07,3.01,3.03,2914000,0.0,0.0
