,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,153.52,154.24,148.16,149.33,2777000,0.0,0.0
2020-02-24,144.97,146.92,141.3,145.94,2503500,0.0,0.0
2020-02-25,147.35,148.02,141.55,142.16,2162800,0.0,0.0
2020-02-26,142.96,145.83,141.1,142.03,2039900,0.0,0.0
2020-02-27,139.83,141.75,136.11,136.83,1840800,0.0,0.0
2020-02-28,131.5,138.07,131.5,137.92,3129100,0.0,0.0
2020-03-02,137.96,141.72,135.41,141.63,1692700,0.0,0.0
2020-03-03,141.22,144.33,138.19,140.11,2075100,0.0,0.0
2020-03-04,142.58,146.96,141.61,146.82,1529100,0.0,0.0
2020-03-05,142.91,145.32,141.3,142.63,1486600,0.0,0.0
2020-03-06,136.88,139.75,133.71,137.72,1491300,0.0,0.0
2020-03-09,128.11,132.66,126.0,127.69,1870800,0.0,0.0
2020-03-10,131.38,135.28,128.07,135.19,1614300,0.0,0.0
2020-03-11,131.55,135.33,128.82,131.74,2063100,0.0,0.0
2020-03-12,123.12,129.03,119.05,119.15,2429200,0.0,0.0
2020-03-13,124.91,129.97,116.47,129.88,2032200,0.0,0.0
2020-03-16,112.58,125.37,109.12,112.75,2003100,0.0,0.0
2020-03-17,115.01,120.65,111.09,119.62,1780400,0.0,0.0
2020-03-18,112.88,115.68,108.51,114.23,1858000,0.0,0.0
2020-03-19,113.84,117.3,108.79,114.95,1424800,0.0,0.0
2020-03-20,116.59,119.55,109.2,110.0,1825500,0.0,0.0
2020-03-23,110.34,112.48,104.9,108.48,1508900,0.0,0.0
2020-03-24,114.27,121.47,114.01,120.62,1709600,0.0,0.0
2020-03-25,119.98,125.62,117.91,121.31,1528100,0.0,0.0
2020-03-26,122.23,128.33,121.55,127.97,1373500,0.0,0.0
2020-03-27,123.93,128.35,120.16,124.37,1300800,0.0,0.0
2020-03-30,125.69,130.46,124.43,129.3,1502100,0.0,0.0
2020-03-31,128.22,131.0,126.73,128.78,2463800,0.0,0.0
2020-04-01,122.87,127.8,122.51,125.95,1542100,0.0,0.0
2020-04-02,124.68,128.78,124.0,128.64,1843300,0.0,0.0
2020-04-03,127.8,128.63,123.94,124.55,702300,0.0,0.0
2020-04-06,130.36,136.55,129.11,135.91,1314200,0.0,0.0
2020-04-07,138.19,140.77,135.33,135.5,1203400,0.0,0.0
2020-04-08,138.64,139.63,135.27,138.85,657800,0.0,0.0
2020-04-09,139.67,141.02,136.1,136.58,1104400,0.0,0.0
2020-04-13,133.85,140.52,133.27,140.13,920700,0.0,0.0
2020-04-14,142.19,147.83,142.02,147.42,1081800,0.0,0.0
2020-04-15,145.16,147.88,144.27,146.16,932000,0.0,0.0
2020-04-16,147.08,152.05,147.02,151.83,1275400,0.0,0.0
2020-04-17,155.52,156.08,153.07,154.97,1431400,0.0,0.0
2020-04-20,151.91,154.66,150.99,151.0,1002600,0.0,0.0
2020-04-21,149.42,149.91,142.86,144.83,1127100,0.0,0.0
2020-04-22,148.52,151.32,147.0,150.72,912100,0.0,0.0
2020-04-23,149.74,152.77,149.36,151.99,920500,0.0,0.0
2020-04-24,152.99,153.44,150.14,153.02,910700,0.0,0.0
2020-04-27,155.6,155.6,153.52,154.13,559100,0.0,0.0
2020-04-28,155.0,155.89,151.44,151.83,1052200,0.0,0.0
2020-04-29,153.44,158.13,152.41,158.0,1307700,0.0,0.0
2020-04-30,157.58,158.96,156.63,157.11,1581000,0.0,0.0
2020-05-01,153.67,155.49,148.19,149.63,1188300,0.0,0.0
2020-05-04,148.89,151.85,147.97,151.08,913600,0.0,0.0
2020-05-05,151.88,155.16,151.61,154.24,693300,0.0,0.0
2020-05-06,155.0,157.97,154.58,156.83,660300,0.0,0.0
2020-05-07,158.0,160.07,157.27,158.94,827100,0.0,0.0
2020-05-08,160.41,161.99,158.69,160.16,723900,0.0,0.0
2020-05-11,158.63,163.3,158.33,161.58,848800,0.0,0.0
2020-05-12,162.67,162.85,158.5,158.57,674700,0.0,0.0
2020-05-13,158.0,160.88,153.97,156.19,779300,0.0,0.0
2020-05-14,155.16,158.0,153.66,157.83,838600,0.0,0.0
2020-05-15,151.58,159.58,151.52,158.72,1563000,0.0,0.0
2020-05-18,159.94,161.89,158.6,159.86,830600,0.0,0.0
2020-05-19,160.66,164.33,160.52,162.02,1075400,0.0,0.0
2020-05-20,164.25,167.19,164.19,165.47,1221400,0.0,0.0
2020-05-21,167.0,169.44,164.86,168.49,1586800,0.0,0.0
2020-05-22,169.67,171.47,167.05,171.11,1009000,0.0,0.0
2020-05-26,172.08,172.69,168.33,168.52,1075400,0.0,0.0
2020-05-27,169.3,170.55,163.0,170.41,1190100,0.0,0.0
2020-05-28,170.55,178.33,169.44,174.05,1248500,0.0,0.0
2020-05-29,175.94,181.97,175.22,180.91,1567600,0.0,0.0
2020-06-01,180.91,184.08,180.1,182.6,1024200,0.0,0.0
2020-06-02,183.05,183.72,179.83,183.02,981900,0.0,0.0
2020-06-03,184.0,184.53,181.88,184.21,838400,0.0,0.0
2020-06-04,183.3,184.49,180.19,182.44,689400,0.0,0.0
