,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-08,46.76,46.96,44.3,45.6,67456700,0.0,0.0
2024-07-09,44.16,45.19,43.72,44.23,13739300,0.0,0.0
2024-07-10,44.43,45.62,43.8,45.21,9427800,0.0,0.0
2024-07-11,44.87,46.29,44.74,46.24,12526300,0.0,0.0
2024-07-12,46.28,48.65,46.23,48.42,41461200,0.0,0.0
2024-07-15,47.7,48.77,47.61,48.18,8170700,0.0,0.0
2024-07-16,47.77,48.78,47.36,48.6,7455000,0.0,0.0
2024-07-17,47.96,48.43,47.18,47.21,8435100,0.0,0.0
2024-07-18,46.23,46.7,45.63,46.19,10475500,0.0,0.0
2024-07-19,46.19,46.28,45.69,45.9,3633800,0.0,0.0
2024-07-22,45.89,47.38,45.76,47.36,3955400,0.0,0.0
2024-07-23,47.44,48.84,47.06,48.45,5854600,0.0,0.0
2024-07-24,47.64,48.59,47.56,48.2,5061400,0.0,0.0
2024-07-25,47.77,47.86,46.94,47.05,5094100,0.0,0.0
2024-07-26,47.08,48.51,47.07,48.15,4084100,0.0,0.0
2024-07-29,47.8,47.91,46.88,46.91,11100400,0.0,0.0
2024-07-30,46.51,46.93,45.48,46.11,4676200,0.0,0.0
2024-07-31,42.71,45.13,42.6,44.24,11198900,0.0,0.0
2024-08-01,44.2,44.5,42.34,42.74,7035100,0.0,0.0
2024-08-02,42.2,42.2,40.74,41.22,3582700,0.0,0.0
2024-08-05,39.21,40.38,39.01,39.5,4282100,0.0,0.0
2024-08-06,39.66,40.4,39.47,39.79,3621100,0.0,0.0
2024-08-07,40.26,40.32,38.44,38.53,3048500,0.0,0.0
2024-08-08,38.48,39.54,38.48,38.78,3649700,0.0,0.0
2024-08-09,38.39,39.04,38.03,38.44,3452800,0.0,0.0
2024-08-12,38.49,38.72,38.28,38.33,2991700,0.0,0.0
2024-08-13,38.72,40.16,38.59,39.81,4026400,0.0,0.0
2024-08-14,40.08,40.93,39.97,40.66,4175900,0.0,0.0
2024-08-15,40.93,42.98,40.93,42.48,5062900,0.3,0.0
2024-08-16,42.2,42.76,42.0,42.65,4801400,0.0,0.0
2024-08-19,42.27,43.26,42.2,43.22,3677600,0.0,0.0
2024-08-20,42.74,43.28,42.34,42.75,3761100,0.0,0.0
2024-08-21,42.68,43.8,42.38,43.75,4669400,0.0,0.0
2024-08-22,43.86,44.19,43.16,43.52,4514300,0.0,0.0
2024-08-23,44.34,45.11,44.18,45.05,3891000,0.0,0.0
2024-08-26,45.27,46.24,45.15,45.9,4700900,0.0,0.0
2024-08-27,45.98,46.61,45.58,46.6,4821100,0.0,0.0
2024-08-28,46.08,47.2,46.08,46.78,4958200,0.0,0.0
2024-08-29,46.91,46.96,46.38,46.88,3098400,0.0,0.0
2024-08-30,46.68,47.3,46.64,47.13,6225700,0.0,0.0
2024-09-03,46.04,46.27,45.13,45.42,5512500,0.0,0.0
2024-09-04,44.8,45.88,44.8,45.29,5056900,0.0,0.0
2024-09-05,45.54,46.02,44.72,45.06,3258800,0.0,0.0
2024-09-06,44.85,45.34,44.11,44.45,3740000,0.0,0.0
2024-09-09,44.83,45.02,43.85,44.2,4549900,0.0,0.0
2024-09-10,44.41,44.45,42.85,43.05,4092000,0.0,0.0
2024-09-11,42.6,43.47,42.17,43.26,4936600,0.0,0.0
2024-09-12,43.39,44.38,43.37,44.32,4026800,0.0,0.0
2024-09-13,44.4,45.6,44.32,44.64,3634500,0.0,0.0
2024-09-16,44.44,46.51,44.43,46.44,6043000,0.0,0.0
2024-09-17,46.61,47.54,46.4,47.04,4550700,0.0,0.0
2024-09-18,47.15,48.27,46.88,47.57,4135400,0.0,0.0
2024-09-19,48.7,49.13,47.98,48.72,3846700,0.0,0.0
2024-09-20,48.16,48.21,46.68,47.12,19056700,0.0,0.0
2024-09-23,46.9,47.01,45.99,46.45,2890000,0.0,0.0
2024-09-24,46.42,47.26,46.33,47.21,2795800,0.0,0.0
2024-09-25,47.93,48.24,46.98,47.51,4339400,0.0,0.0
2024-09-26,48.42,49.44,48.28,49.21,5066800,0.0,0.0
2024-09-27,49.69,50.29,49.31,49.78,3874800,0.0,0.0
2024-09-30,49.94,50.12,48.86,49.12,5572700,0.0,0.0
2024-10-01,49.44,49.55,48.34,48.47,4199300,0.0,0.0
2024-10-02,48.16,48.48,47.49,47.54,3020000,0.0,0.0
2024-10-03,47.04,47.19,46.31,46.34,3322600,0.0,0.0
2024-10-04,46.65,46.73,45.94,46.47,1919700,0.0,0.0
2024-10-07,46.06,46.27,45.34,46.17,3356100,0.0,0.0
2024-10-08,45.62,46.08,45.1,45.84,2683700,0.0,0.0
2024-10-09,45.99,46.46,45.78,45.78,2617900,0.0,0.0
2024-10-10,45.54,45.64,44.74,45.12,3571500,0.0,0.0
2024-10-11,45.17,45.77,45.04,45.32,1936300,0.0,0.0
2024-10-14,44.91,45.12,44.68,45.01,2362500,0.0,0.0
2024-10-15,43.93,44.4,43.43,44.17,5012300,0.0,0.0
2024-10-16,43.68,45.14,43.58,45.11,5656400,0.0,0.0
2024-10-17,43.47,43.65,42.8,43.15,5411100,0.0,0.0
2024-10-18,43.9,44.26,43.22,44.08,6080400,0.0,0.0
2024-10-21,44.12,44.17,43.63,43.93,2243100,0.0,0.0
2024-10-22,44.09,44.38,43.71,44.27,1987200,0.0,0.0
2024-10-23,45.22,46.43,45.09,46.36,3394900,0.0,0.0
2024-10-24,46.51,46.56,45.26,45.58,2135200,0.0,0.0
2024-10-25,45.89,45.93,45.24,45.56,2392400,0.0,0.0
2024-10-28,45.17,45.64,44.72,45.01,3511000,0.0,0.0
2024-10-29,44.77,44.86,44.17,44.44,4465400,0.0,0.0
2024-10-30,46.77,50.58,46.67,49.76,7886300,0.0,0.0
2024-10-31,51.06,52.44,50.93,51.19,6137100,0.0,0.0
2024-11-01,50.68,51.2,50.22,51.15,3613500,0.0,0.0
2024-11-04,51.11,51.67,50.89,51.43,4212800,0.0,0.0
2024-11-05,51.41,52.33,51.33,51.5,4262900,0.0,0.0
2024-11-06,53.37,53.99,51.67,52.88,4702700,0.0,0.0
2024-11-07,52.53,53.41,52.48,53.12,2977400,0.0,0.0
2024-11-08,52.47,52.81,51.68,52.07,3590600,0.0,0.0
2024-11-11,52.51,52.51,51.67,51.99,1949100,0.0,0.0
