,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,140.06,140.67,137.6,137.76,1571700,0.0,0.0
2020-02-24,133.42,133.75,130.72,131.65,1470300,0.0,0.0
2020-02-25,132.31,132.63,123.96,125.21,2734800,0.0,0.0
2020-02-26,126.55,129.09,123.67,123.92,2453600,0.0,0.0
2020-02-27,120.89,124.25,118.62,118.62,1998300,0.0,0.0
2020-02-28,114.45,128.17,114.19,125.22,3721900,0.0,0.0
2020-03-02,125.97,126.02,120.03,124.7,2475900,0.69,0.0
2020-03-03,123.85,126.6,116.13,117.63,2264600,0.0,0.0
2020-03-04,119.51,120.86,117.06,120.58,2337300,0.0,0.0
2020-03-05,117.89,118.89,110.87,111.75,2467100,0.0,0.0
2020-03-06,108.75,113.72,107.54,112.26,2488100,0.0,0.0
2020-03-09,104.78,107.55,103.38,105.09,2595100,0.0,0.0
2020-03-10,108.75,114.72,107.94,114.34,3157900,0.0,0.0
2020-03-11,110.42,111.3,106.29,106.98,1834000,0.0,0.0
2020-03-12,95.83,101.64,91.64,91.71,2776100,0.0,0.0
2020-03-13,96.9,97.63,87.22,95.52,2419500,0.0,0.0
2020-03-16,87.14,87.31,72.58,75.86,3171800,0.0,0.0
2020-03-17,77.07,79.87,68.83,79.6,3685100,0.0,0.0
2020-03-18,73.63,76.82,63.38,68.58,4386300,0.0,0.0
2020-03-19,67.38,75.05,61.29,73.34,2124800,0.0,0.0
2020-03-20,74.53,78.42,69.03,69.56,3207600,0.0,0.0
2020-03-23,68.78,69.57,61.29,63.07,3138400,0.0,0.0
2020-03-24,67.22,80.68,66.6,79.04,2362700,0.0,0.0
2020-03-25,79.6,92.31,79.42,86.03,4179600,0.0,0.0
2020-03-26,87.84,94.75,86.29,93.9,2197600,0.0,0.0
2020-03-27,89.16,90.31,83.2,84.63,1814000,0.0,0.0
2020-03-30,83.27,88.71,82.35,87.89,1314000,0.0,0.0
2020-03-31,86.79,89.81,85.97,87.56,2102300,0.0,0.0
2020-04-01,82.44,83.48,77.52,80.66,1907900,0.0,0.0
2020-04-02,81.07,83.92,81.07,83.78,2042000,0.0,0.0
2020-04-03,82.91,84.82,81.83,83.41,2910900,0.0,0.0
2020-04-06,89.52,94.39,87.23,93.41,2021300,0.0,0.0
2020-04-07,98.53,100.4,93.88,94.04,1807500,0.0,0.0
2020-04-08,95.55,101.34,94.23,100.15,1757100,0.0,0.0
2020-04-09,102.23,105.52,101.16,104.52,2865300,0.0,0.0
2020-04-13,105.06,105.42,96.88,99.86,1468500,0.0,0.0
2020-04-14,102.18,103.47,100.44,101.15,1110600,0.0,0.0
2020-04-15,96.66,97.86,92.73,93.85,1793100,0.0,0.0
2020-04-16,93.93,93.93,91.26,93.43,1877100,0.0,0.0
2020-04-17,97.46,99.64,96.97,98.54,2101900,0.0,0.0
2020-04-20,95.34,98.47,93.35,96.73,1769900,0.0,0.0
2020-04-21,92.23,93.96,91.57,93.11,1449600,0.0,0.0
2020-04-22,95.45,95.92,91.99,94.01,1230900,0.0,0.0
2020-04-23,94.2,96.01,92.28,92.66,1536800,0.0,0.0
2020-04-24,93.47,95.44,91.29,94.33,2213000,0.0,0.0
2020-04-27,95.1,99.6,94.72,98.71,1433800,0.0,0.0
2020-04-28,100.16,104.91,100.16,103.16,1922600,0.0,0.0
2020-04-29,106.17,108.58,105.65,106.9,1899000,0.0,0.0
2020-04-30,98.33,101.68,94.57,96.49,4677700,0.0,0.0
2020-05-01,94.36,96.95,92.94,93.25,2648900,0.0,0.0
2020-05-04,91.8,93.24,88.87,91.0,2294500,0.0,0.0
2020-05-05,92.4,95.12,91.79,93.79,2229100,0.0,0.0
2020-05-06,93.89,94.52,91.81,92.91,1625200,0.0,0.0
2020-05-07,93.97,96.73,93.97,96.29,2742600,0.0,0.0
2020-05-08,98.06,102.88,97.91,102.73,3029200,0.0,0.0
2020-05-11,101.27,102.0,98.09,99.45,1487300,0.0,0.0
2020-05-12,97.55,99.15,95.19,95.19,2583500,0.0,0.0
2020-05-13,94.53,94.56,88.59,89.65,1994600,0.0,0.0
2020-05-14,87.61,91.72,85.49,91.45,2350000,0.0,0.0
