,EPS Estimate,Reported EPS,Surprise(%)
2026-02-02 19:00:00-05:00,nan,nan,nan
2025-11-09 19:00:00-05:00,nan,nan,nan
2025-07-27 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-04 19:00:00-05:00,1.57,1.6,1.91
2024-11-11 19:00:00-05:00,1.52,1.55,1.75
2024-07-29 20:00:00-04:00,1.21,1.21,-0.22
2024-04-29 20:00:00-04:00,1.52,1.55,1.69
2024-01-29 19:00:00-05:00,1.95,1.97,0.79
2023-11-01 20:00:00-04:00,2.1,2.2,4.69
2023-08-06 20:00:00-04:00,1.7,1.73,1.85
2023-05-07 20:00:00-04:00,2.02,2.02,-0.19
