,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-24,207.43,208.19,202.82,204.07,1617000,0.0,0.0
2020-02-25,204.08,204.75,194.32,195.32,1995300,0.0,0.0
2020-02-26,196.49,199.75,190.86,190.92,1993400,0.0,0.0
2020-02-27,187.85,191.39,184.47,184.47,2090700,0.0,0.0
2020-02-28,178.12,181.73,175.17,180.44,3091100,0.0,0.0
2020-03-02,182.19,186.74,180.42,186.71,2503900,0.0,0.0
2020-03-03,188.12,190.78,175.77,178.77,3061000,0.0,0.0
2020-03-04,184.22,187.93,179.85,187.83,2532600,0.0,0.0
2020-03-05,186.69,186.69,175.98,179.5,2797800,0.0,0.0
2020-03-06,175.76,177.7,174.18,175.98,2798600,0.0,0.0
2020-03-09,165.98,168.37,162.2,163.43,3095900,0.0,0.0
2020-03-10,170.16,174.0,164.1,173.78,2987200,0.0,0.0
2020-03-11,169.2,169.67,162.66,166.26,2881100,0.0,0.0
2020-03-12,157.16,161.46,145.72,146.03,4075100,0.0,0.0
2020-03-13,156.21,157.11,143.9,155.55,4716900,0.0,0.0
2020-03-16,139.99,142.78,130.87,136.17,5757500,0.0,0.0
2020-03-17,138.89,139.01,129.7,132.69,3902400,0.0,0.0
2020-03-18,126.18,131.83,119.33,131.59,5096300,0.0,0.0
2020-03-19,129.47,145.23,124.03,141.54,3485700,0.0,0.0
2020-03-20,145.1,148.52,131.67,131.95,5222000,0.0,0.0
2020-03-23,128.91,129.32,117.9,119.76,5261800,0.0,0.0
2020-03-24,128.75,136.99,124.65,135.8,3529500,0.0,0.0
2020-03-25,137.98,149.79,134.05,144.9,3657400,0.0,0.0
2020-03-26,146.87,157.04,144.9,154.63,3278200,0.0,0.0
2020-03-27,147.88,155.38,145.5,150.74,3398900,0.0,0.0
2020-03-30,153.19,155.38,146.73,154.84,2325900,0.57,0.0
2020-03-31,154.67,162.43,154.41,158.19,2876200,0.0,0.0
2020-04-01,145.85,147.71,136.58,137.46,3238100,0.0,0.0
2020-04-02,135.51,143.0,134.92,142.12,2140100,0.0,0.0
2020-04-03,141.94,144.26,139.25,140.69,2061500,0.0,0.0
2020-04-06,150.67,158.76,150.08,157.4,3188400,0.0,0.0
2020-04-07,165.91,170.68,156.44,157.53,3462800,0.0,0.0
2020-04-08,158.97,168.76,158.21,167.64,2471400,0.0,0.0
