,EPS Estimate,Reported EPS,Surprise(%)
2026-01-25 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-26 19:00:00-05:00,0.5,0.54,8.22
2024-10-22 20:00:00-04:00,0.57,0.6,5.57
2024-07-23 20:00:00-04:00,0.57,0.57,-0.29
2024-04-23 20:00:00-04:00,0.54,0.55,2.4
2024-01-23 19:00:00-05:00,0.56,0.54,-2.92
2023-10-18 20:00:00-04:00,0.62,0.64,3.35
2023-07-25 20:00:00-04:00,0.6,0.63,4.3
2023-04-19 20:00:00-04:00,0.59,0.6,2.53
