,EPS Estimate,Reported EPS,Surprise(%)
2026-02-10 19:00:00-05:00,nan,nan,nan
2025-11-04 19:00:00-05:00,nan,nan,nan
2025-08-03 20:00:00-04:00,nan,nan,nan
2025-04-27 20:00:00-04:00,nan,nan,nan
2025-02-12 19:00:00-05:00,1.13,1.3,15.45
2024-11-06 19:00:00-05:00,1.67,1.8,7.93
2024-08-05 20:00:00-04:00,1.68,1.92,14.34
2024-04-29 20:00:00-04:00,0.74,0.95,28.5
2024-02-12 19:00:00-05:00,1.12,1.19,5.98
2023-11-01 20:00:00-04:00,1.58,1.92,21.9
2023-07-31 20:00:00-04:00,1.63,1.78,8.96
2023-05-01 20:00:00-04:00,0.26,0.54,110.21
