,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-21,49.11,49.51,48.97,49.34,1636700,0.0,0.0
2020-02-24,48.49,48.72,47.72,48.37,1706800,0.0,0.0
2020-02-25,48.34,48.34,45.87,45.89,2277800,0.0,0.0
2020-02-26,45.99,47.41,45.89,46.17,3070100,0.0,0.0
2020-02-27,45.33,46.2,43.73,44.63,3142100,0.0,0.0
2020-02-28,43.47,44.28,42.5,44.27,3088400,0.0,0.0
2020-03-02,44.27,45.94,44.04,45.94,2477300,0.0,0.0
2020-03-03,45.87,46.62,44.36,45.0,1652700,0.0,0.0
2020-03-04,45.37,46.84,45.13,46.83,2162600,0.0,0.0
2020-03-05,45.43,45.93,44.09,44.73,2352100,0.0,0.0
2020-03-06,43.47,44.62,42.57,43.36,3069500,0.57,0.0
2020-03-09,41.01,41.52,38.52,38.82,3171200,0.0,0.0
2020-03-10,39.82,40.79,37.64,39.62,2905700,0.0,0.0
2020-03-11,38.35,39.01,36.48,36.95,2655300,0.0,0.0
2020-03-12,34.8,35.42,32.78,34.66,3960000,0.0,0.0
2020-03-13,36.51,38.43,34.16,38.42,4338300,0.0,0.0
2020-03-16,33.85,39.91,33.79,37.78,3976300,0.0,0.0
2020-03-17,38.24,40.06,37.13,39.71,4529600,0.0,0.0
2020-03-18,37.54,40.97,34.76,36.51,4106800,0.0,0.0
2020-03-19,36.1,37.98,33.7,34.76,2754200,0.0,0.0
2020-03-20,34.96,37.19,33.01,33.34,4171300,0.0,0.0
2020-03-23,33.08,33.64,30.7,31.19,3005600,0.0,0.0
2020-03-24,32.79,35.25,32.49,33.82,3067600,0.0,0.0
2020-03-25,33.51,35.46,33.35,33.88,3072100,0.0,0.0
2020-03-26,34.13,35.11,33.71,34.86,2907600,0.0,0.0
2020-03-27,33.6,35.06,31.96,34.35,3070400,0.0,0.0
2020-03-30,34.44,36.76,33.46,36.38,2211200,0.0,0.0
2020-03-31,36.01,36.74,34.89,35.21,2228900,0.0,0.0
2020-04-01,33.42,34.63,33.14,34.16,1565200,0.0,0.0
2020-04-02,33.82,36.3,33.44,36.11,2559400,0.0,0.0
2020-04-03,35.92,37.5,35.91,37.02,1847000,0.0,0.0
2020-04-06,38.28,39.02,37.13,38.72,2000100,0.0,0.0
2020-04-07,40.32,40.83,39.22,39.29,2121200,0.0,0.0
2020-04-08,39.48,41.58,39.32,41.18,1708700,0.0,0.0
2020-04-09,41.4,43.54,41.26,42.79,2077600,0.0,0.0
2020-04-13,42.64,42.88,39.78,40.64,1689600,0.0,0.0
2020-04-14,41.21,42.68,41.01,42.04,1816400,0.0,0.0
2020-04-15,41.08,41.3,39.22,40.26,1579800,0.0,0.0
2020-04-16,40.46,40.46,38.28,38.97,2695700,0.0,0.0
2020-04-17,39.84,40.4,39.27,40.06,2335200,0.0,0.0
2020-04-20,39.26,40.25,39.01,39.26,1630800,0.0,0.0
2020-04-21,38.37,38.61,37.67,38.0,1830600,0.0,0.0
2020-04-22,38.72,38.72,37.78,38.0,1453900,0.0,0.0
2020-04-23,38.1,39.05,37.73,37.79,1500700,0.0,0.0
2020-04-24,37.97,39.01,37.8,38.84,1354800,0.0,0.0
2020-04-27,39.0,40.47,38.79,40.25,1647400,0.0,0.0
2020-04-28,41.64,41.77,40.56,41.02,2673600,0.0,0.0
2020-04-29,41.74,42.64,41.45,41.68,3032700,0.0,0.0
2020-04-30,37.79,38.65,36.6,37.02,5459100,0.0,0.0
2020-05-01,36.38,36.53,35.05,35.13,2659900,0.0,0.0
2020-05-04,34.75,35.02,33.65,34.47,2930700,0.0,0.0
2020-05-05,34.69,34.84,33.79,33.79,1993000,0.0,0.0
2020-05-06,34.19,34.56,33.53,34.01,2020500,0.0,0.0
2020-05-07,34.43,34.87,33.53,33.94,2050200,0.0,0.0
2020-05-08,34.63,35.26,34.26,35.1,1593400,0.0,0.0
2020-05-11,34.84,35.22,34.49,34.79,1883500,0.0,0.0
2020-05-12,34.83,35.0,34.02,34.02,2103300,0.0,0.0
2020-05-13,33.7,33.78,32.27,32.69,2382900,0.0,0.0
2020-05-14,32.1,32.95,31.26,32.76,2442500,0.0,0.0
2020-05-15,32.77,33.36,32.45,32.81,1955300,0.0,0.0
2020-05-18,33.75,35.04,33.75,34.8,1873600,0.0,0.0
2020-05-19,34.75,34.88,33.87,34.15,1478800,0.0,0.0
2020-05-20,34.55,34.81,34.05,34.2,1692100,0.0,0.0
2020-05-21,33.97,34.19,33.13,33.21,5581700,0.0,0.0
2020-05-22,32.98,33.51,32.6,33.24,2851300,0.0,0.0
2020-05-26,33.7,34.06,32.83,33.15,5742300,0.0,0.0
2020-05-27,33.97,35.92,33.68,35.87,4859500,0.0,0.0
2020-05-28,36.42,36.51,34.54,34.62,2894800,0.0,0.0
2020-05-29,33.94,34.34,33.5,34.26,3545200,0.0,0.0
2020-06-01,34.43,34.66,34.06,34.27,1907800,0.0,0.0
2020-06-02,34.86,35.56,34.57,35.49,2103000,0.0,0.0
2020-06-03,36.11,37.54,36.01,36.59,4122000,0.0,0.0
2020-06-04,36.65,38.19,36.48,38.19,7418200,0.0,0.0
2020-06-05,39.45,39.98,38.17,38.27,2951300,0.0,0.0
2020-06-08,39.04,39.43,38.47,39.15,2808500,0.0,0.0
2020-06-09,38.15,38.39,37.57,37.68,2709100,0.0,0.0
2020-06-10,37.66,37.67,35.63,35.65,2091100,0.0,0.0
2020-06-11,34.3,34.75,32.84,32.99,3151300,0.0,0.0
2020-06-12,33.98,34.39,33.17,34.34,3262200,0.0,0.0
2020-06-15,33.25,34.9,32.95,34.53,2470200,0.0,0.0
2020-06-16,35.88,36.09,34.43,35.92,4256800,0.0,0.0
2020-06-17,36.04,36.12,34.79,34.99,2004100,0.0,0.0
2020-06-18,34.53,35.47,34.35,35.27,1357100,0.0,0.0
2020-06-19,35.67,36.01,34.23,34.33,3881400,0.0,0.0
2020-06-22,34.13,34.37,33.64,34.25,1757300,0.0,0.0
