,EPS Estimate,Reported EPS,Surprise(%)
2026-01-26 19:00:00-05:00,nan,nan,nan
2025-10-20 20:00:00-04:00,nan,nan,nan
2025-07-21 20:00:00-04:00,nan,nan,nan
2025-04-21 20:00:00-04:00,nan,nan,nan
2025-01-28 19:00:00-05:00,0.91,0.95,4.4
2024-10-22 20:00:00-04:00,0.78,0.9,14.71
2024-07-23 20:00:00-04:00,0.77,0.86,11.92
2024-04-23 20:00:00-04:00,0.33,0.51,55.9
2024-01-29 19:00:00-05:00,0.71,0.79,11.04
2023-10-24 20:00:00-04:00,0.73,0.8,9.65
2023-07-25 20:00:00-04:00,0.66,0.79,19.95
2023-04-25 20:00:00-04:00,0.43,0.55,27.28
